049	BANCO SECURITY
8110000	 0000000190353,00	
8111000	 0000000000000,00	
8113000	 0000000174637,00	
8114000	 0000000005796,00	
8115000	 0000000009920,00	
8130000	 0000000002096,00	
8131000	 0000000000000,00	
8133000	 0000000000706,00	
8134000	 0000000000000,00	
8135000	 0000000001390,00	
8140000	 0000000000133,00	
8141000	 0000000000000,00	
8143000	 0000000000027,00	
8144000	 0000000000000,00	
8145000	 0000000000106,00	
8310000	 0000001072996,00	
8311000	 0000000005514,00	
8312000	 0000000000110,00	
8314000	 0000000015722,00	
8315000	 0000000213283,00	
8315100	 0000000194184,00	
8315200	 0000000019099,00	
8317000	 0000000838367,00	
8318000	 0000000000000,00	
8318100	 0000000000000,00	
8318900	 0000000000000,00	
8319000	 0000000000000,00	
8510000	 0000002368794,00	
8511000	 0000000000707,00	
8513000	 0000002368087,00	
8520000	 0000000744177,00	
8521000	 0000000000000,00	
8523000	 0000000744177,00	
8530000	 0000000138592,00	
8531000	 0000000000000,00	
8533000	 0000000138592,00	
8540000	 0000001181633,00	
8543000	 0000000243553,00	
8544000	 0000000562581,00	
8545000	 0000000375499,00	
8560000	 0000000026164,00	
8563000	 0000000010448,00	
8564000	 0000000005796,00	
8565000	 0000000009920,00	
8610000	 0000000386034,00	
8620000	 0000000023659,00	
8630000	 0000000001660,00	
8640000	 0000000661156,00	
8660000	 0000000000487,00	
