014	SCOTIABANK CHILE
841000400	 0070256510474,00	
841000500	 0000000000000,00	
841000600	 4769177255316,00	
841000700	 0000000000000,00	
842000000	 0000000000000,00	
842000100	 0000000000000,00	
842000200	 0000000000000,00	
843000000	 0003232811168,00	
843000100	 0000000000000,00	
843000200	 0003232811168,00	
843000300	 0000000000000,00	
843000400	 0000000000000,00	
843000500	 0000000000000,00	
843500000	 0000000000000,00	
843500100	 0000000000000,00	
843500200	 0000000000000,00	
843500300	 0000000000000,00	
843500400	 0000000000000,00	
843500500	 0000000000000,00	
843500600	 0000000000000,00	
844100000	 0001627251932,00	
844200000	 0000000000000,00	
844300000	 0000000000000,00	
844400000	 0000000000000,00	
844400100	 0000000000000,00	
844400200	 0000000000000,00	
844500000	 0000000000000,00	
844500100	 0000000000000,00	
844500200	 0000000000000,00	
844500300	 0000000000000,00	
844600000	 0000000000000,00	
845250000	 0449191395448,00	
845250100	 0015193786098,00	
845250200	 0000000000000,00	
845250300	 0037165111677,00	
845250400	 0000505028052,00	
845250500	 0354324376517,00	
845250501	 0213875806433,00	
845250502	 0000000000000,00	
845250503	 0014585823006,00	
845250504	 0012828951803,00	
845250505	 0030061329974,00	
845250509	 0082972465301,00	
845250600	 0042003093104,00	
845250601	 0000000000000,00	
845250602	 0003840199200,00	
845250603	 0000000000000,00	
845250609	 0038162893904,00	
845500000	 0078222227927,00	
845500100	 0000000000000,00	
845500200	 0000000000000,00	
845500300	 0047312187362,00	
845500400	 0000000000000,00	
845500500	 0030910040565,00	
845500501	 0001314359371,00	
845500502	 0000000000000,00	
845500503	 0000000000000,00	
845500504	 0000000000000,00	
845500509	 0029595681194,00	
845500600	 0000000000000,00	
846100000	 0000000000000,00	
847000000	 0011140083938,00	
847100000	 0013523778397,00	
847100100	 0000095197874,00	
847100200	 0011193165205,00	
847100300	 0000075936202,00	
847100400	 0000048312009,00	
847100500	 0000013222386,00	
847100600	 0000493243965,00	
847100700	 0001604700756,00	
847200000	 0002383694459,00	
847200100	 0000085873172,00	
847200200	 0001869470055,00	
847200300	 0000000962200,00	
847200400	 0000000000000,00	
847200500	 0000006710130,00	
847200600	 0000000000000,00	
847200700	 0000420678902,00	
851000000	 11892496902347,00	
851100000	 0003838291966,00	
851200000	 11888658610381,00	
852000000	 0676015335242,00	
852100000	 0000000000000,00	
852200000	 0676015335242,00	
853000000	 0310632872531,00	
853100000	 0000000000000,00	
853200000	 0310632872531,00	
854000000	 18845497684417,00	
854200000	 1801594069559,00	
854300000	 13440771472978,00	
854400000	 3603132141880,00	
855000000	 0975604139503,00	
855200000	 0232607394480,00	
855300000	 0367501170225,00	
855400000	 0375495574798,00	
856050000	 2136344121723,00	
856050100	 0663387700579,00	
856050200	 0114614833503,00	
856050300	 0000000000000,00	
856050400	 0594522406888,00	
856050500	 0000000000000,00	
856050600	 0699184328180,00	
856050800	 0064634852573,00	
856050900	 0000000000000,00	
856150000	 0046037797334,00	
856150100	 0003093148086,00	
856150200	 0000360287014,00	
856150300	 0000000000000,00	
856150400	 0037173616321,00	
856150500	 0000000000000,00	
856150600	 0005410745913,00	
856150800	 0000000000000,00	
856150900	 0000000000000,00	
856250000	 0006453450007,00	
856250100	 0001259635171,00	
856250200	 0000000000000,00	
856250300	 0000000000000,00	
856250400	 0004852499898,00	
856250500	 0000000000000,00	
856250600	 0000341314938,00	
856250800	 0000000000000,00	
856250900	 0000000000000,00	
856350000	 0103111430213,00	
856350100	 0000000000000,00	
856350200	 0000019566214,00	
856350300	 0000000000000,00	
856350400	 0000362061906,00	
856350500	 0000000000000,00	
856350600	 0064287316792,00	
856350700	 0038442485301,00	
856350800	 0000000000000,00	
856350900	 0000000000000,00	
856450000	 0000384962402,00	
856450100	 0000000000000,00	
856450200	 0000000000000,00	
856450300	 0000000000000,00	
856450400	 0000000000000,00	
856450500	 0000000000000,00	
856450600	 0000384962402,00	
856450700	 0000000000000,00	
856450800	 0000000000000,00	
856450900	 0000000000000,00	
856550000	 5449999801921,00	
856550100	 0000000000000,00	
856550200	 0000000000000,00	
856550300	 0000000000000,00	
856550400	 0397806178796,00	
856550500	 5052193623125,00	
856550600	 0000000000000,00	
856650000	 0024710304102,00	
856650100	 0000000000000,00	
856650200	 0000000000000,00	
856650300	 0000000000000,00	
856650400	 0001596878584,00	
856650500	 0023113425518,00	
856650600	 0000000000000,00	
856750000	 0000000000000,00	
856750100	 0000000000000,00	
856750200	 0000000000000,00	
856750300	 0000000000000,00	
856750400	 0000000000000,00	
856750500	 0000000000000,00	
856750600	 0000000000000,00	
856750800	 0000000000000,00	
856750900	 0000000000000,00	
856850000	 0000000000000,00	
856850100	 0000000000000,00	
856850200	 0000000000000,00	
856850300	 0000000000000,00	
856850400	 0000000000000,00	
856850500	 0000000000000,00	
856850600	 0000000000000,00	
856850800	 0000000000000,00	
856850900	 0000000000000,00	
856950000	 0000000000000,00	
856950100	 0000000000000,00	
856950200	 0000000000000,00	
856950300	 0000000000000,00	
856950400	 0000000000000,00	
856950500	 0000000000000,00	
856950600	 0000000000000,00	
856950800	 0000000000000,00	
856950900	 0000000000000,00	
857000000	 0559362260328,00	
857100000	 0000000000000,00	
857100100	 0000000000000,00	
857100200	 0000000000000,00	
857200000	 0302769752242,00	
857200100	 0190037289349,00	
857200101	 0189900453954,00	
857200102	 0000000000000,00	
857200103	 0000136835395,00	
857200104	 0000000000000,00	
857200600	 0010638218000,00	
857200700	 0004640932146,00	
857200800	 0000000000000,00	
857200900	 0001539259267,00	
857201000	 0010579794389,00	
857201100	 0081709137125,00	
857201200	 0003625121966,00	
857300000	 0151817793026,00	
857300100	 0002671051588,00	
857300200	 0001004653478,00	
857300300	 0000000000000,00	
857300400	 0144198099815,00	
857300500	 0003141061039,00	
857300600	 0000802927106,00	
857400000	 0104774715060,00	
857400100	 0035505481934,00	
857400200	 0002319747213,00	
857400300	 0066949485913,00	
857400400	 0000000000000,00	
857400500	 0000000000000,00	
858000000	 0000000000000,00	
858100000	 0000000000000,00	
858200000	 0000000000000,00	
858300000	 0000000000000,00	
858400000	 0000000000000,00	
859000000	 0000000000000,00	
859100000	 0000000000000,00	
859200000	 0000000000000,00	
859300000	 0000000000000,00	
859400000	 0000000000000,00	
