999	SISTEMA FINANCIERO
841000400	 0797985982870,00	
841000500	 0144124843539,00	
841000600	 13438584771287,00	
841000700	 0018367213817,00	
842000000	 0000000000000,00	
842000100	 0000000000000,00	
842000200	 0000000000000,00	
843000000	 0003514320140,00	
843000100	 0000000000000,00	
843000200	 0003514320140,00	
843000300	 0000000000000,00	
843000400	 0000000000000,00	
843000500	 0000000000000,00	
843500000	 0000000000000,00	
843500100	 0000000000000,00	
843500200	 0000000000000,00	
843500300	 0000000000000,00	
843500400	 0000000000000,00	
843500500	 0000000000000,00	
843500600	 0000000000000,00	
844100000	 0026312773969,00	
844200000	 0050006942856,00	
844300000	 0152546136746,00	
844400000	 5382281293476,00	
844400100	 5092098198613,00	
844400200	 0290183094863,00	
844500000	 21077202719654,00	
844500100	 18757576695654,00	
844500200	 0226115115000,00	
844500300	 2093510909000,00	
844600000	 0003549497025,00	
845250000	 5217533696393,00	
845250100	 0041703247185,00	
845250200	 0000000000000,00	
845250300	 0054903566932,00	
845250400	 0003666113335,00	
845250500	 4886049114232,00	
845250501	 2942286813633,00	
845250502	 0035719803537,00	
845250503	 0311005538987,00	
845250504	 0240646530842,00	
845250505	 0289128006599,00	
845250509	 1067262420634,00	
845250600	 0231211654709,00	
845250601	 0093023958695,00	
845250602	 0081580912994,00	
845250603	 0000000000000,00	
845250609	 0056606783020,00	
845500000	 0987377022515,00	
845500100	 0007254460414,00	
845500200	 0000000000000,00	
845500300	 0138394817410,00	
845500400	 0000000000000,00	
845500500	 0841727744691,00	
845500501	 0036330054882,00	
845500502	 0022890886223,00	
845500503	 0027886635878,00	
845500504	 0001441682031,00	
845500509	 0753178485677,00	
845500600	 0000000000000,00	
846100000	 0000000000000,00	
847000000	 0058201795894,00	
847100000	 0078912810607,00	
847100100	 0000804333227,00	
847100200	 0057778030287,00	
847100300	 0006096159948,00	
847100400	 0001762554381,00	
847100500	 0000723609989,00	
847100600	 0003428126470,00	
847100700	 0008319996305,00	
847200000	 0020711014713,00	
847200100	 0000021791285,00	
847200200	 0014889408214,00	
847200300	 0001152581492,00	
847200400	 0000256961077,00	
847200500	 0000134444037,00	
847200600	 0001763242379,00	
847200700	 0002492586229,00	
851000000	 102126083879232,00	
851100000	 1718874647253,00	
851200000	 100407209231979,00	
852000000	 6751075939699,00	
852100000	 0000000000000,00	
852200000	 6751075939699,00	
853000000	 3823558914266,00	
853100000	 0000000000000,00	
853200000	 3823558914266,00	
854000000	 127813599872160,00	
854200000	 23424577608968,00	
854300000	 77744031782501,00	
854400000	 26644990480691,00	
855000000	 7887068175903,00	
855200000	 2515373564529,00	
855300000	 3274082268383,00	
855400000	 2097612342991,00	
856050000	 26069611098010,00	
856050100	 2947621743969,00	
856050200	 1398789070184,00	
856050300	 0004324264048,00	
856050400	 11251440447553,00	
856050500	 3992695206793,00	
856050600	 4545082082903,00	
856050800	 1893618980558,00	
856050900	 0036039302002,00	
856150000	 0960836648112,00	
856150100	 0034570307704,00	
856150200	 0007569318683,00	
856150300	 0000000000000,00	
856150400	 0658025261283,00	
856150500	 0106370841360,00	
856150600	 0042141854499,00	
856150800	 0112159064583,00	
856150900	 0000000000000,00	
856250000	 0084201849177,00	
856250100	 0015640154503,00	
856250200	 0000104457366,00	
856250300	 0000000000000,00	
856250400	 0062042221998,00	
856250500	 0002146187573,00	
856250600	 0002373425700,00	
856250800	 0001895402037,00	
856250900	 0000000000000,00	
856350000	 4687134156614,00	
856350100	 0005218131720,00	
856350200	 0030735027550,00	
856350300	 0000002798808,00	
856350400	 0381569291304,00	
856350500	 1057659881877,00	
856350600	 1291852706083,00	
856350700	 1691425500060,00	
856350800	 0224021022822,00	
856350900	 0004649796390,00	
856450000	 0024963003783,00	
856450100	 0000000000000,00	
856450200	 0000140938533,00	
856450300	 0000000000000,00	
856450400	 0006170614899,00	
856450500	 0003607593101,00	
856450600	 0004347424271,00	
856450700	 0010625969645,00	
856450800	 0000070463334,00	
856450900	 0000000000000,00	
856550000	 35175721938092,00	
856550100	 0749850832011,00	
856550200	 1002402919349,00	
856550300	 0038417462950,00	
856550400	 4097024747070,00	
856550500	 29288025976712,00	
856550600	 0000000000000,00	
856650000	 0108099951911,00	
856650100	 0005938868239,00	
856650200	 0033254713324,00	
856650300	 0000371378415,00	
856650400	 0007166369565,00	
856650500	 0061368622368,00	
856650600	 0000000000000,00	
856750000	 0000437061737,00	
856750100	 0000000000000,00	
856750200	 0000437061737,00	
856750300	 0000000000000,00	
856750400	 0000000000000,00	
856750500	 0000000000000,00	
856750600	 0000000000000,00	
856750800	 0000000000000,00	
856750900	 0000000000000,00	
856850000	 0000000000000,00	
856850100	 0000000000000,00	
856850200	 0000000000000,00	
856850300	 0000000000000,00	
856850400	 0000000000000,00	
856850500	 0000000000000,00	
856850600	 0000000000000,00	
856850800	 0000000000000,00	
856850900	 0000000000000,00	
856950000	 0000000000000,00	
856950100	 0000000000000,00	
856950200	 0000000000000,00	
856950300	 0000000000000,00	
856950400	 0000000000000,00	
856950500	 0000000000000,00	
856950600	 0000000000000,00	
856950800	 0000000000000,00	
856950900	 0000000000000,00	
857000000	 4793332534437,00	
857100000	 0000000000000,00	
857100100	 0000000000000,00	
857100200	 0000000000000,00	
857200000	 2772657322790,00	
857200100	 2149544768533,00	
857200101	 2022672189958,00	
857200102	 0068466270468,00	
857200103	 0058406308107,00	
857200104	 0000000000000,00	
857200600	 0064522076411,00	
857200700	 0030706745133,00	
857200800	 0025966082722,00	
857200900	 0016792966843,00	
857201000	 0109907361096,00	
857201100	 0325602727063,00	
857201200	 0049614594989,00	
857300000	 1220721880803,00	
857300100	 0020861734774,00	
857300200	 0056958144156,00	
857300300	 0001159067886,00	
857300400	 1114010715370,00	
857300500	 0010762013199,00	
857300600	 0016970205418,00	
857400000	 0799953330844,00	
857400100	 0393023431596,00	
857400200	 0022092884056,00	
857400300	 0383561370907,00	
857400400	 0000026221171,00	
857400500	 0001249423114,00	
858000000	 0000000000000,00	
858100000	 0000000000000,00	
858200000	 0000000000000,00	
858300000	 0000000000000,00	
858400000	 0000000000000,00	
859000000	 0000000000000,00	
859100000	 0000000000000,00	
859200000	 0000000000000,00	
859300000	 0000000000000,00	
859400000	 0000000000000,00	
