028	BANCO BICE
8110000	 0000000144938,00	
8111000	 0000000000000,00	
8113000	 0000000137000,00	
8114000	 0000000005278,00	
8115000	 0000000002660,00	
8130000	 0000000003198,00	
8131000	 0000000000000,00	
8133000	 0000000001540,00	
8134000	 0000000000284,00	
8135000	 0000000001374,00	
8140000	 0000000000666,00	
8141000	 0000000000000,00	
8143000	 0000000000114,00	
8144000	 0000000000128,00	
8145000	 0000000000424,00	
8310000	 0000001651649,00	
8311000	 0000000024528,00	
8312000	 0000000007555,00	
8314000	 0000000024110,00	
8315000	 0000000418785,00	
8315100	 0000000413731,00	
8315200	 0000000005054,00	
8317000	 0000000980218,00	
8318000	 0000000188654,00	
8318100	 0000000000000,00	
8318900	 0000000188654,00	
8319000	 0000000007799,00	
8510000	 0000004204263,00	
8511000	 0000000000000,00	
8513000	 0000004204263,00	
8520000	 0000000198542,00	
8521000	 0000000000000,00	
8523000	 0000000198542,00	
8530000	 0000000068298,00	
8531000	 0000000000000,00	
8533000	 0000000068298,00	
8540000	 0000001600782,00	
8543000	 0000000372047,00	
8544000	 0000001075075,00	
8545000	 0000000153660,00	
8560000	 0000000019630,00	
8563000	 0000000011692,00	
8564000	 0000000005278,00	
8565000	 0000000002660,00	
8610000	 0000001244295,00	
8620000	 0000000012611,00	
8630000	 0000000000043,00	
8640000	 0000000394338,00	
8660000	 0000000000362,00	
8700000	 0000000000800,00	
8710000	 0000000000960,00	
8711000	 0000000000241,00	
8712000	 0000000000424,00	
8713000	 0000000000000,00	
8714000	 0000000000017,00	
8715000	 0000000000000,00	
8716000	 0000000000020,00	
8717000	 0000000000258,00	
8720000	 0000000000160,00	
8721000	 0000000000000,00	
8722000	 0000000000160,00	
8723000	 0000000000000,00	
8724000	 0000000000000,00	
8725000	 0000000000000,00	
8726000	 0000000000000,00	
8727000	 0000000000000,00	
8910000	 0000000020455,00	
8911000	 0000000000000,00	
8913000	 0000000016817,00	
8914000	 0000000003015,00	
8915000	 0000000000623,00	
