028	BANCO BICE
8110000	 0000000163752,00	
8111000	 0000000000000,00	
8113000	 0000000151807,00	
8114000	 0000000008891,00	
8115000	 0000000003054,00	
8130000	 0000000003994,00	
8131000	 0000000000000,00	
8133000	 0000000002170,00	
8134000	 0000000000019,00	
8135000	 0000000001805,00	
8140000	 0000000000872,00	
8141000	 0000000000000,00	
8143000	 0000000000572,00	
8144000	 0000000000098,00	
8145000	 0000000000202,00	
8310000	 0000001339937,00	
8311000	 0000000022641,00	
8312000	 0000000022794,00	
8314000	 0000000040548,00	
8315000	 0000000395446,00	
8315100	 0000000387542,00	
8315200	 0000000007904,00	
8317000	 0000000725616,00	
8318000	 0000000108078,00	
8318100	 0000000000000,00	
8318900	 0000000108078,00	
8319000	 0000000024814,00	
8510000	 0000004373890,00	
8511000	 0000000000000,00	
8513000	 0000004373890,00	
8520000	 0000000221426,00	
8521000	 0000000000000,00	
8523000	 0000000221426,00	
8530000	 0000000092000,00	
8531000	 0000000000000,00	
8533000	 0000000092000,00	
8540000	 0000001759538,00	
8543000	 0000000395063,00	
8544000	 0000001213167,00	
8545000	 0000000151308,00	
8560000	 0000000026090,00	
8563000	 0000000014145,00	
8564000	 0000000008891,00	
8565000	 0000000003054,00	
8610000	 0000000913191,00	
8620000	 0000000016549,00	
8630000	 0000000003712,00	
8640000	 0000000405939,00	
8660000	 0000000000546,00	
8700000	 0000000000145,00	
8710000	 0000000000716,00	
8711000	 0000000000002,00	
8712000	 0000000000314,00	
8713000	 0000000000000,00	
8714000	 0000000000008,00	
8715000	 0000000000000,00	
8716000	 0000000000033,00	
8717000	 0000000000359,00	
8720000	 0000000000571,00	
8721000	 0000000000000,00	
8722000	 0000000000565,00	
8723000	 0000000000000,00	
8724000	 0000000000000,00	
8725000	 0000000000000,00	
8726000	 0000000000002,00	
8727000	 0000000000004,00	
8910000	 0000000040443,00	
8911000	 0000000000000,00	
8913000	 0000000035203,00	
8914000	 0000000004612,00	
8915000	 0000000000628,00	
