055	BANCO CONSORCIO
8110000	 0000000181450,00	
8111000	 0000000000000,00	
8113000	 0000000174822,00	
8114000	 0000000002309,00	
8115000	 0000000004319,00	
8130000	 0000000008602,00	
8131000	 0000000000000,00	
8133000	 0000000005017,00	
8134000	 0000000000056,00	
8135000	 0000000003529,00	
8140000	 0000000000392,00	
8141000	 0000000000000,00	
8143000	 0000000000001,00	
8144000	 0000000000000,00	
8145000	 0000000000391,00	
8310000	 0000000105155,00	
8311000	 0000000000000,00	
8312000	 0000000001460,00	
8314000	 0000000000000,00	
8315000	 0000000047764,00	
8315100	 0000000046201,00	
8315200	 0000000001563,00	
8317000	 0000000055931,00	
8318000	 0000000000000,00	
8318100	 0000000000000,00	
8318900	 0000000000000,00	
8319000	 0000000000000,00	
8510000	 0000002575697,00	
8511000	 0000000000000,00	
8513000	 0000002575697,00	
8520000	 0000000262503,00	
8521000	 0000000000000,00	
8523000	 0000000262503,00	
8530000	 0000000131630,00	
8531000	 0000000000000,00	
8533000	 0000000131630,00	
8540000	 0000000755388,00	
8543000	 0000000045684,00	
8544000	 0000000620920,00	
8545000	 0000000088784,00	
8560000	 0000000006923,00	
8563000	 0000000000295,00	
8564000	 0000000002309,00	
8565000	 0000000004319,00	
8610000	 0000000070434,00	
8620000	 0000000002615,00	
8630000	 0000000000471,00	
8640000	 0000000031443,00	
8660000	 0000000000192,00	
8700000	 0000000001539,00	
8710000	 0000000000249,00	
8711000	 0000000000000,00	
8712000	 0000000000021,00	
8713000	 0000000000000,00	
8714000	 0000000000001,00	
8715000	 0000000000000,00	
8716000	 0000000000035,00	
8717000	 0000000000192,00	
8720000	 0000000001788,00	
8721000	 0000000000000,00	
8722000	 0000000001760,00	
8723000	 0000000000000,00	
8724000	 0000000000000,00	
8725000	 0000000000000,00	
8726000	 0000000000018,00	
8727000	 0000000000010,00	
8910000	 0000000074039,00	
8911000	 0000000000000,00	
8913000	 0000000070640,00	
8914000	 0000000001864,00	
8915000	 0000000001535,00	
