016	BANCO DE CRÉDITO E INVERSIONES
411000000	 0621825326097,00	
411100000	 0515903260442,00	
411150000	 0001900462517,00	
411150100	 0000255388178,00	
411150101	 0000000000000,00	
411150102	 0000255388178,00	
411150103	 0000000000000,00	
411150200	 0000000000000,00	
411150201	 0000000000000,00	
411150202	 0000000000000,00	
411150203	 0000000000000,00	
411150300	 0001645045316,00	
411150301	 0001645045316,00	
411150302	 0000000000000,00	
411150400	 0000000029023,00	
411150401	 0000000029023,00	
411150402	 0000000000000,00	
411200000	 0009877400182,00	
411200100	 0002585517916,00	
411200101	 0000000000000,00	
411200102	 0002585517916,00	
411200109	 0000000000000,00	
411200200	 0000000000000,00	
411200201	 0000000000000,00	
411200202	 0000000000000,00	
411200209	 0000000000000,00	
411200300	 0007291882266,00	
411200301	 0000000000000,00	
411200302	 0000746074251,00	
411200303	 0000000000000,00	
411200304	 0000000000000,00	
411200309	 0006545808015,00	
411250000	 0007927905429,00	
411250100	 0000078125000,00	
411250101	 0000078125000,00	
411250102	 0000000000000,00	
411250103	 0000000000000,00	
411250104	 0000000000000,00	
411250105	 0000000000000,00	
411250106	 0000000000000,00	
411250107	 0000000000000,00	
411250190	 0000000000000,00	
411250200	 0007849780429,00	
411250201	 0004241879137,00	
411250202	 0000000000000,00	
411250203	 0000000000000,00	
411250204	 0000000000000,00	
411250205	 0000000000000,00	
411250206	 0003607901292,00	
411250207	 0000000000000,00	
411250208	 0000000000000,00	
411250290	 0000000000000,00	
411250300	 0000000000000,00	
411250301	 0000000000000,00	
411250302	 0000000000000,00	
411250309	 0000000000000,00	
411250400	 0000000000000,00	
411250401	 0000000000000,00	
411250402	 0000000000000,00	
411250409	 0000000000000,00	
411280000	 0335151674804,00	
411280100	 0266696305003,00	
411280101	 0235041860420,00	
411280102	 0031637799791,00	
411280103	 0000000000000,00	
411280104	 0000008375559,00	
411280105	 0000008269233,00	
411280106	 0000000000000,00	
411280200	 0015367104125,00	
411280201	 0000000000000,00	
411280202	 0000000000000,00	
411280203	 0000013945269,00	
411280204	 0004299699192,00	
411280205	 0000046979447,00	
411280209	 0011006480217,00	
411280300	 0006298024817,00	
411280400	 0001779999707,00	
411280500	 0020365828634,00	
411280501	 0014508566105,00	
411280502	 0005857262529,00	
411280600	 0023551602991,00	
411280601	 0013760200805,00	
411280602	 0009791402186,00	
411280700	 0001091727673,00	
411280701	 0001082237299,00	
411280702	 0000000172240,00	
411280709	 0000009318134,00	
411280900	 0000001081854,00	
411280901	 0000000000000,00	
411280902	 0000001081854,00	
411280990	 0000000000000,00	
411350000	 0051108258963,00	
411350100	 0000018278022,00	
411350200	 0000408965676,00	
411350300	 0000000000000,00	
411350400	 0050643812324,00	
411350401	 0000000000000,00	
411350402	 0050643812324,00	
411350500	 0000000000000,00	
411350900	 0000037202941,00	
411350901	 0000000000000,00	
411350902	 0000000000000,00	
411350903	 0000000000000,00	
411350990	 0000037202941,00	
411380000	 0093425327753,00	
411380100	 0037234240209,00	
411380200	 0006999937483,00	
411380300	 0047195974184,00	
411380400	 0000005134371,00	
411380900	 0001990041506,00	
411380901	 0000294822742,00	
411380990	 0001695218764,00	
411450000	 0016512230794,00	
411450100	 0004240953045,00	
411450101	 0000000000000,00	
411450102	 0004240953045,00	
411450109	 0000000000000,00	
411450200	 0000088338525,00	
411450201	 0000023852498,00	
411450202	 0000064486027,00	
411450209	 0000000000000,00	
411450300	 0000000000000,00	
411450400	 0000028124557,00	
411450900	 0012154814667,00	
411700000	 0100888931446,00	
411720000	 0100888931446,00	
411720100	 0059750881708,00	
411720101	 0052751812848,00	
411720102	 0006973813923,00	
411720109	 0000025254937,00	
411720200	 0008855770187,00	
411720201	 0008851475838,00	
411720202	 0000004294349,00	
411720209	 0000000000000,00	
411720300	 0032282279551,00	
411720301	 0000079319052,00	
411720302	 0015391485755,00	
411720303	 0000012935791,00	
411720304	 0000024352132,00	
411720309	 0016774186821,00	
411740000	 0000000000000,00	
411740100	 0000000000000,00	
411740101	 0000000000000,00	
411740102	 0000000000000,00	
411740103	 0000000000000,00	
411740104	 0000000000000,00	
411740200	 0000000000000,00	
411800000	 0005033134209,00	
411800100	 0017503699571,00	
411800200	-0012470565362,00	
411800300	 0000000000000,00	
412000000	-0372711484611,00	
412100000	-0342006153619,00	
412150000	-0036981897967,00	
412150100	-0036910563360,00	
412150101	 0000000000000,00	
412150102	 0000000000000,00	
412150103	-0036908460071,00	
412150104	-0000002103289,00	
412150200	-0000071334607,00	
412150201	 0000000000000,00	
412150202	-0000071334607,00	
412150300	 0000000000000,00	
412150500	 0000000000000,00	
412180000	-0226659163769,00	
412180100	-0226281192553,00	
412180200	-0000018445439,00	
412180201	-0000011653068,00	
412180202	-0000006792371,00	
412180300	-0000359525777,00	
412180301	 0000000000000,00	
412180302	-0000359525777,00	
412180390	 0000000000000,00	
412250000	-0004327723659,00	
412250100	-0000010250281,00	
412250101	 0000000000000,00	
412250102	-0000010250281,00	
412250103	 0000000000000,00	
412250200	-0000556340566,00	
412250201	 0000000000000,00	
412250202	 0000000000000,00	
412250203	-0000556340566,00	
412250300	-0003761132812,00	
412250301	-0003761132812,00	
412250302	 0000000000000,00	
