014	SCOTIABANK CHILE
8110000	 0000001189967,00	
8111000	 0000000000000,00	
8113000	 0000000473670,00	
8114000	 0000000379083,00	
8115000	 0000000337214,00	
8130000	 0000000152313,00	
8131000	 0000000000000,00	
8133000	 0000000021477,00	
8134000	 0000000002523,00	
8135000	 0000000128313,00	
8140000	 0000000021038,00	
8141000	 0000000000000,00	
8143000	 0000000003180,00	
8144000	 0000000001841,00	
8145000	 0000000016017,00	
8310000	 0000006599504,00	
8311000	 0000000183963,00	
8312000	 0000000003142,00	
8314000	 0000000051482,00	
8315000	 0000000865934,00	
8315100	 0000000669705,00	
8315200	 0000000196229,00	
8317000	 0000004956951,00	
8318000	 0000000538032,00	
8318100	 0000000467444,00	
8318900	 0000000070588,00	
8319000	 0000000000000,00	
8510000	 0000011507866,00	
8511000	 0000000001538,00	
8513000	 0000011506328,00	
8520000	 0000000297876,00	
8521000	 0000000000000,00	
8523000	 0000000297876,00	
8530000	 0000000088884,00	
8531000	 0000000000000,00	
8533000	 0000000088884,00	
8540000	 0000014010474,00	
8543000	 0000001829998,00	
8544000	 0000009274028,00	
8545000	 0000002906448,00	
8560000	 0000000949843,00	
8563000	 0000000233546,00	
8564000	 0000000379083,00	
8565000	 0000000337214,00	
8610000	 0000001858454,00	
8620000	 0000000007661,00	
8630000	 0000000001726,00	
8640000	 0000004703335,00	
8660000	 0000000028328,00	
8700000	 0000000003479,00	
8710000	 0000000003762,00	
8711000	 0000000000030,00	
8712000	 0000000001312,00	
8713000	 0000000000047,00	
8714000	 0000000000527,00	
8715000	 0000000000844,00	
8716000	 0000000000660,00	
8717000	 0000000000342,00	
8720000	 0000000000283,00	
8721000	 0000000000000,00	
8722000	 0000000000033,00	
8723000	 0000000000000,00	
8724000	 0000000000000,00	
8725000	 0000000000000,00	
8726000	 0000000000000,00	
8727000	 0000000000250,00	
8910000	 0000000509889,00	
8911000	 0000000000000,00	
8913000	 0000000185063,00	
8914000	 0000000212806,00	
8915000	 0000000112020,00	
