039	ITAÚ CORPBANCA
841000400	 0000000000000,00	
841000500	 0034172400000,00	
841000600	 3115806694708,00	
841000700	 0000000000000,00	
842000000	 0000000000000,00	
842000100	 0000000000000,00	
842000200	 0000000000000,00	
843000000	 0000000000000,00	
843000100	 0000000000000,00	
843000200	 0000000000000,00	
843000300	 0000000000000,00	
843000400	 0000000000000,00	
843000500	 0000000000000,00	
843500000	 0000000000000,00	
843500100	 0000000000000,00	
843500200	 0000000000000,00	
843500300	 0000000000000,00	
843500400	 0000000000000,00	
843500500	 0000000000000,00	
843500600	 0000000000000,00	
844100000	 0004991491384,00	
844200000	 0001578928131,00	
844300000	 0000902365703,00	
844400000	 0295403111478,00	
844400100	 0012877720000,00	
844400200	 0282525391478,00	
844500000	 2342784804684,00	
844500100	 2307673824684,00	
844500200	 0000000000000,00	
844500300	 0035110980000,00	
844600000	 0000000000000,00	
845250000	 0451706680732,00	
845250100	 0000000000000,00	
845250200	 0000000000000,00	
845250300	 0000755498396,00	
845250400	 0003033674758,00	
845250500	 0353389041230,00	
845250501	 0203045288025,00	
845250502	 0004558137343,00	
845250503	 0011813594223,00	
845250504	 0019680719216,00	
845250505	 0000000004034,00	
845250509	 0114291298389,00	
845250600	 0094528466348,00	
845250601	 0061653153448,00	
845250602	 0015867638569,00	
845250603	 0000000000000,00	
845250609	 0017007674331,00	
845500000	 0182599814229,00	
845500100	 0000000000000,00	
845500200	 0000000000000,00	
845500300	 0044505731516,00	
845500400	 0000000000000,00	
845500500	 0138094082713,00	
845500501	 0003480606293,00	
845500502	 0035283697703,00	
845500503	 0000648717078,00	
845500504	 0000000000000,00	
845500509	 0098681061639,00	
845500600	 0000000000000,00	
846100000	 0000000000000,00	
847000000	 0015980482443,00	
847100000	 0019097283440,00	
847100100	 0003402055881,00	
847100200	 0010107704654,00	
847100300	 0000772336657,00	
847100400	 0000015300000,00	
847100500	 0000094671411,00	
847100600	 0000296476494,00	
847100700	 0004408738343,00	
847200000	 0003116800997,00	
847200100	 0000000000000,00	
847200200	 0002763080523,00	
847200300	 0000064177327,00	
847200400	 0000000000000,00	
847200500	 0000000000000,00	
847200600	 0000000571888,00	
847200700	 0000288971259,00	
851000000	 12418960746837,00	
851100000	 0046441254982,00	
851200000	 12372519491855,00	
852000000	 0712345988863,00	
852100000	 0000000000000,00	
852200000	 0712345988863,00	
853000000	 0710804506077,00	
853100000	 0000000000000,00	
853200000	 0710804506077,00	
854000000	 12184600543190,00	
854200000	 2420992517114,00	
854300000	 6797602995195,00	
854400000	 2966005030881,00	
855000000	 0678114794457,00	
855200000	 0280457429661,00	
855300000	 0242500327977,00	
855400000	 0155157036819,00	
856050000	 3160699367881,00	
856050100	 0589035892861,00	
856050200	 0150805539251,00	
856050300	 0008950124768,00	
856050400	 1826563072453,00	
856050500	 0000000000000,00	
856050600	 0335901790577,00	
856050800	 0249442947971,00	
856050900	 0000000000000,00	
856150000	 0064011149132,00	
856150100	 0000592959453,00	
856150200	 0000761861647,00	
856150300	 0000000000000,00	
856150400	 0057419289997,00	
856150500	 0000000000000,00	
856150600	 0005237038035,00	
856150800	 0000000000000,00	
856150900	 0000000000000,00	
856250000	 0018886957982,00	
856250100	 0012362353878,00	
856250200	 0000000000000,00	
856250300	 0000000000000,00	
856250400	 0003526479514,00	
856250500	 0000000000000,00	
856250600	 0000234828140,00	
856250800	 0002763296450,00	
856250900	 0000000000000,00	
856350000	 0641525056759,00	
856350100	 0001186142054,00	
856350200	 0002196510587,00	
856350300	 0000000000000,00	
856350400	 0064994682303,00	
856350500	 0000000000000,00	
856350600	 0224731347569,00	
856350700	 0348416374246,00	
856350800	 0000000000000,00	
856350900	 0000000000000,00	
856450000	 0003751623442,00	
856450100	 0000000000000,00	
856450200	 0000000000000,00	
856450300	 0000000000000,00	
856450400	 0001883591678,00	
856450500	 0000000000000,00	
856450600	 0001014966560,00	
856450700	 0000853065204,00	
856450800	 0000000000000,00	
856450900	 0000000000000,00	
856550000	 4178248011655,00	
856550100	 0000000000000,00	
856550200	 0000000000000,00	
856550300	 0000000000000,00	
856550400	 3086898998674,00	
856550500	 0437893011112,00	
856550600	 0653456001869,00	
856650000	 0012183962024,00	
856650100	 0000000000000,00	
856650200	 0000000000000,00	
856650300	 0000000000000,00	
856650400	 0001534355205,00	
856650500	 0010649606819,00	
856650600	 0000000000000,00	
856750000	 0000000000000,00	
856750100	 0000000000000,00	
856750200	 0000000000000,00	
856750300	 0000000000000,00	
856750400	 0000000000000,00	
856750500	 0000000000000,00	
856750600	 0000000000000,00	
856750800	 0000000000000,00	
856750900	 0000000000000,00	
856850000	 0000000000000,00	
856850100	 0000000000000,00	
856850200	 0000000000000,00	
856850300	 0000000000000,00	
856850400	 0000000000000,00	
856850500	 0000000000000,00	
856850600	 0000000000000,00	
856850800	 0000000000000,00	
856850900	 0000000000000,00	
856950000	 0000000000000,00	
856950100	 0000000000000,00	
856950200	 0000000000000,00	
856950300	 0000000000000,00	
856950400	 0000000000000,00	
856950500	 0000000000000,00	
856950600	 0000000000000,00	
856950800	 0000000000000,00	
856950900	 0000000000000,00	
857000000	 0525500408342,00	
857100000	 0000000000000,00	
857100100	 0000000000000,00	
857100200	 0000000000000,00	
857200000	 0389237527568,00	
857200100	 0307995487355,00	
857200101	 0231222371599,00	
857200102	 0055076165946,00	
857200103	 0021696949810,00	
857200104	 0000000000000,00	
857200600	 0001854014249,00	
857200700	 0001794619286,00	
857200800	 0001177332278,00	
857200900	 0002685411787,00	
857201000	 0014120487994,00	
857201100	 0059610174619,00	
857201200	 0000000000000,00	
857300000	 0072322603280,00	
857300100	 0000481286334,00	
857300200	 0001649512381,00	
857300300	 0000000000000,00	
857300400	 0061375306085,00	
857300500	 0007700716919,00	
857300600	 0001115781561,00	
857400000	 0063940277494,00	
857400100	 0048101993886,00	
857400200	 0001555197329,00	
857400300	 0013379563100,00	
857400400	 0000012574584,00	
857400500	 0000890948595,00	
858000000	 0000000000000,00	
858100000	 0000000000000,00	
858200000	 0000000000000,00	
858300000	 0000000000000,00	
858400000	 0000000000000,00	
859000000	 0000000000000,00	
859100000	 0000000000000,00	
859200000	 0000000000000,00	
859300000	 0000000000000,00	
859400000	 0000000000000,00	
