001	BANCO DE CHILE
841000400	 0000000000000,00	
841000500	 0026416800000,00	
841000600	 4849020126208,00	
841000700	 0000000000000,00	
842000000	 0000000000000,00	
842000100	 0000000000000,00	
842000200	 0000000000000,00	
843000000	 0000000000000,00	
843000100	 0000000000000,00	
843000200	 0000000000000,00	
843000300	 0000000000000,00	
843000400	 0000000000000,00	
843000500	 0000000000000,00	
843500000	 0000000000000,00	
843500100	 0000000000000,00	
843500200	 0000000000000,00	
843500300	 0000000000000,00	
843500400	 0000000000000,00	
843500500	 0000000000000,00	
843500600	 0000000000000,00	
844100000	 0004344236254,00	
844200000	 0000347657218,00	
844300000	 0004971996823,00	
844400000	 4406586600000,00	
844400100	 4406586600000,00	
844400200	 0000000000000,00	
844500000	 6798386141000,00	
844500100	 5920611641000,00	
844500200	 0000000000000,00	
844500300	 0877774500000,00	
844600000	 0002790101815,00	
845250000	 0580897056821,00	
845250100	 0000000000000,00	
845250200	 0000000000000,00	
845250300	 0000734794391,00	
845250400	 0000000000000,00	
845250500	 0580162262430,00	
845250501	 0393764678265,00	
845250502	 0000000000000,00	
845250503	 0010304835217,00	
845250504	 0037540155047,00	
845250505	 0089820929895,00	
845250509	 0048731664006,00	
845250600	 0000000000000,00	
845250601	 0000000000000,00	
845250602	 0000000000000,00	
845250603	 0000000000000,00	
845250609	 0000000000000,00	
845500000	 0041387704512,00	
845500100	 0000000000000,00	
845500200	 0000000000000,00	
845500300	 0012431497008,00	
845500400	 0000000000000,00	
845500500	 0028956207504,00	
845500501	 0000120420419,00	
845500502	 0000000000000,00	
845500503	 0000585043401,00	
845500504	 0001023042851,00	
845500509	 0027227700833,00	
845500600	 0000000000000,00	
846100000	 0000000000000,00	
847000000	 0017897146740,00	
847100000	 0024140113457,00	
847100100	 0000076664346,00	
847100200	 0016197288667,00	
847100300	 0001390799739,00	
847100400	 0001082142858,00	
847100500	 0000526864214,00	
847100600	 0000175420098,00	
847100700	 0004690933535,00	
847200000	 0006242966717,00	
847200100	 0000006500000,00	
847200200	 0005805777157,00	
847200300	 0000002848283,00	
847200400	 0000000000000,00	
847200500	 0000002547367,00	
847200600	 0000000284551,00	
847200700	 0000425009359,00	
851000000	 15333026784368,00	
851100000	 0373692369330,00	
851200000	 14959334415038,00	
852000000	 0287216212723,00	
852100000	 0000000000000,00	
852200000	 0287216212723,00	
853000000	 0214661997660,00	
853100000	 0000000000000,00	
853200000	 0214661997660,00	
854000000	 20525822250605,00	
854200000	 4534840824347,00	
854300000	 11220418341960,00	
854400000	 4770563084298,00	
855000000	 0707769115194,00	
855200000	 0289656569385,00	
855300000	 0195735991367,00	
855400000	 0222376554442,00	
856050000	 4629706280045,00	
856050100	 0340789586419,00	
856050200	 0423810294960,00	
856050300	 0000000000000,00	
856050400	 2541710799937,00	
856050500	 0000000000000,00	
856050600	 1251040489770,00	
856050800	 0072355108959,00	
856050900	 0000000000000,00	
856150000	 0099057685607,00	
856150100	 0007361922286,00	
856150200	 0000000000000,00	
856150300	 0000000000000,00	
856150400	 0086747735523,00	
856150500	 0000000000000,00	
856150600	 0004948027798,00	
856150800	 0000000000000,00	
856150900	 0000000000000,00	
856250000	 0017708770491,00	
856250100	 0000047718325,00	
856250200	 0000000000000,00	
856250300	 0000000000000,00	
856250400	 0016872136881,00	
856250500	 0000000000000,00	
856250600	 0000788915285,00	
856250800	 0000000000000,00	
856250900	 0000000000000,00	
856350000	 0482622092115,00	
856350100	 0000574951393,00	
856350200	 0000384675005,00	
856350300	 0000000000000,00	
856350400	 0052124447667,00	
856350500	 0000000000000,00	
856350600	 0429538018050,00	
856350700	 0000000000000,00	
856350800	 0000000000000,00	
856350900	 0000000000000,00	
856450000	 0001446130315,00	
856450100	 0000000000000,00	
856450200	 0000000000000,00	
856450300	 0000000000000,00	
856450400	 0000152902390,00	
856450500	 0000000000000,00	
856450600	 0001293227925,00	
856450700	 0000000000000,00	
856450800	 0000000000000,00	
856450900	 0000000000000,00	
856550000	 7649457584878,00	
856550100	 0000000000000,00	
856550200	 0000000000000,00	
856550300	 0000000000000,00	
856550400	 1455633103022,00	
856550500	 6193824481856,00	
856550600	 0000000000000,00	
856650000	 0010796172458,00	
856650100	 0000000000000,00	
856650200	 0000000000000,00	
856650300	 0000000000000,00	
856650400	 0001669693006,00	
856650500	 0009126479452,00	
856650600	 0000000000000,00	
856750000	 0000000000000,00	
856750100	 0000000000000,00	
856750200	 0000000000000,00	
856750300	 0000000000000,00	
856750400	 0000000000000,00	
856750500	 0000000000000,00	
856750600	 0000000000000,00	
856750800	 0000000000000,00	
856750900	 0000000000000,00	
856850000	 0000000000000,00	
856850100	 0000000000000,00	
856850200	 0000000000000,00	
856850300	 0000000000000,00	
856850400	 0000000000000,00	
856850500	 0000000000000,00	
856850600	 0000000000000,00	
856850800	 0000000000000,00	
856850900	 0000000000000,00	
856950000	 0000000000000,00	
856950100	 0000000000000,00	
856950200	 0000000000000,00	
856950300	 0000000000000,00	
856950400	 0000000000000,00	
856950500	 0000000000000,00	
856950600	 0000000000000,00	
856950800	 0000000000000,00	
856950900	 0000000000000,00	
857000000	 0394613988866,00	
857100000	 0000000000000,00	
857100100	 0000000000000,00	
857100200	 0000000000000,00	
857200000	 0221907358977,00	
857200100	 0195462267814,00	
857200101	 0195441762076,00	
857200102	 0000000000000,00	
857200103	 0000020505738,00	
857200104	 0000000000000,00	
857200600	 0005262052466,00	
857200700	 0000000000000,00	
857200800	 0004604375396,00	
857200900	 0000422516674,00	
857201000	 0010284463755,00	
857201100	 0000000000000,00	
857201200	 0005871682872,00	
857300000	 0088741056663,00	
857300100	 0000072794401,00	
857300200	 0000099096864,00	
857300300	 0000000000000,00	
857300400	 0088542133879,00	
857300500	 0000000000000,00	
857300600	 0000027031519,00	
857400000	 0083965573226,00	
857400100	 0066362667648,00	
857400200	 0000000000000,00	
857400300	 0017602905578,00	
857400400	 0000000000000,00	
857400500	 0000000000000,00	
858000000	 0000000000000,00	
858100000	 0000000000000,00	
858200000	 0000000000000,00	
858300000	 0000000000000,00	
858400000	 0000000000000,00	
859000000	 0000000000000,00	
859100000	 0000000000000,00	
859200000	 0000000000000,00	
859300000	 0000000000000,00	
859400000	 0000000000000,00	
