009	BANCO INTERNACIONAL
422850101	 0000224581230,00	
422850102	 0000000000000,00	
422850103	 0000021817114,00	
422850104	 0000000000000,00	
422850105	 0000000000000,00	
422850106	 0000053183826,00	
422850190	 0001442516187,00	
425000000	-0009524731950,00	
425150100	-0001370149537,00	
425150101	-0000192100073,00	
425150102	-0001178049464,00	
425150103	 0000000000000,00	
425150104	 0000000000000,00	
425150105	 0000000000000,00	
425150190	 0000000000000,00	
425180100	 0000000000000,00	
425180101	 0000000000000,00	
425180102	 0000000000000,00	
425180103	 0000000000000,00	
425180104	 0000000000000,00	
425180190	 0000000000000,00	
425250100	 0000000000000,00	
425280100	 0000000000000,00	
425280101	 0000000000000,00	
425280102	 0000000000000,00	
425280103	 0000000000000,00	
425280104	 0000000000000,00	
425280105	 0000000000000,00	
425280109	 0000000000000,00	
425280190	 0000000000000,00	
425350100	 0000000000000,00	
425350101	 0000000000000,00	
425350102	 0000000000000,00	
425350103	 0000000000000,00	
425350104	 0000000000000,00	
425350105	 0000000000000,00	
425350106	 0000000000000,00	
425350190	 0000000000000,00	
425380100	-0008154582413,00	
425380101	 0000000000000,00	
425380102	-0000154433500,00	
425380103	-0001112589603,00	
425380104	 0000000000000,00	
425380105	 0000000000000,00	
425380106	 0000000000000,00	
425380190	-0006887559310,00	
431000000	 0002744438506,00	
431150100	 0003343517864,00	
431150101	 0749551804026,00	
431150102	-0746208286162,00	
431180100	-0000599079358,00	
431180101	 0000000000000,00	
431180102	 0000000000000,00	
431180103	 0000651313743,00	
431180104	-0002672299887,00	
431180105	 0001421906786,00	
431180106	 0000000000000,00	
431250000	 0000000000000,00	
431250100	 0000000000000,00	
431250101	 0000000000000,00	
431250102	 0000000000000,00	
431250103	 0000000000000,00	
431250104	 0000000000000,00	
431250200	 0000000000000,00	
431250201	 0000000000000,00	
431250202	 0000000000000,00	
431250203	 0000000000000,00	
431250204	 0000000000000,00	
431250205	 0000000000000,00	
431250300	 0000000000000,00	
431250301	 0000000000000,00	
431250302	 0000000000000,00	
431250303	 0000000000000,00	
431250304	 0000000000000,00	
431250305	 0000000000000,00	
431250306	 0000000000000,00	
431250900	 0000000000000,00	
431250901	 0000000000000,00	
431250902	 0000000000000,00	
431250903	 0000000000000,00	
431250904	 0000000000000,00	
431250905	 0000000000000,00	
