028	BANCO BICE
841000400	 0000000000000,00	
841000500	 0000000000000,00	
841000600	 0000000000000,00	
841000700	 0000000000000,00	
842000000	 0000000000000,00	
842000100	 0000000000000,00	
842000200	 0000000000000,00	
843000000	 0000000000000,00	
843000100	 0000000000000,00	
843000200	 0000000000000,00	
843000300	 0000000000000,00	
843000400	 0000000000000,00	
843000500	 0000000000000,00	
843500000	 0000000000000,00	
843500100	 0000000000000,00	
843500200	 0000000000000,00	
843500300	 0000000000000,00	
843500400	 0000000000000,00	
843500500	 0000000000000,00	
843500600	 0000000000000,00	
844100000	 0001129900000,00	
844200000	 0000040373066,00	
844300000	 0000000000000,00	
844400000	 0000000000000,00	
844400100	 0000000000000,00	
844400200	 0000000000000,00	
844500000	 0362025013800,00	
844500100	 0291803053800,00	
844500200	 0000000000000,00	
844500300	 0070221960000,00	
844600000	 0000000000000,00	
845250000	 0053534449945,00	
845250100	 0000000000000,00	
845250200	 0000000000000,00	
845250300	 0000292418920,00	
845250400	 0000000000000,00	
845250500	 0049580883513,00	
845250501	 0041267661701,00	
845250502	 0000240829401,00	
845250503	 0001042296141,00	
845250504	 0000000000000,00	
845250505	 0000000000000,00	
845250509	 0007030096270,00	
845250600	 0003661147512,00	
845250601	 0000000000000,00	
845250602	 0003661147512,00	
845250603	 0000000000000,00	
845250609	 0000000000000,00	
845500000	 0014776081819,00	
845500100	 0000000000000,00	
845500200	 0000000000000,00	
845500300	 0006733558029,00	
845500400	 0000000000000,00	
845500500	 0008042523790,00	
845500501	 0000386327733,00	
845500502	 0000628335359,00	
845500503	 0000121884997,00	
845500504	 0000000000000,00	
845500509	 0006905975701,00	
845500600	 0000000000000,00	
846100000	 0000000000000,00	
847000000	 0001652689064,00	
847100000	 0002096455885,00	
847100100	 0000000000000,00	
847100200	 0001675199577,00	
847100300	 0000000000000,00	
847100400	 0000029807873,00	
847100500	 0000004844852,00	
847100600	 0000047463721,00	
847100700	 0000339139862,00	
847200000	 0000443766821,00	
847200100	 0000000000000,00	
847200200	 0000443452043,00	
847200300	 0000000000000,00	
847200400	 0000000067450,00	
847200500	 0000000000000,00	
847200600	 0000000054349,00	
847200700	 0000000192979,00	
851000000	 5003945866869,00	
851100000	 0000000000000,00	
851200000	 5003945866869,00	
852000000	 0300500457896,00	
852100000	 0000000000000,00	
852200000	 0300500457896,00	
853000000	 0102798060546,00	
853100000	 0000000000000,00	
853200000	 0102798060546,00	
854000000	 2488075540600,00	
854200000	 0608292784119,00	
854300000	 1650704237532,00	
854400000	 0229078518949,00	
855000000	 0037763352411,00	
855200000	 0016960551863,00	
855300000	 0015006565383,00	
855400000	 0005796235165,00	
856050000	 1071417920399,00	
856050100	 0031074451615,00	
856050200	 0056939694782,00	
856050300	 0000000000000,00	
856050400	 0425907516166,00	
856050500	 0000000000000,00	
856050600	 0413939626018,00	
856050800	 0139298898828,00	
856050900	 0004257732990,00	
856150000	 0022524489320,00	
856150100	 0000297482500,00	
856150200	 0001081568811,00	
856150300	 0000000000000,00	
856150400	 0019243081410,00	
856150500	 0000000000000,00	
856150600	 0001704926589,00	
856150800	 0000197430010,00	
856150900	 0000000000000,00	
856250000	 0004787860683,00	
856250100	 0000000000000,00	
856250200	 0000000000000,00	
856250300	 0000000000000,00	
856250400	 0004699426079,00	
856250500	 0000000000000,00	
856250600	 0000088434604,00	
856250800	 0000000000000,00	
856250900	 0000000000000,00	
856350000	 0139583384263,00	
856350100	 0000169990000,00	
856350200	 0000091548821,00	
856350300	 0000000000000,00	
856350400	 0021218747897,00	
856350500	 0000000000000,00	
856350600	 0088327172046,00	
856350700	 0000000000000,00	
856350800	 0024846857580,00	
856350900	 0004929067919,00	
856450000	 0000409061351,00	
856450100	 0000000000000,00	
856450200	 0000000000000,00	
856450300	 0000000000000,00	
856450400	 0000248729345,00	
856450500	 0000000000000,00	
856450600	 0000074869473,00	
856450700	 0000000000000,00	
856450800	 0000085462533,00	
856450900	 0000000000000,00	
856550000	 0351301688463,00	
856550100	 0000000000000,00	
856550200	 0000000000000,00	
856550300	 0000000000000,00	
