012	BANCO DEL ESTADO DE CHILE
841000400	 0000000000000,00	
841000500	 0000000000000,00	
841000600	 0000000000000,00	
841000700	 0000000000000,00	
842000000	 0000000000000,00	
842000100	 0000000000000,00	
842000200	 0000000000000,00	
843000000	 0000000000000,00	
843000100	 0000000000000,00	
843000200	 0000000000000,00	
843000300	 0000000000000,00	
843000400	 0000000000000,00	
843000500	 0000000000000,00	
843500000	 0000000000000,00	
843500100	 0000000000000,00	
843500200	 0000000000000,00	
843500300	 0000000000000,00	
843500400	 0000000000000,00	
843500500	 0000000000000,00	
843500600	 0000000000000,00	
844100000	 0001626804240,00	
844200000	 0037227795300,00	
844300000	 0134998660741,00	
844400000	 0000000000000,00	
844400100	 0000000000000,00	
844400200	 0000000000000,00	
844500000	 1518413000000,00	
844500100	 1448789400000,00	
844500200	 0000000000000,00	
844500300	 0069623600000,00	
844600000	 0000448121990,00	
845250000	 1837668346966,00	
845250100	 0000000000000,00	
845250200	 0000000000000,00	
845250300	 0000000000000,00	
845250400	 0000000000000,00	
845250500	 1833914243639,00	
845250501	 1221964860250,00	
845250502	 0001319203431,00	
845250503	 0162433434644,00	
845250504	 0116009602029,00	
845250505	 0016851380166,00	
845250509	 0315335763119,00	
845250600	 0003754103327,00	
845250601	 0000000000000,00	
845250602	 0003754103327,00	
845250603	 0000000000000,00	
845250609	 0000000000000,00	
845500000	 0067799987637,00	
845500100	 0000000000000,00	
845500200	 0000000000000,00	
845500300	 0021122425132,00	
845500400	 0000000000000,00	
845500500	 0046677562505,00	
845500501	 0001029500020,00	
845500502	 0000000000000,00	
845500503	 0000016600507,00	
845500504	 0000000000000,00	
845500509	 0045631461978,00	
845500600	 0000000000000,00	
846100000	 0000000000000,00	
847000000	 0048077717672,00	
847100000	 0050006504518,00	
847100100	 0000237054627,00	
847100200	 0041527100792,00	
847100300	 0002267374230,00	
847100400	 0000133808862,00	
847100500	 0001154988810,00	
847100600	 0003239158956,00	
847100700	 0001447018241,00	
847200000	 0001928786846,00	
847200100	 0000339043827,00	
847200200	 0000549000817,00	
847200300	 0000423424460,00	
847200400	 0000000160654,00	
847200500	 0000000000000,00	
847200600	 0000287300141,00	
847200700	 0000329856947,00	
851000000	 10476295665379,00	
851100000	 0749396011188,00	
851200000	 9726899654191,00	
852000000	 0563170699155,00	
852100000	 0000000000000,00	
852200000	 0563170699155,00	
853000000	 0372304403737,00	
853100000	 0000000000000,00	
853200000	 0372304403737,00	
854000000	 18369000815331,00	
854200000	 4552704283139,00	
854300000	 11840827002767,00	
854400000	 1975469529425,00	
855000000	 2337382562540,00	
855200000	 0645270604981,00	
855300000	 1355245351560,00	
855400000	 0336866605999,00	
856050000	 3595462523311,00	
856050100	 0573871633326,00	
856050200	 0226147703781,00	
856050300	 0000000000000,00	
856050400	 1662683977564,00	
856050500	 0534392486430,00	
856050600	 0000000000000,00	
856050800	 0598366722210,00	
856050900	 0000000000000,00	
856150000	 0161695132649,00	
856150100	 0002843576225,00	
856150200	 0003574465834,00	
856150300	 0000000000000,00	
856150400	 0148431700392,00	
856150500	 0002354332948,00	
856150600	 0000000000000,00	
856150800	 0004491057250,00	
856150900	 0000000000000,00	
856250000	 0008038939491,00	
856250100	 0000000000000,00	
856250200	 0000000000000,00	
856250300	 0000000000000,00	
856250400	 0007997007126,00	
856250500	 0000041932365,00	
856250600	 0000000000000,00	
856250800	 0000000000000,00	
856250900	 0000000000000,00	
856350000	 1400980278589,00	
856350100	 0000000000000,00	
856350200	 0001999961962,00	
856350300	 0000000000000,00	
856350400	 0035829345341,00	
856350500	 0097375044885,00	
856350600	 0000000000000,00	
856350700	 1248355615215,00	
856350800	 0017420311186,00	
856350900	 0000000000000,00	
856450000	 0012074057543,00	
856450100	 0000000000000,00	
856450200	 0000000000000,00	
856450300	 0000000000000,00	
856450400	 0001095479563,00	
856450500	 0001162837234,00	
856450600	 0000000000000,00	
856450700	 0009790295940,00	
856450800	 0000025444806,00	
856450900	 0000000000000,00	
856550000	 1273440584837,00	
856550100	 0285347140337,00	
856550200	 0958302409577,00	
856550300	 0029791034923,00	
