016	BANCO DE CRÉDITO E INVERSIONES
841000300	 0000000000000,00	
841000400	 0000000000000,00	
841000500	 0000000000000,00	
841000600	 0000000000000,00	
841000700	 0000000000000,00	
842000000	 0000000000000,00	
842000100	 0000000000000,00	
842000200	 0000000000000,00	
843000000	 0000000000000,00	
843000100	 0000000000000,00	
843000200	 0000000000000,00	
843000300	 0000000000000,00	
843000400	 0000000000000,00	
843000500	 0000000000000,00	
843500000	 0000000000000,00	
843500100	 0000000000000,00	
843500200	 0000000000000,00	
843500300	 0000000000000,00	
843500400	 0000000000000,00	
843500500	 0000000000000,00	
843500600	 0000000000000,00	
844100000	 0000000000000,00	
844200000	 0000000000000,00	
844300000	 0000000000000,00	
844400000	 0574776516080,00	
844400100	 0574776516080,00	
844400200	 0000000000000,00	
844500000	 0791752599000,00	
844500100	 0370420839000,00	
844500200	 0000000000000,00	
844500300	 0421331760000,00	
844600000	 0000620151224,00	
845250000	 0652778327085,00	
845250100	 0029531476717,00	
845250200	 0000000000000,00	
845250300	 0018157212098,00	
845250400	 0000000000000,00	
845250500	 0576561943800,00	
845250501	 0298576470535,00	
845250502	 0003228981613,00	
845250503	 0052462609152,00	
845250504	 0049676200062,00	
845250505	 0026719872852,00	
845250509	 0145897809586,00	
845250600	 0028527694470,00	
845250601	 0000000000000,00	
845250602	 0028527694470,00	
845250603	 0000000000000,00	
845250609	 0000000000000,00	
845500000	 0171908232775,00	
845500100	 0007768792744,00	
845500200	 0000000000000,00	
845500300	 0001160984949,00	
845500400	 0000000000000,00	
845500500	 0162978455082,00	
845500501	 0017920325531,00	
845500502	 0000000000000,00	
845500503	 0000000000000,00	
845500504	 0000372951027,00	
845500509	 0144685178524,00	
845500600	 0000000000000,00	
846100000	 0000000000000,00	
847000000	 0014963340726,00	
847100000	 0018187260155,00	
847100100	 0000178371152,00	
847100200	 0008525043119,00	
847100300	 0001029432810,00	
847100400	 0001657948748,00	
847100500	 0000341937052,00	
847100600	 0000352304854,00	
847100700	 0006102222420,00	
847200000	 0003223919429,00	
847200100	 0000037124590,00	
847200200	 0002686631947,00	
847200300	 0000009747079,00	
847200400	 0000046385516,00	
847200500	 0000141892075,00	
847200600	 0000173242076,00	
847200700	 0000128896146,00	
851000000	 24073139140806,00	
851100000	 0768663107319,00	
851200000	 23304476033487,00	
852000000	 1410253236170,00	
852100000	 0000000000000,00	
852200000	 1410253236170,00	
853000000	 0553447753204,00	
853100000	 0000000000000,00	
853200000	 0553447753204,00	
854000000	 20007863390535,00	
854200000	 4145374836141,00	
854300000	 12598708099686,00	
854400000	 3263780454708,00	
855000000	 0900183904820,00	
855200000	 0333562084230,00	
855300000	 0293790340885,00	
855400000	 0272831479705,00	
856050000	 7278938997577,00	
856050100	 0322449232476,00	
856050200	 0228165875561,00	
856050300	 0000000000000,00	
