014	SCOTIABANK CHILE
841000400	 0097079233720,00	
841000500	 0000000000000,00	
841000600	 3329073616623,00	
841000700	 0000000000000,00	
842000000	 0000000000000,00	
842000100	 0000000000000,00	
842000200	 0000000000000,00	
843000000	 0003861706456,00	
843000100	 0000000000000,00	
843000200	 0003861706456,00	
843000300	 0000000000000,00	
843000400	 0000000000000,00	
843000500	 0000000000000,00	
843500000	 0000000000000,00	
843500100	 0000000000000,00	
843500200	 0000000000000,00	
843500300	 0000000000000,00	
843500400	 0000000000000,00	
843500500	 0000000000000,00	
843500600	 0000000000000,00	
844100000	 0002638542661,00	
844200000	 0000000000000,00	
844300000	 0000000000000,00	
844400000	 0000000000000,00	
844400100	 0000000000000,00	
844400200	 0000000000000,00	
844500000	 0000000000000,00	
844500100	 0000000000000,00	
844500200	 0000000000000,00	
844500300	 0000000000000,00	
844600000	 0000000000000,00	
845250000	 0408715744954,00	
845250100	 0017374215860,00	
845250200	 0000000000000,00	
845250300	 0036197221974,00	
845250400	 0000470174449,00	
845250500	 0306478351214,00	
845250501	 0199600742217,00	
845250502	 0000000000000,00	
845250503	 0013095606131,00	
845250504	 0008125636124,00	
845250505	 0004948905858,00	
845250509	 0080707460884,00	
845250600	 0048195781457,00	
845250601	 0000000000000,00	
845250602	 0004366543838,00	
845250603	 0000000000000,00	
845250609	 0043829237619,00	
845500000	 0078381551163,00	
845500100	 0000000000000,00	
845500200	 0000000000000,00	
845500300	 0047308797947,00	
845500400	 0000000000000,00	
845500500	 0031072753216,00	
845500501	 0001378439532,00	
845500502	 0000000000000,00	
845500503	 0000000000000,00	
845500504	 0000000000000,00	
845500509	 0029694313684,00	
845500600	 0000000000000,00	
846100000	 0000000000000,00	
847000000	 0014427943665,00	
847100000	 0017718378974,00	
847100100	 0001105708365,00	
847100200	 0011417201015,00	
847100300	 0000056162055,00	
847100400	 0000170337418,00	
847100500	 0000020874221,00	
847100600	 0000611690926,00	
847100700	 0004336404974,00	
847200000	 0003290435309,00	
847200100	 0000000000000,00	
847200200	 0002380896591,00	
847200300	 0000000000000,00	
847200400	 0000000000000,00	
847200500	 0000003505958,00	
847200600	 0000122971611,00	
847200700	 0000783061149,00	
851000000	 13000036382337,00	
851100000	 0008177324280,00	
851200000	 12991859058057,00	
852000000	 0432225226449,00	
852100000	 0000000000000,00	
852200000	 0432225226449,00	
853000000	 0236616278134,00	
853100000	 0000000000000,00	
853200000	 0236616278134,00	
854000000	 18757878870338,00	
854200000	 1882729218235,00	
854300000	 13275383254695,00	
854400000	 3599766397408,00	
855000000	 0768633708920,00	
855200000	 0200946713020,00	
855300000	 0308757421439,00	
855400000	 0258929574461,00	
856050000	 2235216007579,00	
856050100	 0690062528973,00	
856050200	 0125828439023,00	
856050300	 0000000000000,00	
856050400	 0668156566388,00	
