037	BANCO SANTANDER-CHILE
841000400	 0069666380000,00	
841000500	 0000000000000,00	
841000600	 0000000000000,00	
841000700	 0000000000000,00	
842000000	 0000000000000,00	
842000100	 0000000000000,00	
842000200	 0000000000000,00	
843000000	 0000000000000,00	
843000100	 0000000000000,00	
843000200	 0000000000000,00	
843000300	 0000000000000,00	
843000400	 0000000000000,00	
843000500	 0000000000000,00	
843500000	 0000000000000,00	
843500100	 0000000000000,00	
843500200	 0000000000000,00	
843500300	 0000000000000,00	
843500400	 0000000000000,00	
843500500	 0000000000000,00	
843500600	 0000000000000,00	
844100000	 0009458796452,00	
844200000	 0001290920778,00	
844300000	 0000000000000,00	
844400000	 0007657703385,00	
844400100	 0000000000000,00	
844400200	 0007657703385,00	
844500000	 2744900696520,00	
844500100	 2111213800520,00	
844500200	 0222888430000,00	
844500300	 0410798466000,00	
844600000	 0000101028147,00	
845250000	 0690850698756,00	
845250100	 0000000000000,00	
845250200	 0000000000000,00	
845250300	 0000000000000,00	
845250400	 0000000000000,00	
845250500	 0678552201256,00	
845250501	 0322194005152,00	
845250502	 0025619744919,00	
845250503	 0018243413852,00	
845250504	 0033305381888,00	
845250505	 0095152194055,00	
845250509	 0184037461390,00	
845250600	 0012298497500,00	
845250601	 0000000000000,00	
845250602	 0012298497500,00	
845250603	 0000000000000,00	
845250609	 0000000000000,00	
845500000	 0376726842779,00	
845500100	 0000000000000,00	
845500200	 0000000000000,00	
845500300	 0000000000000,00	
845500400	 0000000000000,00	
845500500	 0376726842779,00	
845500501	 0000000000000,00	
845500502	 0000020384106,00	
845500503	 0046977382983,00	
845500504	 0000000000000,00	
845500509	 0329729075690,00	
845500600	 0000000000000,00	
846100000	 0000000000000,00	
847000000	 0017244617955,00	
847100000	 0022313549028,00	
847100100	 0000090708438,00	
847100200	 0008512845218,00	
847100300	 0008094801156,00	
847100400	 0000789342007,00	
847100500	 0000221005543,00	
847100600	 0000980989227,00	
847100700	 0003623857439,00	
847200000	 0005068931073,00	
847200100	 0000000000000,00	
847200200	 0002194115346,00	
847200300	 0001390915822,00	
847200400	 0000673088511,00	
847200500	 0000000000000,00	
847200600	 0000002105300,00	
847200700	 0000808706094,00	
851000000	 10995318654002,00	
851100000	 0032991115517,00	
851200000	 10962327538485,00	
852000000	 1110715880589,00	
852100000	 0000000000000,00	
852200000	 1110715880589,00	
853000000	 0698790139402,00	
853100000	 0000000000000,00	
853200000	 0698790139402,00	
854000000	 24955854514733,00	
854200000	 4545689621108,00	
854300000	 15306945653010,00	
854400000	 5103219240615,00	
855000000	 0968722144885,00	
855200000	 0367065435805,00	
855300000	 0422064209039,00	
855400000	 0179592500041,00	
856050000	 4401608772151,00	
856050100	 0902883424610,00	
856050200	 0254176785940,00	
856050300	 0000000000000,00	
856050400	 1348997054597,00	
856050500	 0000000000000,00	
856050600	 1655650930525,00	
856050800	 0239900576479,00	
856050900	 0000000000000,00	
856150000	 0100013982765,00	
856150100	 0020546982324,00	
856150200	 0000079379267,00	
856150300	 0000000000000,00	
856150400	 0059413064679,00	
856150500	 0000000000000,00	
856150600	 0019974556495,00	
856150800	 0000000000000,00	
856150900	 0000000000000,00	
856250000	 0008464605889,00	
856250100	 0000127438500,00	
856250200	 0000000000000,00	
856250300	 0000000000000,00	
856250400	 0007488808980,00	
856250500	 0000000000000,00	
856250600	 0000848358409,00	
856250800	 0000000000000,00	
856250900	 0000000000000,00	
856350000	 0602909960131,00	
856350100	 0000615179468,00	
856350200	 0001266104645,00	
856350300	 0000000000000,00	
856350400	 0059926394628,00	
856350500	 0000000000000,00	
856350600	 0466041740183,00	
856350700	 0001616530855,00	
856350800	 0073444010352,00	
856350900	 0000000000000,00	
856450000	 0001716490109,00	
856450100	 0000000000000,00	
856450200	 0000000000000,00	
856450300	 0000000000000,00	
856450400	 0000774584432,00	
856450500	 0000000000000,00	
856450600	 0000941905677,00	
856450700	 0000000000000,00	
856450800	 0000000000000,00	
856450900	 0000000000000,00	
856550000	 6827452673505,00	
856550100	 0000000000000,00	
856550200	 0000000000000,00	
856550300	 0000000000000,00	
856550400	 0852674733829,00	
856550500	 5974777939676,00	
856550600	 0000000000000,00	
856650000	 0003166320980,00	
856650100	 0000000000000,00	
856650200	 0000000000000,00	
856650300	 0000000000000,00	
856650400	 0000122645653,00	
856650500	 0003043675327,00	
856650600	 0000000000000,00	
856750000	 0000000000000,00	
856750100	 0000000000000,00	
856750200	 0000000000000,00	
856750300	 0000000000000,00	
856750400	 0000000000000,00	
856750500	 0000000000000,00	
856750600	 0000000000000,00	
856750800	 0000000000000,00	
856750900	 0000000000000,00	
856850000	 0000000000000,00	
856850100	 0000000000000,00	
856850200	 0000000000000,00	
856850300	 0000000000000,00	
856850400	 0000000000000,00	
856850500	 0000000000000,00	
856850600	 0000000000000,00	
856850800	 0000000000000,00	
856850900	 0000000000000,00	
856950000	 0000000000000,00	
856950100	 0000000000000,00	
856950200	 0000000000000,00	
856950300	 0000000000000,00	
856950400	 0000000000000,00	
856950500	 0000000000000,00	
856950600	 0000000000000,00	
856950800	 0000000000000,00	
856950900	 0000000000000,00	
857000000	 0717411380510,00	
857100000	 0000000000000,00	
857100100	 0000000000000,00	
857100200	 0000000000000,00	
857200000	 0439508312233,00	
857200100	 0365529108603,00	
857200101	 0365525490205,00	
857200102	 0000000000000,00	
857200103	 0000003618398,00	
857200104	 0000000000000,00	
857200600	 0017558627929,00	
857200700	 0007221693687,00	
857200800	 0007490856653,00	
857200900	 0003360307260,00	
857201000	 0021347388188,00	
857201100	 0007232609567,00	
857201200	 0009767720346,00	
857300000	 0191851078635,00	
857300100	 0000064429680,00	
857300200	 0000174108940,00	
857300300	 0001241471022,00	
857300400	 0188977736181,00	
857300500	 0000000000000,00	
857300600	 0001393332812,00	
857400000	 0086051989642,00	
857400100	 0065304154615,00	
857400200	 0003055551659,00	
857400300	 0017681055924,00	
857400400	 0000000000000,00	
857400500	 0000011227444,00	
858000000	 0000000000000,00	
858100000	 0000000000000,00	
858200000	 0000000000000,00	
858300000	 0000000000000,00	
858400000	 0000000000000,00	
859000000	 0000000000000,00	
859100000	 0000000000000,00	
859200000	 0000000000000,00	
859300000	 0000000000000,00	
859400000	 0000000000000,00	
