999	SISTEMA FINANCIERO
412380102	-0000043147591,00	
412380200	-0028291387971,00	
412380201	 0000000000000,00	
412380202	 0000000000000,00	
412380203	 0000000000000,00	
412380204	 0000000000000,00	
412380205	 0000000000000,00	
412380206	 0000000000000,00	
412380207	 0000000000000,00	
412380208	 0000000000000,00	
412380290	-0028291387971,00	
412380300	-0056998839550,00	
412380301	 0000000000000,00	
412380302	 0000000000000,00	
412380303	 0000000000000,00	
412380304	 0000000000000,00	
412380305	-0037000208151,00	
412380306	-0019998631399,00	
412450000	-0021398333564,00	
412500000	-0316793289193,00	
412500100	-0316793289193,00	
412800000	-1564355423730,00	
412800100	 1089654358800,00	
412800200	-2662117087903,00	
412800300	 0008107305373,00	
415000000	 11215251533677,00	
415100000	 14157873988047,00	
415150000	 0000000000000,00	
415150100	 0000000000000,00	
415150101	 0000000000000,00	
415150102	 0000000000000,00	
415150103	 0000000000000,00	
415150200	 0000000000000,00	
415150201	 0000000000000,00	
415150202	 0000000000000,00	
415150203	 0000000000000,00	
415150300	 0000000000000,00	
415150301	 0000000000000,00	
415150302	 0000000000000,00	
415150400	 0000000000000,00	
415150401	 0000000000000,00	
415150402	 0000000000000,00	
415200000	 0421895109711,00	
415200100	 0358908859936,00	
415200101	 0000640261297,00	
415200102	 0358268598639,00	
415200109	 0000000000000,00	
415200200	 0062986249775,00	
415200201	 0056215973194,00	
415200202	 0005982155342,00	
415200209	 0000788121239,00	
415200300	 0000000000000,00	
415200301	 0000000000000,00	
415200302	 0000000000000,00	
415200303	 0000000000000,00	
415200304	 0000000000000,00	
415200309	 0000000000000,00	
415250000	 0000000000000,00	
415250100	 0000000000000,00	
415250101	 0000000000000,00	
415250102	 0000000000000,00	
415250103	 0000000000000,00	
415250104	 0000000000000,00	
415250105	 0000000000000,00	
415250106	 0000000000000,00	
415250107	 0000000000000,00	
415250190	 0000000000000,00	
415250200	 0000000000000,00	
415250201	 0000000000000,00	
415250202	 0000000000000,00	
415250203	 0000000000000,00	
415250204	 0000000000000,00	
415250205	 0000000000000,00	
415250206	 0000000000000,00	
415250207	 0000000000000,00	
415250208	 0000000000000,00	
415250290	 0000000000000,00	
415250300	 0000000000000,00	
415250301	 0000000000000,00	
415250302	 0000000000000,00	
415250390	 0000000000000,00	
415250400	 0000000000000,00	
415250401	 0000000000000,00	
415250402	 0000000000000,00	
415250403	 0000000000000,00	
415280000	 5114586942081,00	
415280100	 4243982051771,00	
415280101	 2891638649686,00	
415280102	 0000000000000,00	
415280103	 0049317999304,00	
415280104	 0079441445876,00	
415280105	 0742909572368,00	
415280106	 0480674384537,00	
415280200	-0000021028615,00	
415280201	-0000030486708,00	
415280209	 0000009458093,00	
415280221	 0000000000000,00	
415280229	 0000000000000,00	
415280231	 0000000000000,00	
415280239	 0000000000000,00	
415280300	 0000000000000,00	
415280400	 0000000000000,00	
415280500	 0026449363564,00	
415280501	 0007903972452,00	
415280502	 0018545391112,00	
415280600	 0502131549509,00	
415280601	 0327832587755,00	
415280602	 0174298961754,00	
415280700	 0341807928276,00	
415280701	 0324696343527,00	
415280702	 0001645236800,00	
415280709	 0015466347949,00	
415280900	 0000237077576,00	
415280901	 0000000000000,00	
415280902	 0000179336730,00	
415280990	 0000057740846,00	
415350000	 8545445323508,00	
415350100	 0052829134070,00	
415350200	 0427626975348,00	
415350300	 0010642076997,00	
415350400	 7978162985716,00	
415350401	 5383883944672,00	
415350402	 2594279041044,00	
415350500	 0004784183186,00	
415350900	 0071399968191,00	
415350901	 0037424449720,00	
415350902	 0001110962298,00	
415350903	 0000000000000,00	
415350990	 0032864556173,00	
415380000	 0015804270379,00	
415380100	 0015751367716,00	
415380200	 0000000000000,00	
415380300	 0000000000000,00	
415380400	 0000052902663,00	
415380900	 0000000000000,00	
415380901	 0000000000000,00	
415380990	 0000000000000,00	
415450000	 0060142342368,00	
415450100	 0000000000000,00	
415450101	 0000000000000,00	
415450102	 0000000000000,00	
415450109	 0000000000000,00	
415450300	 0000000000000,00	
415450900	 0060142342368,00	
415600000	 0591185285119,00	
415620000	 0589770277693,00	
415620100	 0295087077589,00	
415620101	 0005990451546,00	
415620102	 0286512775039,00	
415620109	 0002583851004,00	
415620200	 0294683200104,00	
415620201	 0232363064103,00	
415620202	 0035645217853,00	
415620209	 0026674918148,00	
415620300	 0000000000000,00	
415620301	 0000000000000,00	
415620302	 0000000000000,00	
415620303	 0000000000000,00	
415620304	 0000000000000,00	
415620309	 0000000000000,00	
415640000	 0001415007426,00	
415640100	 0001642444811,00	
415640101	 0000000000000,00	
415640102	 0001642444811,00	
415640103	 0000000000000,00	
415640104	 0000000000000,00	
415640200	-0000227437385,00	
415800000	-3533807739489,00	
415800100	 0216702185565,00	
415800200	-3756882584122,00	
415800300	 0006372659068,00	
416000000	-6479882200625,00	
416100100	-6285063752606,00	
416150000	-0067532585105,00	
416150100	 0000000000000,00	
416150101	 0000000000000,00	
416150102	 0000000000000,00	
416150103	 0000000000000,00	
416150104	 0000000000000,00	
416150200	 0000000000000,00	
416150201	 0000000000000,00	
416150202	 0000000000000,00	
416150300	-0001385107373,00	
416150500	-0066147477732,00	
416180000	-1403142548077,00	
416180100	-0587354377921,00	
416180200	-0750622828918,00	
416180201	-0641169848934,00	
416180202	-0109452979984,00	
416180300	-0065165341238,00	
416180301	-0003058039169,00	
416180302	 0000000000000,00	
416180390	-0062107302069,00	
416250000	 0000434546288,00	
416250100	-0000205044248,00	
416250101	 0000000000000,00	
416250102	-0000205044248,00	
416250103	 0000000000000,00	
416250200	 0000000000000,00	
416250201	 0000000000000,00	
416250202	 0000000000000,00	
416250203	 0000000000000,00	
416250300	 0000639590536,00	
416250301	 0000639590536,00	
416250302	 0000000000000,00	
416250400	 0000000000000,00	
416250401	 0000000000000,00	
416250402	 0000000000000,00	
416280000	-0003053708732,00	
416280100	-0003047989837,00	
416280110	 0000000000000,00	
416280111	 0000000000000,00	
416280112	 0000000000000,00	
416280113	 0000000000000,00	
416280120	-0003047989837,00	
416280121	 0000000000000,00	
416280122	 0000000000000,00	
416280123	 0000000000000,00	
416280124	-0004108770398,00	
416280129	 0001060780561,00	
416280200	-0000005718895,00	
416280210	 0000000000000,00	
416280211	 0000000000000,00	
416280212	 0000000000000,00	
416280213	 0000000000000,00	
416280220	-0000005718895,00	
416280221	 0000000000000,00	
416280222	 0000000000000,00	
416280223	 0000000000000,00	
416280224	 0000000000000,00	
416280229	-0000005718895,00	
416280300	 0000000000000,00	
416280301	 0000000000000,00	
416280302	 0000000000000,00	
416280400	 0000000000000,00	
416280401	 0000000000000,00	
416280402	 0000000000000,00	
416350000	-4699833838688,00	
416350100	-0102199410031,00	
416350101	-0055146705902,00	
416350102	-0047052704129,00	
416350200	-4597634428657,00	
416350201	-4587900650990,00	
416350203	-0009733777667,00	
416380000	-0111935618292,00	
416380100	-0001131741595,00	
416380101	-0001137369647,00	
416380102	 0000005628052,00	
416380200	-0110803876697,00	
416380201	 0000000000000,00	
416380202	 0000000000000,00	
416380203	 0000000000000,00	
416380204	 0000000000000,00	
416380205	 0000000000000,00	
416380206	 0000000000000,00	
416380207	 0000000000000,00	
416380208	 0000000000000,00	
416380290	-0110803876697,00	
416380300	 0000000000000,00	
416380301	 0000000000000,00	
416380302	 0000000000000,00	
416380303	 0000000000000,00	
416380304	 0000000000000,00	
416380305	 0000000000000,00	
416380306	 0000000000000,00	
416500000	-0964006369574,00	
416500100	-0964006369574,00	
416500200	 0000000000000,00	
416800000	 0769187921555,00	
416800100	 1355855797215,00	
416800200	-0586050555849,00	
416800300	-0000617319811,00	
420000000	 3728627977248,00	
422150100	 0052945074173,00	
422150101	 0000000000000,00	
422150102	 0018412508016,00	
422150103	 0005002189214,00	
422150104	 0029530376943,00	
422180100	 0011841613448,00	
422180101	 0009863900486,00	
422180102	 0001977712962,00	
422250100	 0034696689585,00	
422250101	 0032928669000,00	
422250102	 0001768020585,00	
422280100	 0167310800763,00	
422280101	 0010838053624,00	
422280102	 0001252656734,00	
422280103	 0024361672754,00	
422280104	 0102674367348,00	
422280105	 0022932277866,00	
422280190	 0005251772437,00	
422350100	 1251768628936,00	
422350101	 0127285487740,00	
422350102	 0347033982171,00	
422350103	 0385097867659,00	
422350104	 0060451163542,00	
422350105	 0320333941916,00	
422350106	 0000262529364,00	
422350107	 0000000000000,00	
422350108	 0000144677641,00	
422350109	 0000000000000,00	
422350190	 0011158978903,00	
422380100	 0344575951971,00	
422380101	 0124068938868,00	
422380102	 0053800508081,00	
422380103	 0007307977804,00	
422380104	 0101411002487,00	
422380105	 0000000000000,00	
422380106	 0000000000000,00	
422380107	 0003189942289,00	
422380190	 0054797582442,00	
422450100	 0631016406030,00	
422450101	 0086935042609,00	
422450102	 0001912668207,00	
422450103	 0247403843980,00	
422450104	 0039770560580,00	
422450105	 0009295278101,00	
422450106	 0000000000000,00	
422450107	 0159050792352,00	
422450108	 0025840374226,00	
422450190	 0060807845975,00	
422480100	 0108928021661,00	
422480101	 0051753050078,00	
422480102	 0012516755484,00	
422480103	 0017448759181,00	
422480190	 0027209456918,00	
422550100	 0313760848616,00	
422550101	 0032329815244,00	
422550102	 0130429898073,00	
422550103	 0072659847271,00	
422550104	 0078341288028,00	
422580000	 0305432695893,00	
422580100	 0161143035564,00	
422580101	 0113184405186,00	
422580102	 0047958630378,00	
422580200	 0122912604026,00	
422580300	 0009146721451,00	
422580400	 0012230334852,00	
422650100	 0011765773306,00	
422680100	 0001812070308,00	
422750100	 0000262613267,00	
422780100	 0081274317699,00	
422780101	 0001538383538,00	
422780102	 0026628520773,00	
422780103	 0011878387516,00	
422780190	 0041229025872,00	
422850100	 0411236471592,00	
422850101	 0023641027827,00	
422850102	 0006220163300,00	
422850103	 0005051959295,00	
422850104	 0004140668851,00	
422850105	 0000245936290,00	
422850106	 0034021138075,00	
422850190	 0337915577954,00	
425000000	-1253862304084,00	
425150100	-0453090948767,00	
425150101	-0056340596230,00	
425150102	-0220215877103,00	
425150103	-0166913321974,00	
425150104	-0000848180147,00	
425150105	 0000000000000,00	
425150190	-0008772973313,00	
425180100	-0023453016793,00	
425180101	-0018716826085,00	
425180102	-0002877194946,00	
425180103	 0000000000000,00	
425180104	 0000000000000,00	
425180190	-0001858995762,00	
425250100	-0013526189654,00	
425280100	-0202391724724,00	
425280101	 0000000000000,00	
425280102	-0199875430522,00	
425280103	-0001127988145,00	
425280104	 0000000000000,00	
425280105	 0000000000000,00	
425280109	 0000000000000,00	
425280190	-0001388306057,00	
425350100	-0120410948097,00	
425350101	-0059258008229,00	
425350102	-0026498032428,00	
425350103	 0000000000000,00	
425350104	-0000375863809,00	
425350105	-0005258451780,00	
425350106	-0000085620388,00	
425350190	-0028934971463,00	
425380100	-0440989476049,00	
425380101	-0000131311838,00	
425380102	-0000617042250,00	
425380103	-0014018733335,00	
425380104	-0073235260875,00	
425380105	-0065606080619,00	
425380106	-0080994546180,00	
425380190	-0206386500952,00	
431000000	 20664571061239,00	
431150100	 20204599788198,00	
431150101	 63874320124925,00	
431150102	-43669720336727,00	
431180100	 0525797143551,00	
431180101	 0176971941645,00	
431180102	-0181989191811,00	
431180103	 0158465323197,00	
431180104	-0174088873135,00	
431180105	 0423794431264,00	
431180106	 0122643512391,00	
431250000	-0065825870510,00	
431250100	 0032223541813,00	
431250101	 0035221102860,00	
431250102	-0008194211041,00	
431250103	 0005644349298,00	
431250104	-0000447699304,00	
431250200	-0101854114326,00	
431250201	 0001882011578,00	
431250202	-0084721392163,00	
431250203	 0013632642765,00	
431250204	-0033714291712,00	
431250205	 0001066915206,00	
431250300	-0000296472290,00	
431250301	 0000000000000,00	
431250302	 0000000000000,00	
431250303	 0000032946137,00	
431250304	-0000329418427,00	
431250305	 0000000000000,00	
431250306	 0000000000000,00	
431250900	 0004101174293,00	
431250901	 0005073405233,00	
431250902	-0001172675080,00	
431250903	 0000200465306,00	
431250904	-0000000021166,00	
431250905	 0000000000000,00	
431250906	 0000000000000,00	
431500000	-19874800981523,00	
431650100	-19873381501110,00	
431650101	 1378660822175,00	
431650102	-21252042323285,00	
431750100	-0001419480413,00	
431750101	 0000000766909,00	
431750102	-0000028846086,00	
431750103	 0001912885637,00	
431750104	-0002494278410,00	
431750105	-0000810008463,00	
431750106	 0000000000000,00	
431800000	-0025012101398,00	
431800100	-0000004487377,00	
431800101	 0000038942459,00	
431800102	-0000043429836,00	
431800103	 0000000000000,00	
431800104	 0000000000000,00	
431800105	 0000000000000,00	
431800106	 0000000000000,00	
431800900	-0025007614021,00	
431800901	 0000000000000,00	
431800902	-0029423364563,00	
431800903	 0000000000000,00	
431800904	 0000000000000,00	
431800905	 0004415750542,00	
431800906	 0000000000000,00	
431850000	-0000000004845,00	
431850100	-0000000004845,00	
431850101	 0000000000000,00	
431850102	-0000000004845,00	
431850103	 0000000000000,00	
431850104	 0000000000000,00	
431850105	 0000000000000,00	
431850106	 0000000000000,00	
431850200	 0000000000000,00	
431850210	 0000000000000,00	
431850211	 0000000000000,00	
431850212	 0000000000000,00	
431850213	 0000000000000,00	
431850214	 0000000000000,00	
431850215	 0000000000000,00	
431850216	 0000000000000,00	
431850220	 0000000000000,00	
431850221	 0000000000000,00	
431850222	 0000000000000,00	
431850223	 0000000000000,00	
431850224	 0000000000000,00	
431850225	 0000000000000,00	
431850226	 0000000000000,00	
431900000	 0000000000000,00	
431900100	 0000000000000,00	
431900101	 0000000000000,00	
431900102	 0000000000000,00	
431900103	 0000000000000,00	
431900104	 0000000000000,00	
431900105	 0000000000000,00	
431900106	 0000000000000,00	
431900200	 0000000000000,00	
431900201	 0000000000000,00	
431900202	 0000000000000,00	
431900203	 0000000000000,00	
431900204	 0000000000000,00	
431900205	 0000000000000,00	
431900206	 0000000000000,00	
431900300	 0000000000000,00	
431900301	 0000000000000,00	
431900302	 0000000000000,00	
431900303	 0000000000000,00	
431900304	 0000000000000,00	
431900305	 0000000000000,00	
431900306	 0000000000000,00	
432000000	-0008861481828,00	
432200000	 0061920459800,00	
432200100	 0000000000000,00	
432200200	-0016074999403,00	
432200300	 0000000000000,00	
432200400	 0044917436726,00	
432200500	 0001418649660,00	
432200600	 0011033889642,00	
432300700	 0020625483175,00	
432400000	-0090187639978,00	
432400100	 0000000000000,00	
432400200	-0090187639978,00	
432400300	 0000000000000,00	
432400400	 0000000000000,00	
432400500	 0000000000000,00	
432400600	 0000000000000,00	
432400700	 0000000000000,00	
432600000	 0019405698350,00	
432600100	 0000000000000,00	
432600200	 0002693977519,00	
432600300	 0000000000000,00	
432600400	-0000014042018,00	
432600500	 0008609985558,00	
432600600	 0008115777291,00	
432600800	 0000000000000,00	
432600900	 0000000000000,00	
432700000	 0000000000000,00	
432700100	 0000000000000,00	
432700200	 0000000000000,00	
433000000	 0235545446096,00	
433100100	 0578972907684,00	
433100101	 0562823953646,00	
433100102	 0016148954038,00	
433200000	 0033165682808,00	
433210000	 0012293021799,00	
433210100	 0000193527604,00	
433210200	 0012099494195,00	
433220000	 0000000000000,00	
433220100	 0000000000000,00	
433220200	 0000000000000,00	
433230000	 0000000000000,00	
433230100	 0000000000000,00	
433230200	 0000000000000,00	
433240000	-0006566286209,00	
433240100	-0006566387741,00	
433240200	 0000000101532,00	
433250000	 0024001171193,00	
433250100	 0000958533518,00	
433250200	 0000000000000,00	
433250300	 0000000000000,00	
433250301	 0000000000000,00	
433250302	 0000000000000,00	
433250303	 0000000000000,00	
433250304	 0000000000000,00	
433250400	 0023042637681,00	
433250410	 0002460525913,00	
433250411	 0002460525913,00	
433250412	 0000000000000,00	
433250413	 0000000000000,00	
433250414	 0000000000000,00	
433250415	 0000000000000,00	
433250416	 0000000000000,00	
433250420	 0000000000000,00	
433250421	 0000000000000,00	
433250422	 0000000000000,00	
433250423	 0000000000000,00	
433250424	 0000000000000,00	
433250425	 0000000000000,00	
433250426	 0000000000000,00	
433250430	 0000000000000,00	
433250440	 0000000000000,00	
433250450	 0015497224893,00	
433250451	 0009273788103,00	
433250452	 0006223436790,00	
433250460	 0005084886875,00	
433250461	 0002240868351,00	
433250462	 0002844018524,00	
433250470	 0000000000000,00	
433250480	 0000000000000,00	
433250481	 0000000000000,00	
433250482	 0000000000000,00	
433250483	 0000000000000,00	
433250500	 0000000000000,00	
433250600	-0000000000006,00	
433260000	 0006375676805,00	
433300000	-0002177824066,00	
433300100	 0000000000000,00	
433300200	 0000006011438,00	
433300300	-0000144789346,00	
433300400	 0000000000000,00	
433300500	 0000000000000,00	
433300600	 0000000000000,00	
433300700	 0000000000000,00	
433300900	 0000000000000,00	
433301000	-0002039046158,00	
433310000	-0000760076714,00	
433320000	 0000000000000,00	
433330000	 0000000000000,00	
433330100	 0000000000000,00	
433330200	 0000000000000,00	
433500100	-0376593144396,00	
433500101	 2168444928978,00	
433500102	-2960656618640,00	
433500103	 5750977744850,00	
433500104	-5335359199584,00	
