001	BANCO DE CHILE
8110000	 0000000992031,00	
8111000	 0000000000000,00	
8113000	 0000000483691,00	
8114000	 0000000282051,00	
8115000	 0000000226289,00	
8130000	 0000000185115,00	
8131000	 0000000000000,00	
8133000	 0000000058405,00	
8134000	 0000000008103,00	
8135000	 0000000118607,00	
8140000	 0000000047406,00	
8141000	 0000000000000,00	
8143000	 0000000008643,00	
8144000	 0000000004308,00	
8145000	 0000000034455,00	
8310000	 0000011638658,00	
8311000	 0000000360599,00	
8312000	 0000000190713,00	
8314000	 0000000432825,00	
8315000	 0000002323068,00	
8315100	 0000001927409,00	
8315200	 0000000395659,00	
8317000	 0000008264021,00	
8318000	 0000000067432,00	
8318100	 0000000000000,00	
8318900	 0000000067432,00	
8319000	 0000000000000,00	
8510000	 0000013764179,00	
8511000	 0000000318023,00	
8513000	 0000013446156,00	
8520000	 0000000199569,00	
8521000	 0000000000000,00	
8523000	 0000000199569,00	
8530000	 0000000169695,00	
8531000	 0000000000000,00	
8533000	 0000000169695,00	
8540000	 0000018480298,00	
8543000	 0000004866237,00	
8544000	 0000009815466,00	
8545000	 0000003798595,00	
8560000	 0000000785050,00	
8563000	 0000000276710,00	
8564000	 0000000282051,00	
8565000	 0000000226289,00	
8610000	 0000004484777,00	
8620000	 0000000030673,00	
8630000	 0000000008935,00	
8640000	 0000007090062,00	
8660000	 0000000024211,00	
8700000	 0000000007914,00	
8710000	 0000000011255,00	
8711000	 0000000000000,00	
8712000	 0000000007656,00	
8713000	 0000000000324,00	
8714000	 0000000000061,00	
8715000	 0000000000469,00	
8716000	 0000000000119,00	
8717000	 0000000002626,00	
8720000	 0000000003341,00	
8721000	 0000000000000,00	
8722000	 0000000002718,00	
8723000	 0000000000000,00	
8724000	 0000000000001,00	
8725000	 0000000000532,00	
8726000	 0000000000015,00	
8727000	 0000000000075,00	
8910000	 0000000305084,00	
8911000	 0000000000000,00	
8913000	 0000000196724,00	
8914000	 0000000072321,00	
8915000	 0000000036039,00	
