028	BANCO BICE
841000400	 0000000000000,00	
841000500	 0000000000000,00	
841000600	 0872449672947,00	
841000700	 0000000000000,00	
842000000	 0000000000000,00	
842000100	 0000000000000,00	
842000200	 0000000000000,00	
843000000	 0000000000000,00	
843000100	 0000000000000,00	
843000200	 0000000000000,00	
843000300	 0000000000000,00	
843000400	 0000000000000,00	
843000500	 0000000000000,00	
843500000	 0000000000000,00	
843500100	 0000000000000,00	
843500200	 0000000000000,00	
843500300	 0000000000000,00	
843500400	 0000000000000,00	
843500500	 0000000000000,00	
843500600	 0000000000000,00	
844100000	 0001129900000,00	
844200000	 0000013308468,00	
844300000	 0000000000000,00	
844400000	 0048197500000,00	
844400100	 0048197500000,00	
844400200	 0000000000000,00	
844500000	 0327197770000,00	
844500100	 0327197770000,00	
844500200	 0000000000000,00	
844500300	 0000000000000,00	
844600000	 0000000000000,00	
845250000	 0056169009352,00	
845250100	 0000000000000,00	
845250200	 0000000000000,00	
845250300	 0000239010908,00	
845250400	 0000000000000,00	
845250500	 0052966577844,00	
845250501	 0041181705205,00	
845250502	 0000080672911,00	
845250503	 0001209137117,00	
845250504	 0000000000000,00	
845250505	 0003467822942,00	
845250509	 0007027239669,00	
845250600	 0002963420600,00	
845250601	 0000000000000,00	
845250602	 0002963420600,00	
845250603	 0000000000000,00	
845250609	 0000000000000,00	
845500000	 0013618617661,00	
845500100	 0000000000000,00	
845500200	 0000000000000,00	
845500300	 0007878674167,00	
845500400	 0000000000000,00	
845500500	 0005739943494,00	
845500501	 0000104807213,00	
845500502	 0000000000000,00	
845500503	 0000000000000,00	
845500504	 0000000000000,00	
845500509	 0005635136281,00	
845500600	 0000000000000,00	
846100000	 0000000000000,00	
847000000	 0000416268486,00	
847100000	 0001220205136,00	
847100100	 0000000000000,00	
847100200	 0000989230781,00	
847100300	 0000000000000,00	
847100400	 0000000856097,00	
847100500	 0000000201478,00	
847100600	 0000005842500,00	
847100700	 0000224074280,00	
847200000	 0000803936650,00	
847200100	 0000000000000,00	
847200200	 0000619989850,00	
847200300	 0000000000000,00	
847200400	 0000000000000,00	
847200500	 0000000000000,00	
847200600	 0000000000000,00	
847200700	 0000183946800,00	
851000000	 5117592328132,00	
851100000	 0000000000000,00	
851200000	 5117592328132,00	
852000000	 0361949184118,00	
852100000	 0000000000000,00	
852200000	 0361949184118,00	
853000000	 0120932062208,00	
853100000	 0000000000000,00	
853200000	 0120932062208,00	
854000000	 2653189456644,00	
854200000	 0642482407094,00	
854300000	 1776437313877,00	
854400000	 0234269735673,00	
855000000	 0050847441438,00	
855200000	 0023651531658,00	
855300000	 0020565011494,00	
855400000	 0006630898286,00	
856050000	 1037532384981,00	
856050100	 0038070250690,00	
856050200	 0048013556519,00	
856050300	 0000000000000,00	
856050400	 0472283799929,00	
856050500	 0000000000000,00	
856050600	 0377155392313,00	
856050800	 0100580827590,00	
856050900	 0001428557940,00	
856150000	 0012819820361,00	
856150100	 0000000000000,00	
856150200	 0000503000678,00	
856150300	 0000000000000,00	
856150400	 0010798419732,00	
856150500	 0000000000000,00	
856150600	 0001502759427,00	
856150800	 0000015640524,00	
856150900	 0000000000000,00	
856250000	 0002393940546,00	
856250100	 0000000000000,00	
856250200	 0000000000000,00	
856250300	 0000000000000,00	
856250400	 0002343671979,00	
856250500	 0000000000000,00	
856250600	 0000050268567,00	
856250800	 0000000000000,00	
856250900	 0000000000000,00	
856350000	 0137444303691,00	
856350100	 0000000000000,00	
856350200	 0000198555308,00	
856350300	 0000000000000,00	
856350400	 0015083709737,00	
856350500	 0000000000000,00	
856350600	 0093046796974,00	
856350700	 0000000000000,00	
856350800	 0021486970669,00	
856350900	 0007628271003,00	
856450000	 0000486561109,00	
856450100	 0000096395000,00	
856450200	 0000000000000,00	
856450300	 0000000000000,00	
856450400	 0000281969325,00	
856450500	 0000000000000,00	
856450600	 0000086664326,00	
856450700	 0000000000000,00	
856450800	 0000021532458,00	
856450900	 0000000000000,00	
856550000	 0402692653023,00	
856550100	 0000000000000,00	
856550200	 0000000000000,00	
856550300	 0000000000000,00	
