039	BANCO ITAÚ CHILE
811000000	 1799286802199,00	
811100000	 0000000000000,00	
811100100	 0000000000000,00	
811100200	 0000000000000,00	
811200000	 1264442420109,00	
811200100	 1120795514696,00	
811200101	 0920154835187,00	
811200102	 0200335179780,00	
811200103	 0000305499729,00	
811200104	 0000000000000,00	
811200600	 0001658394336,00	
811200700	 0015288723760,00	
811200800	 0000184639834,00	
811200900	 0003015314011,00	
811201000	 0055951651072,00	
811201100	 0063139399351,00	
811201200	 0004408783049,00	
811300000	 0305713123985,00	
811300100	 0001082674568,00	
811300200	 0007850906611,00	
811300300	 0000000000000,00	
811300400	 0282048324927,00	
811300500	 0011307827803,00	
811300600	 0003423390076,00	
811400000	 0229131258105,00	
811400100	 0185689882358,00	
811400200	 0011698183941,00	
811400300	 0029707128882,00	
811400400	 0000038206854,00	
811400500	 0001997856070,00	
812000000	 1194236305782,00	
812100000	 0000000000000,00	
812100100	 0000000000000,00	
812100200	 0000000000000,00	
812200000	 0819653113622,00	
812200100	 0724230728178,00	
812200101	 0516652914132,00	
812200102	 0124744234383,00	
812200103	 0082833579663,00	
812200104	 0000000000000,00	
812200600	 0000000000000,00	
812200700	 0000045378975,00	
812200800	 0000143293422,00	
812200900	 0000000000000,00	
812201000	 0057624271230,00	
812201100	 0037609441817,00	
812201200	 0000000000000,00	
812300000	 0265950773222,00	
812300100	 0000817493892,00	
812300200	 0005081271996,00	
812300300	 0000000000000,00	
812300400	 0211759398317,00	
812300500	 0046122615929,00	
812300600	 0002169993088,00	
812400000	 0108632418938,00	
812400100	 0085542245014,00	
812400200	 0000108727543,00	
812400300	 0018191671810,00	
812400400	 0000007999963,00	
812400500	 0004781774608,00	
813000000	 0276370272680,00	
813100000	 0000000000000,00	
813100100	 0000000000000,00	
813100200	 0000000000000,00	
813200000	 0082602627076,00	
813200100	 0058504540865,00	
813200101	 0041702475169,00	
813200102	 0015371855938,00	
813200103	 0001430209758,00	
813200104	 0000000000000,00	
813200600	 0010140320770,00	
813200700	 0002023108586,00	
813200800	 0000088506431,00	
813200900	 0000457143100,00	
813201000	 0004428560470,00	
813201100	 0006960446854,00	
813201200	 0000000000000,00	
813300000	 0006168159317,00	
813300100	 0000016552882,00	
813300200	 0000178016407,00	
813300300	 0000000000000,00	
813300400	 0005618715933,00	
813300500	 0000354874095,00	
813300600	 0000000000000,00	
813400000	 0187599486287,00	
813400100	 0129783689340,00	
813400200	 0007576767101,00	
813400300	 0046715172151,00	
813400400	 0000014146351,00	
813400500	 0003509711344,00	
814000000	 0042056310318,00	
814100000	 0000000000000,00	
814100100	 0000000000000,00	
814100200	 0000000000000,00	
814200000	 0013615793482,00	
814200100	 0010499814163,00	
814200101	 0007090459827,00	
814200102	 0003409354336,00	
814200103	 0000000000000,00	
814200104	 0000000000000,00	
814200600	 0000000000000,00	
814200700	 0000157345372,00	
814200800	 0000009127427,00	
814200900	 0000017909440,00	
814201000	 0000788732916,00	
814201100	 0002142864164,00	
814201200	 0000000000000,00	
814300000	 0004167279785,00	
814300100	 0000266432110,00	
814300200	 0000000000000,00	
814300300	 0000000000000,00	
814300400	 0003591157417,00	
814300500	 0000309690258,00	
814300600	 0000000000000,00	
814400000	 0024273237051,00	
814400100	 0017538198947,00	
814400200	 0001383578697,00	
814400300	 0004982966285,00	
814400400	 0000048719568,00	
814400500	 0000319773554,00	
821000000	 28050007253255,00	
821100000	 0032308687941,00	
821100100	 0000000000000,00	
821100200	 0032308687941,00	
821200000	 17119737836514,00	
821200100	 13445174067054,00	
821200101	 8898201514090,00	
821200102	 3498100408737,00	
821200103	 1048872144227,00	
821200104	 0000000000000,00	
821200600	 1633832143659,00	
821200700	 0116185014425,00	
821200800	 0034847957437,00	
821200900	 0294991008686,00	
821201000	 1025514955554,00	
821201100	 0569192689699,00	
821201200	 0000000000000,00	
821300000	 7404224174751,00	
821300100	 0010780254378,00	
821300200	 0071096587492,00	
821300300	 0000000000000,00	
821300400	 6952137357966,00	
821300500	 0332985386356,00	
821300600	 0037224588559,00	
821400000	 3493736554049,00	
821400100	 2419090377519,00	
821400200	 0161419231856,00	
821400300	 0866700523784,00	
821400400	 0000641653354,00	
821400500	 0045884767536,00	
831000000	 8481866082903,00	
831100000	 0693929285307,00	
831100100	 0232215681143,00	
831100200	 0461713604164,00	
831200000	 0117483584342,00	
831300000	 0006220373698,00	
831500000	 1934752779662,00	
831500100	 1122911272384,00	
831500200	 0811841507278,00	
831600000	 5280879590970,00	
831600100	 0495189415597,00	
831600200	 0141369571619,00	
831600300	 0806083259220,00	
831600400	 3838237344534,00	
831600500	 0000000000000,00	
831700000	 0000000000000,00	
831700100	 0000000000000,00	
831700200	 0000000000000,00	
831700300	 0000000000000,00	
831700400	 0000000000000,00	
831700500	 0000000000000,00	
831800000	 0448600468924,00	
831800100	 0241213510619,00	
831800200	 0207386958305,00	
831900000	 0000000000000,00	
832000000	 1545970564136,00	
832100000	 0015548700601,00	
832100100	 0011512128929,00	
832100200	 0004036571672,00	
832300000	 0000000000000,00	
832300100	 0000000000000,00	
832300200	 0000000000000,00	
832300300	 0000000000000,00	
832500000	 1028264786257,00	
832500100	 0014220116707,00	
832500200	 0000000000000,00	
832500300	 1014044669550,00	
832700000	 0502157077278,00	
832700100	 0000000000000,00	
832700101	 0000000000000,00	
832700102	 0000000000000,00	
832700103	 0000000000000,00	
832700104	 0000000000000,00	
832700200	 0502157077278,00	
832700201	 0000000000000,00	
832700202	 0502157077278,00	
832700203	 0000000000000,00	
832700204	 0000000000000,00	
833000000	 3895371703701,00	
833050000	 0826651023143,00	
833050100	 0444467506693,00	
833050200	 0382183516450,00	
833100000	 2966768145414,00	
833200000	 0000000000000,00	
833300000	 0101952535144,00	
833300100	 0101952535144,00	
833300200	 0000000000000,00	
833300300	 0000000000000,00	
833350000	 0000000000000,00	
833360000	 0000000000000,00	
833370000	 0000000000000,00	
833380000	 0000000000000,00	
833400000	 0000000000000,00	
833410000	 0000000000000,00	
833420000	 0000000000000,00	
833500000	 0241535760067,00	
833500100	 0000000000000,00	
833500200	 0000000000000,00	
833500300	 0000000000000,00	
833500400	 0016771044034,00	
833500500	 0000000000000,00	
833500600	 0224764716033,00	
833500700	 0000000000000,00	
841000000	 3537498869812,00	
841000100	 0118824154458,00	
841000200	 0072411445777,00	
841000300	 0013330694338,00	
841000400	 0000000000000,00	
841000500	 0062393100000,00	
841000600	 3270539475239,00	
841000700	 0000000000000,00	
842000000	 0000000000000,00	
842000100	 0000000000000,00	
842000200	 0000000000000,00	
843000000	 0000000000000,00	
843000100	 0000000000000,00	
843000200	 0000000000000,00	
843000300	 0000000000000,00	
843000400	 0000000000000,00	
843000500	 0000000000000,00	
843500000	 0000000000000,00	
