970	BANCOS ESTABLECIDOS EN CHILE                                            
1400101	 0000000000000,00	 0000000000000,00	 0000000000000,00	 0000000000000,00
1400103	 0000000026995,00	 0000000000000,00	 0000000000000,00	 0000000000000,00
1400200	 0000000062562,00	 0000000000479,00	 0000000000000,00	 0000000000259,00
1500000	 0000000275383,00	 0000000000002,00	 0000000000000,00	 0000000000316,00
1500100	 0000000017592,00	 0000000000000,00	 0000000000000,00	 0000000000000,00
1500200	 0000000257791,00	 0000000000002,00	 0000000000000,00	 0000000000316,00
1600000	 0000000879398,00	 0000000000056,00	 0000000000000,00	 0000000000347,00
1600100	 0000000675526,00	 0000000000000,00	 0000000000000,00	 0000000000015,00
1600200	 0000000203872,00	 0000000000056,00	 0000000000000,00	 0000000000332,00
1700000	 0000000051907,00	 0000000000038,00	 0000000000000,00	 0000000000000,00
1750000	 0000000604886,00	 0000000000000,00	 0000000000000,00	 0000000001937,00
1800000	 0000001018082,00	 0000000090462,00	 0000000000347,00	 0000000449392,00
1800100	 0000000139343,00	 0000000066094,00	 0000000000347,00	 0000000005234,00
1800200	 0000000058730,00	 0000000000000,00	 0000000000000,00	 0000000000000,00
1800900	 0000000820009,00	 0000000024368,00	 0000000000000,00	 0000000444158,00
2000000	 0000041313728,00	 0000019753403,00	 0000000128408,00	 0000017486162,00
2100000	 0000011779731,00	 0000000573152,00	 0000000000037,00	 0000001672833,00
2100100	 0000009579012,00	 0000000000000,00	 0000000000000,00	 0000001547329,00
2100109	 0000005667938,00	 0000000000000,00	 0000000000000,00	 0000001375132,00
2100110	 0000003897894,00	 0000000000000,00	 0000000000000,00	 0000000170407,00
2100200	 0000001013941,00	 0000000000000,00	 0000000000000,00	 0000000000047,00
2100300	 0000001186778,00	 0000000573152,00	 0000000000037,00	 0000000125457,00
2130000	 0000001141858,00	 0000000001112,00	 0000000000000,00	 0000001157209,00
2160000	 0000001136492,00	 0000000109396,00	 0000000000000,00	 0000000145942,00
2160100	 0000000390309,00	 0000000023109,00	 0000000000000,00	 0000000001953,00
2160200	 0000000746183,00	 0000000086287,00	 0000000000000,00	 0000000143989,00
2200000	 0000020759277,00	 0000008569535,00	 0000000000001,00	 0000005911334,00
2200100	 0000020755008,00	 0000008093626,00	 0000000000001,00	 0000005907900,00
2200200	 0000000001245,00	 0000000471512,00	 0000000000000,00	 0000000000000,00
2200900	 0000000003024,00	 0000000004397,00	 0000000000000,00	 0000000003434,00
2250000	 0000003757975,00	 0000000239164,00	 0000000000000,00	 0000000193155,00
2250100	 0000003680158,00	 0000000238066,00	 0000000000000,00	 0000000172775,00
2250200	 0000000077817,00	 0000000001098,00	 0000000000000,00	 0000000020380,00
2300000	 0000000261935,00	 0000000019180,00	 0000000000326,00	 0000007113676,00
2301000	 0000000262045,00	 0000000017128,00	 0000000000000,00	 0000000129150,00
2301001	 0000000245577,00	 0000000000000,00	 0000000000000,00	 0000000108253,00
2302000	-0000000001713,00	 0000000000000,00	 0000000000326,00	 0000006984526,00
2302100	 0000000000000,00	 0000000000000,00	 0000000000112,00	 0000005076647,00
2302200	-0000000001713,00	 0000000000000,00	 0000000000214,00	 0000001907879,00
2303000	 0000000001603,00	 0000000002052,00	 0000000000000,00	 0000000000000,00
2303100	 0000000001603,00	 0000000000000,00	 0000000000000,00	 0000000000000,00
2303900	 0000000000000,00	 0000000002052,00	 0000000000000,00	 0000000000000,00
2400000	 0000000090048,00	 0000009819338,00	 0000000000000,00	 0000001032071,00
2401000	 0000000000221,00	 0000001821778,00	 0000000000000,00	 0000000000000,00
2402000	 0000000089827,00	 0000007997560,00	 0000000000000,00	 0000001032071,00
2402100	 0000000055919,00	 0000005374599,00	 0000000000000,00	 0000000656558,00
2402200	 0000000033908,00	 0000002622961,00	 0000000000000,00	 0000000375513,00
2500000	 0000000360447,00	 0000000367103,00	 0000000124725,00	 0000000097437,00
2500100	 0000000226027,00	 0000000349688,00	 0000000124725,00	 0000000013939,00
2500200	 0000000134324,00	 0000000017415,00	 0000000000000,00	 0000000054224,00
2500300	 0000000000096,00	 0000000000000,00	 0000000000000,00	 0000000029274,00
2600000	 0000000097054,00	 0000000000000,00	 0000000000000,00	 0000000000000,00
2650000	 0000000292640,00	 0000000000000,00	 0000000000000,00	 0000000000000,00
2700000	 0000000879385,00	 0000000000000,00	 0000000000000,00	 0000000001216,00
2700100	 0000000127619,00	 0000000000000,00	 0000000000000,00	 0000000000000,00
2700200	 0000000424562,00	 0000000000000,00	 0000000000000,00	 0000000000000,00
2700300	 0000000031294,00	 0000000000000,00	 0000000000000,00	 0000000000026,00
2700400	 0000000295910,00	 0000000000000,00	 0000000000000,00	 0000000001190,00
2700401	 0000000002161,00	 0000000000000,00	 0000000000000,00	 0000000001073,00
2700402	 0000000000000,00	 0000000000000,00	 0000000000000,00	 0000000000000,00
2700403	 0000000250216,00	 0000000000000,00	 0000000000000,00	 0000000000000,00
