059	BANCO BTG PACTUAL CHILE
416380304	 0000000000000,00	
416380305	 0000000000000,00	
416380306	 0000000000000,00	
416500000	-0003238270748,00	
416500100	-0003238270748,00	
416500200	 0000000000000,00	
416800000	 0000000000000,00	
416800100	 0000000000000,00	
416800200	 0000000000000,00	
416800300	 0000000000000,00	
420000000	 0049888879895,00	
422150100	 0000003893630,00	
422150101	 0000000000000,00	
422150102	 0000003893630,00	
422150103	 0000000000000,00	
422150104	 0000000000000,00	
422180100	 0000000000000,00	
422180101	 0000000000000,00	
422180102	 0000000000000,00	
422250100	 0000200985000,00	
422250101	 0000200985000,00	
422250102	 0000000000000,00	
422280100	 0003930726487,00	
422280101	 0000000000000,00	
422280102	 0000000000000,00	
422280103	 0000000000000,00	
422280104	 0003930726487,00	
422280105	 0000000000000,00	
422280190	 0000000000000,00	
422350100	 0000000000000,00	
422350101	 0000000000000,00	
422350102	 0000000000000,00	
422350103	 0000000000000,00	
422350104	 0000000000000,00	
422350105	 0000000000000,00	
422350106	 0000000000000,00	
422350107	 0000000000000,00	
422350108	 0000000000000,00	
422350109	 0000000000000,00	
422350190	 0000000000000,00	
422380100	 0000000000000,00	
422380101	 0000000000000,00	
422380102	 0000000000000,00	
422380103	 0000000000000,00	
422380104	 0000000000000,00	
422380105	 0000000000000,00	
422380106	 0000000000000,00	
422380107	 0000000000000,00	
422380190	 0000000000000,00	
422450100	 0000000000000,00	
422450101	 0000000000000,00	
422450102	 0000000000000,00	
422450103	 0000000000000,00	
422450104	 0000000000000,00	
422450105	 0000000000000,00	
422450106	 0000000000000,00	
422450107	 0000000000000,00	
422450108	 0000000000000,00	
422450190	 0000000000000,00	
422480100	 0006242312653,00	
422480101	 0005921208447,00	
422480102	 0000156164431,00	
422480103	 0000164939775,00	
422480190	 0000000000000,00	
422550100	 0020423910796,00	
422550101	 0000317582991,00	
422550102	 0002695751506,00	
422550103	 0016481424844,00	
422550104	 0000929151455,00	
422580000	 0000000000000,00	
422580100	 0000000000000,00	
422580101	 0000000000000,00	
422580102	 0000000000000,00	
422580200	 0000000000000,00	
422580300	 0000000000000,00	
422580400	 0000000000000,00	
422650100	 0000000000000,00	
422680100	 0000000000000,00	
422750100	 0000000000000,00	
422780100	 0008849956727,00	
422780101	 0000000000000,00	
422780102	 0003694971411,00	
422780103	 0003977292483,00	
422780190	 0001177692833,00	
422850100	 0010237094602,00	
422850101	 0000000000000,00	
422850102	 0000000000000,00	
422850103	 0000000000000,00	
422850104	 0000000000000,00	
422850105	 0000000000000,00	
422850106	 0000000000000,00	
422850190	 0010237094602,00	
425000000	-0004994171896,00	
425150100	 0000000000000,00	
425150101	 0000000000000,00	
425150102	 0000000000000,00	
425150103	 0000000000000,00	
425150104	 0000000000000,00	
425150105	 0000000000000,00	
425150190	 0000000000000,00	
425180100	 0000000000000,00	
425180101	 0000000000000,00	
425180102	 0000000000000,00	
425180103	 0000000000000,00	
425180104	 0000000000000,00	
425180190	 0000000000000,00	
425250100	 0000000000000,00	
425280100	 0000000000000,00	
425280101	 0000000000000,00	
425280102	 0000000000000,00	
425280103	 0000000000000,00	
425280104	 0000000000000,00	
425280105	 0000000000000,00	
425280109	 0000000000000,00	
425280190	 0000000000000,00	
425350100	-0000981295703,00	
425350101	-0000403820801,00	
425350102	 0000000000000,00	
425350103	 0000000000000,00	
425350104	-0000336621860,00	
425350105	-0000240853042,00	
425350106	 0000000000000,00	
425350190	 0000000000000,00	
425380100	-0004012876193,00	
425380101	 0000000000000,00	
425380102	 0000000000000,00	
425380103	 0000000000000,00	
425380104	 0000000000000,00	
425380105	 0000000000000,00	
425380106	 0000000000000,00	
425380190	-0004012876193,00	
431000000	 0023977897474,00	
431150100	 0021500280958,00	
431150101	 0521606563173,00	
431150102	-0500106282215,00	
431180100	 0001930753459,00	
431180101	 0002318728552,00	
431180102	-0001654505256,00	
431180103	 0002933442319,00	
431180104	-0005052273434,00	
431180105	 0002948371206,00	
431180106	 0000436990072,00	
431250000	 0000546863057,00	
431250100	 0000120443369,00	
431250101	 0000120443369,00	
431250102	 0000000000000,00	
431250103	 0000000000000,00	
431250104	 0000000000000,00	
431250200	 0000426419688,00	
431250201	 0000476006979,00	
431250202	-0000049587291,00	
431250203	 0000000000000,00	
431250204	 0000000000000,00	
431250205	 0000000000000,00	
431250300	 0000000000000,00	
431250301	 0000000000000,00	
431250302	 0000000000000,00	
431250303	 0000000000000,00	
431250304	 0000000000000,00	
431250305	 0000000000000,00	
431250306	 0000000000000,00	
431250900	 0000000000000,00	
431250901	 0000000000000,00	
431250902	 0000000000000,00	
431250903	 0000000000000,00	
431250904	 0000000000000,00	
431250905	 0000000000000,00	
