016	BANCO DE CRÉDITO E INVERSIONES
811000000	 1881687502111,00	
811100000	 0000000000000,00	
811100100	 0000000000000,00	
811100200	 0000000000000,00	
811200000	 1226504390100,00	
811200100	 1111881533790,00	
811200101	 0916362541287,00	
811200102	 0195085729371,00	
811200103	 0000433263132,00	
811200104	 0000000000000,00	
811200600	 0006625825935,00	
811200700	 0011524518779,00	
811200800	 0007864150947,00	
811200900	 0003760156618,00	
811201000	 0060824752075,00	
811201100	 0014271311071,00	
811201200	 0009752140885,00	
811300000	 0373627518158,00	
811300100	 0000083899508,00	
811300200	 0013555499858,00	
811300300	 0000000000000,00	
811300400	 0356547279222,00	
811300500	 0000000000000,00	
811300600	 0003440839570,00	
811400000	 0281555593853,00	
811400100	 0178519941449,00	
811400200	 0018482336602,00	
811400300	 0084193418920,00	
811400400	 0000003945594,00	
811400500	 0000355951288,00	
812000000	 0841833337859,00	
812100000	 0000000000000,00	
812100100	 0000000000000,00	
812100200	 0000000000000,00	
812200000	 0503445976762,00	
812200100	 0442355591452,00	
812200101	 0406903769160,00	
812200102	 0035310903727,00	
812200103	 0000140918565,00	
812200104	 0000000000000,00	
812200600	 0000000000000,00	
812200700	 0005203345834,00	
812200800	 0006741724532,00	
812200900	 0000000000000,00	
812201000	 0027420512940,00	
812201100	 0012552731706,00	
812201200	 0009172070298,00	
812300000	 0290494304132,00	
812300100	 0000081971284,00	
812300200	 0011994651852,00	
812300300	 0000000000000,00	
812300400	 0277516146473,00	
812300500	 0000000000000,00	
812300600	 0000901534523,00	
812400000	 0047893056965,00	
812400100	 0031646973066,00	
812400200	 0005086386046,00	
812400300	 0011023581196,00	
812400400	 0000007891188,00	
812400500	 0000128225469,00	
813000000	 0407916588669,00	
813100000	 0000000000000,00	
813100100	 0000000000000,00	
813100200	 0000000000000,00	
813200000	 0061747861339,00	
813200100	 0046768877844,00	
813200101	 0034995577822,00	
813200102	 0005498002292,00	
813200103	 0006275297730,00	
813200104	 0000000000000,00	
813200600	 0000000000000,00	
813200700	 0000000000000,00	
813200800	 0001942713495,00	
813200900	 0002786261916,00	
813201000	 0002605337317,00	
813201100	 0007020733624,00	
813201200	 0000623937143,00	
813300000	 0007966121392,00	
813300100	 0000000000000,00	
813300200	 0000000000000,00	
813300300	 0000000000000,00	
813300400	 0007966121392,00	
813300500	 0000000000000,00	
813300600	 0000000000000,00	
813400000	 0338202605938,00	
813400100	 0126258123230,00	
813400200	 0011172931365,00	
813400300	 0200771551343,00	
813400400	 0000000000000,00	
813400500	 0000000000000,00	
814000000	 0064501694084,00	
814100000	 0000000000000,00	
814100100	 0000000000000,00	
814100200	 0000000000000,00	
814200000	 0021419828963,00	
814200100	 0016323247091,00	
814200101	 0011999570023,00	
814200102	 0000277383564,00	
814200103	 0004046293504,00	
814200104	 0000000000000,00	
814200600	 0000000000000,00	
814200700	 0000000000000,00	
814200800	 0000000000000,00	
814200900	 0000934201821,00	
814201000	 0000230004437,00	
814201100	 0003725041650,00	
814201200	 0000207333964,00	
814300000	 0003608244381,00	
814300100	 0000020903980,00	
814300200	 0000000000000,00	
814300300	 0000000000000,00	
814300400	 0003587340401,00	
814300500	 0000000000000,00	
814300600	 0000000000000,00	
814400000	 0039473620740,00	
814400100	 0024578851830,00	
814400200	 0001273767338,00	
814400300	 0013614593850,00	
814400400	 0000002900285,00	
814400500	 0000003507437,00	
821000000	 50749650724289,00	
821100000	 0781321107850,00	
821100100	 0000000000000,00	
821100200	 0781321107850,00	
821200000	 32527840546538,00	
821200100	 27533597717560,00	
821200101	 13438106493953,00	
821200102	 6391370858039,00	
821200103	 7704120365568,00	
821200104	 0000000000000,00	
821200600	 1983316613240,00	
821200700	 0137912056285,00	
821200800	 0071154257778,00	
821200900	 1002002474692,00	
821201000	 1672266482761,00	
821201100	 0117753168446,00	
821201200	 0009837775776,00	
821300000	 13756118404801,00	
821300100	 0000748832639,00	
821300200	 3417835555583,00	
821300300	 10267791715182,00	
821300400	 0000000000000,00	
821300500	 0000000000000,00	
821300600	 0069742301397,00	
821400000	 3684370665100,00	
821400100	 1774739864635,00	
821400200	 0114389739722,00	
