027	CORPBANCA
8110000	 0000000500453,00	
8111000	 0000000000000,00	
8113000	 0000000423948,00	
8114000	 0000000039608,00	
8115000	 0000000036897,00	
8130000	 0000000017751,00	
8131000	 0000000000000,00	
8133000	 0000000005800,00	
8134000	 0000000000465,00	
8135000	 0000000011486,00	
8140000	 0000000002369,00	
8141000	 0000000000000,00	
8143000	 0000000000847,00	
8144000	 0000000000100,00	
8145000	 0000000001422,00	
8310000	 0000003232818,00	
8311000	 0000000169545,00	
8312000	 0000000001120,00	
8314000	 0000000029810,00	
8315000	 0000000851486,00	
8315100	 0000000576109,00	
8315200	 0000000275377,00	
8317000	 0000001551891,00	
8318000	 0000000628966,00	
8318100	 0000000356843,00	
8318900	 0000000272123,00	
8319000	 0000000000000,00	
8510000	 0000008704477,00	
8511000	 0000000137773,00	
8513000	 0000008566704,00	
8520000	 0000000338113,00	
8521000	 0000000000000,00	
8523000	 0000000338113,00	
8530000	 0000000259846,00	
8531000	 0000000000000,00	
8533000	 0000000259846,00	
8540000	 0000005080124,00	
8543000	 0000001303032,00	
8544000	 0000002157978,00	
8545000	 0000001619114,00	
8560000	 0000000149436,00	
8563000	 0000000072931,00	
8564000	 0000000039608,00	
8565000	 0000000036897,00	
8610000	 0000001469954,00	
8620000	 0000000018329,00	
8630000	 0000000012599,00	
8640000	 0000001730443,00	
8660000	 0000000001493,00	
