037	BANCO SANTANDER-CHILE
811000000	 1716595264396,00	
811100000	 0000000000000,00	
811100100	 0000000000000,00	
811100200	 0000000000000,00	
811200000	 1137225481420,00	
811200100	 0973799163543,00	
811200101	 0973775163733,00	
811200102	 0000000000000,00	
811200103	 0000023999810,00	
811200104	 0000000000000,00	
811200600	 0022844266995,00	
811200700	 0010457512216,00	
811200800	 0007311665984,00	
811200900	 0002951719772,00	
811201000	 0104440801847,00	
811201100	 0007112921427,00	
811201200	 0008307429636,00	
811300000	 0414615236111,00	
811300100	 0000172098240,00	
811300200	 0000312584081,00	
811300300	 0002095909500,00	
811300400	 0410978245821,00	
811300500	 0000000000000,00	
811300600	 0001056398469,00	
811400000	 0164754546865,00	
811400100	 0148208229158,00	
811400200	 0003884967007,00	
811400300	 0012400507245,00	
811400400	 0000009694529,00	
811400500	 0000251148926,00	
812000000	 0850956390242,00	
812100000	 0000000000000,00	
812100100	 0000000000000,00	
812100200	 0000000000000,00	
812200000	 0500928229431,00	
812200100	 0456498464125,00	
812200101	 0456483813007,00	
812200102	 0000000000000,00	
812200103	 0000014651118,00	
812200104	 0000000000000,00	
812200600	 0004350454345,00	
812200700	 0000370658591,00	
812200800	 0002592994239,00	
812200900	 0000000000000,00	
812201000	 0030427361342,00	
812201100	 0005261671713,00	
812201200	 0001426625076,00	
812300000	 0181093518340,00	
812300100	 0000092911873,00	
812300200	 0000188864705,00	
812300300	 0000836989352,00	
812300400	 0179021760939,00	
812300500	 0000000000000,00	
812300600	 0000952991471,00	
812400000	 0168934642471,00	
812400100	 0160508037286,00	
812400200	 0000000012478,00	
812400300	 0008426572378,00	
812400400	 0000000000000,00	
812400500	 0000000020329,00	
813000000	 0126698950017,00	
813100000	 0000000000000,00	
813100100	 0000000000000,00	
813100200	 0000000000000,00	
813200000	 0061261798669,00	
813200100	 0044804970945,00	
813200101	 0044804045040,00	
813200102	 0000000000000,00	
813200103	 0000000925905,00	
813200104	 0000000000000,00	
813200600	 0000000000000,00	
813200700	 0002473155829,00	
813200800	 0002837821217,00	
813200900	 0001467044233,00	
813201000	 0003051455692,00	
813201100	 0000647888348,00	
813201200	 0005979462405,00	
813300000	 0008605044629,00	
813300100	 0000015253471,00	
813300200	 0000003904152,00	
813300300	 0000000000000,00	
813300400	 0008582781333,00	
813300500	 0000000000000,00	
813300600	 0000003105673,00	
813400000	 0056832106719,00	
813400100	 0045454753402,00	
813400200	 0002182367956,00	
813400300	 0008814629603,00	
813400400	 0000015871149,00	
813400500	 0000364484609,00	
814000000	 0038611667602,00	
814100000	 0000000000000,00	
814100100	 0000000000000,00	
814100200	 0000000000000,00	
814200000	 0021177016315,00	
814200100	 0015879806231,00	
814200101	 0015872369048,00	
814200102	 0000000000000,00	
814200103	 0000007437183,00	
814200104	 0000000000000,00	
814200600	 0000000000000,00	
814200700	 0000162775688,00	
814200800	 0000214288628,00	
814200900	 0000905593947,00	
814201000	 0002640821026,00	
814201100	 0000110074530,00	
814201200	 0001263656265,00	
814300000	 0007808559778,00	
814300100	 0000000964068,00	
814300200	 0000000000000,00	
814300300	 0000000000000,00	
814300400	 0007804020915,00	
814300500	 0000000000000,00	
814300600	 0000003574795,00	
814400000	 0009626091509,00	
814400100	 0007216714195,00	
814400200	 0000525066598,00	
814400300	 0001792001202,00	
814400400	 0000012291945,00	
814400500	 0000080017569,00	
821000000	 38264987746966,00	
821100000	 0000033562997,00	
821100100	 0000000000000,00	
821100200	 0000033562997,00	
821200000	 18593615457161,00	
821200100	 14361141513724,00	
821200101	 14360918101757,00	
821200102	 0000000000000,00	
821200103	 0000223411967,00	
821200104	 0000000000000,00	
821200600	 1499758194630,00	
821200700	 0115213313425,00	
821200800	 0129813151858,00	
821200900	 0912857397437,00	
821201000	 1351262055906,00	
821201100	 0054851522248,00	
821201200	 0168718307933,00	
821300000	 14578406101129,00	
821300100	 0003271028793,00	
821300200	 0003178890328,00	
821300300	 0085511255773,00	
821300400	 14484422568918,00	
821300500	 0000000000000,00	
821300600	 0002022357317,00	
821400000	 5092932625679,00	
821400100	 3572451480941,00	
821400200	 0137025652974,00	
821400300	 1380277512933,00	
821400400	 0002844032148,00	
821400500	 0000333946683,00	
831000000	 11779666287698,00	
831100000	 0707324709828,00	
831100100	 0469991762067,00	
831100200	 0237332947761,00	
831200000	 0460283150101,00	
831300000	 0000000000000,00	
831500000	 1457814531658,00	
831500100	 1217878798546,00	
831500200	 0239935733112,00	
831600000	 8938730615958,00	
831600100	 1589672894536,00	
831600200	 0406220488917,00	
831600300	 0875951799283,00	
831600400	 6066885433222,00	
831600500	 0000000000000,00	
831700000	 0000000000000,00	
831700100	 0000000000000,00	
831700200	 0000000000000,00	
831700300	 0000000000000,00	
831700400	 0000000000000,00	
831700500	 0000000000000,00	
831800000	 0215513280153,00	
831800100	 0002314262632,00	
831800200	 0213199017521,00	
831900000	 0000000000000,00	
832000000	 1295857157003,00	
832100000	 0095428208972,00	
832100100	 0074483251565,00	
832100200	 0020944957407,00	
832300000	 0000000000000,00	
832300100	 0000000000000,00	
832300200	 0000000000000,00	
832300300	 0000000000000,00	
832500000	 0008738189820,00	
832500100	 0001348422516,00	
832500200	 0000000000000,00	
832500300	 0007389767304,00	
832700000	 1191690758211,00	
832700100	 1191690758211,00	
832700101	 0000000000000,00	
832700102	 1191655677396,00	
832700103	 0000000000000,00	
832700104	 0000035080815,00	
832700200	 0000000000000,00	
832700201	 0000000000000,00	
832700202	 0000000000000,00	
832700203	 0000000000000,00	
832700204	 0000000000000,00	
833000000	 20592702682345,00	
833050000	 0874663177634,00	
833050100	 0000000000000,00	
833050200	 0874663177634,00	
833100000	 8669938673563,00	
833200000	 0000000000000,00	
833300000	 11048100831148,00	
833300100	 10498245551303,00	
833300200	 0000000000000,00	
833300300	 0549855279845,00	
833350000	 0000000000000,00	
833360000	 0000000000000,00	
833370000	 0000000000000,00	
833380000	 0000000000000,00	
833400000	 0000000000000,00	
833410000	 0000000000000,00	
833420000	 0000000000000,00	
833500000	 0098000729455,00	
833500100	 0098000729455,00	
833500200	 0000000000000,00	
833500300	 0000000000000,00	
833500400	 0000000000000,00	
833500500	 0000000000000,00	
833500600	 0000000000000,00	
833500700	 0000000000000,00	
841000000	 0152846875000,00	
841000100	 0072580000000,00	
841000200	 0000000000000,00	
841000300	 0000000000000,00	
841000400	 0080266875000,00	
841000500	 0000000000000,00	
841000600	 0000000000000,00	
841000700	 0000000000000,00	
842000000	 0000000000000,00	
842000100	 0000000000000,00	
842000200	 0000000000000,00	
843000000	 0000000000000,00	
843000100	 0000000000000,00	
843000200	 0000000000000,00	
843000300	 0000000000000,00	
843000400	 0000000000000,00	
843000500	 0000000000000,00	
843500000	 0000000000000,00	
843500100	 0000000000000,00	
843500200	 0000000000000,00	
843500300	 0000000000000,00	
843500400	 0000000000000,00	
843500500	 0000000000000,00	
843500600	 0000000000000,00	
844100000	 0009077533667,00	
844200000	 0001611938637,00	
844300000	 0000000000000,00	
844400000	 0007657703385,00	
844400100	 0000000000000,00	
844400200	 0007657703385,00	
844500000	 2340853220400,00	
844500100	 1744124212400,00	
844500200	 0214378390000,00	
844500300	 0382350618000,00	
844600000	 0000162290443,00	
