016	BANCO DE CRÉDITO E INVERSIONES
841000300	 0000000000000,00	
841000400	 0000000000000,00	
841000500	 0000000000000,00	
841000600	 0000000000000,00	
841000700	 0000000000000,00	
842000000	 0000000000000,00	
842000100	 0000000000000,00	
842000200	 0000000000000,00	
843000000	 0000000000000,00	
843000100	 0000000000000,00	
843000200	 0000000000000,00	
843000300	 0000000000000,00	
843000400	 0000000000000,00	
843000500	 0000000000000,00	
843500000	 0000000000000,00	
843500100	 0000000000000,00	
843500200	 0000000000000,00	
843500300	 0000000000000,00	
843500400	 0000000000000,00	
843500500	 0000000000000,00	
843500600	 0000000000000,00	
844100000	 0000000000000,00	
844200000	 0000000000000,00	
844300000	 0000000000000,00	
844400000	 0557500656720,00	
844400100	 0557500656720,00	
844400200	 0000000000000,00	
844500000	 1331691255000,00	
844500100	 0939536775000,00	
844500200	 0000000000000,00	
844500300	 0392154480000,00	
844600000	 0000721484565,00	
845250000	 0567882789449,00	
845250100	 0061075048042,00	
845250200	 0000000000000,00	
845250300	 0003232405285,00	
845250400	 0000000000000,00	
845250500	 0455946467476,00	
845250501	 0278826137966,00	
845250502	 0003228981613,00	
845250503	 0043681343336,00	
845250504	 0022680162520,00	
845250505	 0000000000000,00	
845250509	 0107529842041,00	
845250600	 0047628868646,00	
845250601	 0035834720608,00	
845250602	 0011794148038,00	
845250603	 0000000000000,00	
845250609	 0000000000000,00	
845500000	 0239916521962,00	
845500100	 0008575060809,00	
845500200	 0000000000000,00	
845500300	 0001106497166,00	
845500400	 0000000000000,00	
845500500	 0230234963987,00	
845500501	 0020354031906,00	
845500502	 0071419606833,00	
845500503	 0000000000000,00	
845500504	 0000484135813,00	
845500509	 0137977189435,00	
845500600	 0000000000000,00	
846100000	 0000000000000,00	
847000000	 0002904222744,00	
847100000	 0004497225744,00	
847100100	 0000034061297,00	
847100200	 0002839639178,00	
847100300	 0000433253589,00	
847100400	 0000658295310,00	
847100500	 0000099078322,00	
847100600	 0000026319027,00	
847100700	 0000406579021,00	
847200000	 0001593003000,00	
847200100	 0000035769856,00	
847200200	 0001485242853,00	
847200300	 0000000000000,00	
847200400	 0000031210348,00	
847200500	 0000029110508,00	
847200600	 0000000006700,00	
847200700	 0000011662735,00	
851000000	 21914408671726,00	
851100000	 0625761231234,00	
851200000	 21288647440492,00	
852000000	 1763502271880,00	
852100000	 0000000000000,00	
852200000	 1763502271880,00	
853000000	 0412404728029,00	
853100000	 0000000000000,00	
853200000	 0412404728029,00	
854000000	 19031085116479,00	
854200000	 4242224136001,00	
854300000	 11355453060572,00	
854400000	 3433407919906,00	
855000000	 0787206439355,00	
855200000	 0333381248323,00	
855300000	 0251909521452,00	
855400000	 0201915669580,00	
856050000	 6686184460074,00	
856050100	 0353518891732,00	
856050200	 0394527924860,00	
856050300	 0000000000000,00	
