900	BANCOS
8110000	 0000008783330,00	
8111000	 0000000000000,00	
8113000	 0000005060911,00	
8114000	 0000001696539,00	
8115000	 0000002025880,00	
8130000	 0000001469301,00	
8131000	 0000000000000,00	
8133000	 0000000295659,00	
8134000	 0000000030359,00	
8135000	 0000001143283,00	
8140000	 0000000216513,00	
8141000	 0000000000000,00	
8143000	 0000000053658,00	
8144000	 0000000013367,00	
8145000	 0000000149488,00	
8310000	 0000051206451,00	
8311000	 0000001656936,00	
8312000	 0000000180788,00	
8314000	 0000000899067,00	
8315000	 0000008250980,00	
8315100	 0000006477003,00	
8315200	 0000001773977,00	
8317000	 0000037765045,00	
8318000	 0000002445598,00	
8318100	 0000001194830,00	
8318900	 0000001250768,00	
8319000	 0000000008037,00	
8510000	 0000078222488,00	
8511000	 0000000751940,00	
8513000	 0000077470548,00	
8520000	 0000004885451,00	
8521000	 0000000000000,00	
8523000	 0000004885451,00	
8530000	 0000002226530,00	
8531000	 0000000000000,00	
8533000	 0000002226530,00	
8540000	 0000086046704,00	
8543000	 0000019277638,00	
8544000	 0000046045055,00	
8545000	 0000020724011,00	
8560000	 0000005423450,00	
8563000	 0000001701031,00	
8564000	 0000001696539,00	
8565000	 0000002025880,00	
8610000	 0000017910404,00	
8620000	 0000000336655,00	
8630000	 0000000048328,00	
8640000	 0000032808939,00	
8660000	 0000000102125,00	
8700000	 0000000027849,00	
8710000	 0000000038755,00	
8711000	 0000000002463,00	
8712000	 0000000011089,00	
8713000	 0000000001689,00	
8714000	 0000000003077,00	
8715000	 0000000005558,00	
8716000	 0000000003507,00	
8717000	 0000000011372,00	
8720000	 0000000014050,00	
8721000	 0000000001957,00	
8722000	 0000000004413,00	
8723000	 0000000000317,00	
8724000	 0000000000001,00	
8725000	 0000000004253,00	
8726000	 0000000000275,00	
8727000	 0000000002834,00	
8910000	 0000003096849,00	
8911000	 0000000000000,00	
8913000	 0000001786267,00	
8914000	 0000000687481,00	
8915000	 0000000623101,00	
