037	BANCO SANTANDER-CHILE
841000400	 0082908150000,00	
841000500	 0000000000000,00	
841000600	 0000000000000,00	
841000700	 0000000000000,00	
842000000	 0000000000000,00	
842000100	 0000000000000,00	
842000200	 0000000000000,00	
843000000	 0000000000000,00	
843000100	 0000000000000,00	
843000200	 0000000000000,00	
843000300	 0000000000000,00	
843000400	 0000000000000,00	
843000500	 0000000000000,00	
843500000	 0000000000000,00	
843500100	 0000000000000,00	
843500200	 0000000000000,00	
843500300	 0000000000000,00	
843500400	 0000000000000,00	
843500500	 0000000000000,00	
843500600	 0000000000000,00	
844100000	 0008817420903,00	
844200000	 0001425742946,00	
844300000	 0000000000000,00	
844400000	 0007657703385,00	
844400100	 0000000000000,00	
844400200	 0007657703385,00	
844500000	 2423643508000,00	
844500100	 1841381860000,00	
844500200	 0211047090000,00	
844500300	 0371214558000,00	
844600000	 0000159959791,00	
845250000	 0800805851638,00	
845250100	 0000000000000,00	
845250200	 0000000000000,00	
845250300	 0000000000000,00	
845250400	 0000000000000,00	
845250500	 0745267982065,00	
845250501	 0305530481959,00	
845250502	 0016447696392,00	
845250503	 0012043807148,00	
845250504	 0025634066130,00	
845250505	 0121947926515,00	
845250509	 0263664003921,00	
845250600	 0055537869573,00	
845250601	 0041395303579,00	
845250602	 0014142565994,00	
845250603	 0000000000000,00	
845250609	 0000000000000,00	
845500000	 0481755733236,00	
845500100	 0000000000000,00	
845500200	 0000000000000,00	
845500300	 0000000000000,00	
845500400	 0000000000000,00	
845500500	 0481755733236,00	
845500501	 0000000000000,00	
845500502	 0000020384106,00	
845500503	 0033552485527,00	
845500504	 0000000000000,00	
845500509	 0448182863603,00	
845500600	 0000000000000,00	
846100000	 0000000000000,00	
847000000	 0002881325258,00	
847100000	 0003333249157,00	
847100100	 0000026921607,00	
847100200	 0000287635462,00	
847100300	 0002209727741,00	
847100400	 0000038447837,00	
847100500	 0000031930771,00	
847100600	 0000010946029,00	
847100700	 0000727639710,00	
847200000	 0000451923899,00	
847200100	 0000000000000,00	
847200200	 0000054781201,00	
847200300	 0000214112922,00	
847200400	 0000006650801,00	
847200500	 0000000000000,00	
847200600	 0000000002000,00	
847200700	 0000176376975,00	
851000000	 10962563328782,00	
851100000	 0038597805991,00	
851200000	 10923965522791,00	
852000000	 1125115379867,00	
852100000	 0000000000000,00	
852200000	 1125115379867,00	
853000000	 0590564537386,00	
853100000	 0000000000000,00	
853200000	 0590564537386,00	
854000000	 23796383907630,00	
854200000	 4936777766420,00	
854300000	 13943673655841,00	
854400000	 4915932485369,00	
855000000	 0929593255482,00	
855200000	 0371623248979,00	
855300000	 0399294054994,00	
855400000	 0158675951509,00	
856050000	 3927476493998,00	
856050100	 0594545218622,00	
856050200	 0422286822385,00	
856050300	 0000000000000,00	
856050400	 1263399644625,00	
856050500	 0000000000000,00	
856050600	 1479876253027,00	
856050800	 0167368555339,00	
856050900	 0000000000000,00	
856150000	 0085548851928,00	
856150100	 0017133424052,00	
856150200	 0000891398978,00	
856150300	 0000000000000,00	
856150400	 0047226746974,00	
856150500	 0000000000000,00	
856150600	 0020297281924,00	
856150800	 0000000000000,00	
856150900	 0000000000000,00	
856250000	 0004986748130,00	
856250100	 0000127551000,00	
856250200	 0000000000000,00	
856250300	 0000000000000,00	
856250400	 0003858647380,00	
856250500	 0000000000000,00	
856250600	 0001000549750,00	
856250800	 0000000000000,00	
856250900	 0000000000000,00	
856350000	 0637367812069,00	
856350100	 0001670614103,00	
856350200	 0001694707869,00	
856350300	 0000000000000,00	
856350400	 0058950200880,00	
856350500	 0000000000000,00	
856350600	 0511888686712,00	
856350700	 0002370650156,00	
856350800	 0060792952349,00	
856350900	 0000000000000,00	
856450000	 0002358525114,00	
856450100	 0000000000000,00	
856450200	 0000000000000,00	
856450300	 0000000000000,00	
856450400	 0000701024867,00	
856450500	 0000000000000,00	
856450600	 0001657500247,00	
856450700	 0000000000000,00	
856450800	 0000000000000,00	
856450900	 0000000000000,00	
856550000	 7008453976378,00	
856550100	 0000000000000,00	
856550200	 0000000000000,00	
856550300	 0000000000000,00	
856550400	 0877366006740,00	
856550500	 6131087969638,00	
856550600	 0000000000000,00	
856650000	 0003360858746,00	
856650100	 0000000000000,00	
856650200	 0000000000000,00	
856650300	 0000000000000,00	
856650400	 0000156131999,00	
856650500	 0003204726747,00	
856650600	 0000000000000,00	
856750000	 0000000000000,00	
856750100	 0000000000000,00	
856750200	 0000000000000,00	
856750300	 0000000000000,00	
856750400	 0000000000000,00	
856750500	 0000000000000,00	
856750600	 0000000000000,00	
856750800	 0000000000000,00	
856750900	 0000000000000,00	
856850000	 0000000000000,00	
856850100	 0000000000000,00	
856850200	 0000000000000,00	
856850300	 0000000000000,00	
856850400	 0000000000000,00	
856850500	 0000000000000,00	
856850600	 0000000000000,00	
856850800	 0000000000000,00	
856850900	 0000000000000,00	
856950000	 0000000000000,00	
856950100	 0000000000000,00	
856950200	 0000000000000,00	
856950300	 0000000000000,00	
856950400	 0000000000000,00	
856950500	 0000000000000,00	
856950600	 0000000000000,00	
856950800	 0000000000000,00	
856950900	 0000000000000,00	
857000000	 0467350852996,00	
857100000	 0000000000000,00	
857100100	 0000000000000,00	
857100200	 0000000000000,00	
857200000	 0313682437250,00	
857200100	 0256227369980,00	
857200101	 0256209148289,00	
857200102	 0000000000000,00	
857200103	 0000018221691,00	
857200104	 0000000000000,00	
857200600	 0010480922592,00	
857200700	 0007076352059,00	
857200800	 0005967907765,00	
857200900	 0001793634463,00	
857201000	 0019913063729,00	
857201100	 0005391405112,00	
857201200	 0006831781550,00	
857300000	 0093135277887,00	
857300100	 0000063285387,00	
857300200	 0000147441809,00	
857300300	 0000189043105,00	
857300400	 0092137923231,00	
857300500	 0000000000000,00	
857300600	 0000597584355,00	
857400000	 0060533137859,00	
857400100	 0050544518311,00	
857400200	 0001512278313,00	
857400300	 0008475868590,00	
857400400	 0000000450000,00	
857400500	 0000000022645,00	
858000000	 0000000000000,00	
858100000	 0000000000000,00	
858200000	 0000000000000,00	
858300000	 0000000000000,00	
858400000	 0000000000000,00	
859000000	 0000000000000,00	
859100000	 0000000000000,00	
859200000	 0000000000000,00	
859300000	 0000000000000,00	
859400000	 0000000000000,00	
