900	BANCOS
8110000	 0000008818378,00	
8111000	 0000000000000,00	
8113000	 0000005158872,00	
8114000	 0000001693391,00	
8115000	 0000001966115,00	
8130000	 0000001698138,00	
8131000	 0000000000000,00	
8133000	 0000000358572,00	
8134000	 0000000033320,00	
8135000	 0000001306246,00	
8140000	 0000000268740,00	
8141000	 0000000000000,00	
8143000	 0000000061454,00	
8144000	 0000000015234,00	
8145000	 0000000192052,00	
8310000	 0000051291772,00	
8311000	 0000001676957,00	
8312000	 0000000210434,00	
8314000	 0000000934530,00	
8315000	 0000008154164,00	
8315100	 0000006372657,00	
8315200	 0000001781507,00	
8317000	 0000038027831,00	
8318000	 0000002279593,00	
8318100	 0000001195123,00	
8318900	 0000001084470,00	
8319000	 0000000008263,00	
8510000	 0000078041697,00	
8511000	 0000000761872,00	
8513000	 0000077279825,00	
8520000	 0000005283369,00	
8521000	 0000000000000,00	
8523000	 0000005283369,00	
8530000	 0000002247178,00	
8531000	 0000000000000,00	
8533000	 0000002247178,00	
8540000	 0000085826594,00	
8543000	 0000019465753,00	
8544000	 0000046169055,00	
8545000	 0000020191786,00	
8560000	 0000005354150,00	
8563000	 0000001694651,00	
8564000	 0000001693389,00	
8565000	 0000001966110,00	
8610000	 0000017637903,00	
8620000	 0000000332114,00	
8630000	 0000000050019,00	
8640000	 0000033157583,00	
8660000	 0000000114153,00	
8700000	 0000000033506,00	
8710000	 0000000046184,00	
8711000	 0000000002462,00	
8712000	 0000000014795,00	
8713000	 0000000001894,00	
8714000	 0000000003059,00	
8715000	 0000000005892,00	
8716000	 0000000004142,00	
8717000	 0000000013940,00	
8720000	 0000000015758,00	
8721000	 0000000001957,00	
8722000	 0000000004880,00	
8723000	 0000000000345,00	
8724000	 0000000000001,00	
8725000	 0000000004798,00	
8726000	 0000000000300,00	
8727000	 0000000003477,00	
8910000	 0000002873495,00	
8911000	 0000000000000,00	
8913000	 0000001776058,00	
8914000	 0000000590993,00	
8915000	 0000000506444,00	
