037	BANCO SANTANDER-CHILE
412380102	 0000000000000,00	
412380200	-0001309570117,00	
412380201	 0000000000000,00	
412380202	 0000000000000,00	
412380203	 0000000000000,00	
412380204	 0000000000000,00	
412380205	 0000000000000,00	
412380206	 0000000000000,00	
412380207	 0000000000000,00	
412380208	 0000000000000,00	
412380290	-0001309570117,00	
412380300	-0000188015681,00	
412380301	 0000000000000,00	
412380302	 0000000000000,00	
412380303	 0000000000000,00	
412380304	 0000000000000,00	
412380305	 0000000000000,00	
412380306	-0000188015681,00	
412450000	-0000663951435,00	
412500000	-0015333018848,00	
412500100	-0015333018848,00	
412800000	-0129637683246,00	
412800100	 0000000000000,00	
412800200	-0132995706498,00	
412800300	 0003358023252,00	
415000000	 0235294624351,00	
415100000	 0515578092825,00	
415150000	 0000000000000,00	
415150100	 0000000000000,00	
415150101	 0000000000000,00	
415150102	 0000000000000,00	
415150103	 0000000000000,00	
415150200	 0000000000000,00	
415150201	 0000000000000,00	
415150202	 0000000000000,00	
415150203	 0000000000000,00	
415150300	 0000000000000,00	
415150301	 0000000000000,00	
415150302	 0000000000000,00	
415150400	 0000000000000,00	
415150401	 0000000000000,00	
415150402	 0000000000000,00	
415200000	 0034776892492,00	
415200100	 0034776892492,00	
415200101	 0000000000000,00	
415200102	 0034776892492,00	
415200109	 0000000000000,00	
415200200	 0000000000000,00	
415200201	 0000000000000,00	
415200202	 0000000000000,00	
415200209	 0000000000000,00	
415200300	 0000000000000,00	
415200301	 0000000000000,00	
415200302	 0000000000000,00	
415200303	 0000000000000,00	
415200304	 0000000000000,00	
415200309	 0000000000000,00	
415250000	 0000000000000,00	
415250100	 0000000000000,00	
415250101	 0000000000000,00	
415250102	 0000000000000,00	
415250103	 0000000000000,00	
415250104	 0000000000000,00	
415250105	 0000000000000,00	
415250106	 0000000000000,00	
415250107	 0000000000000,00	
415250190	 0000000000000,00	
415250200	 0000000000000,00	
415250201	 0000000000000,00	
415250202	 0000000000000,00	
415250203	 0000000000000,00	
415250204	 0000000000000,00	
415250205	 0000000000000,00	
415250206	 0000000000000,00	
415250207	 0000000000000,00	
415250208	 0000000000000,00	
415250290	 0000000000000,00	
415250300	 0000000000000,00	
415250301	 0000000000000,00	
415250302	 0000000000000,00	
415250390	 0000000000000,00	
415250400	 0000000000000,00	
415250401	 0000000000000,00	
415250402	 0000000000000,00	
415250403	 0000000000000,00	
415280000	 0152424006709,00	
415280100	 0132969660890,00	
415280101	 0065955891815,00	
415280102	 0000000000000,00	
415280103	 0000000000000,00	
415280104	 0010778049506,00	
415280105	 0056235719569,00	
415280106	 0000000000000,00	
415280200	 0000007171419,00	
415280201	 0000007171419,00	
415280209	 0000000000000,00	
415280221	 0000000000000,00	
415280229	 0000000000000,00	
415280231	 0000000000000,00	
415280239	 0000000000000,00	
415280300	 0000000000000,00	
415280400	 0000000000000,00	
415280500	 0000173077506,00	
415280501	 0000031697582,00	
415280502	 0000141379924,00	
415280600	 0018052315039,00	
415280601	 0014880965478,00	
415280602	 0003171349561,00	
415280700	 0001221781855,00	
415280701	 0000697111096,00	
415280702	 0000000000000,00	
415280709	 0000524670759,00	
415280900	 0000000000000,00	
415280901	 0000000000000,00	
415280902	 0000000000000,00	
415280990	 0000000000000,00	
415350000	 0326238852195,00	
415350100	 0000092543693,00	
415350200	 0000058531915,00	
415350300	 0001938735762,00	
415350400	 0324149040825,00	
415350401	 0324149040825,00	
415350402	 0000000000000,00	
415350500	 0000000000000,00	
415350900	 0000000000000,00	
415350901	 0000000000000,00	
415350902	 0000000000000,00	
415350903	 0000000000000,00	
415350990	 0000000000000,00	
415380000	 0000205866214,00	
415380100	 0000197144775,00	
415380200	 0000000000000,00	
415380300	 0000000000000,00	
415380400	 0000008721439,00	
415380900	 0000000000000,00	
415380901	 0000000000000,00	
415380990	 0000000000000,00	
415450000	 0001932475215,00	
415450100	 0000000000000,00	
415450101	 0000000000000,00	
415450102	 0000000000000,00	
415450109	 0000000000000,00	
415450300	 0000000000000,00	
415450900	 0001932475215,00	
415600000	 0008162970861,00	
415620000	 0007768952107,00	
415620100	 0007549218625,00	
415620101	 0000000000000,00	
415620102	 0007549218625,00	
415620109	 0000000000000,00	
415620200	 0000219733482,00	
415620201	 0000000000000,00	
415620202	 0000000000000,00	
415620209	 0000219733482,00	
415620300	 0000000000000,00	
415620301	 0000000000000,00	
415620302	 0000000000000,00	
415620303	 0000000000000,00	
415620304	 0000000000000,00	
415620309	 0000000000000,00	
415640000	 0000394018754,00	
415640100	 0000394018754,00	
415640101	 0000000000000,00	
415640102	 0000394018754,00	
415640103	 0000000000000,00	
415640104	 0000000000000,00	
415640200	 0000000000000,00	
415800000	-0288446439335,00	
415800100	 0000000000000,00	
415800200	-0288446439335,00	
415800300	 0000000000000,00	
416000000	-0029636438326,00	
416100100	-0097063015032,00	
416150000	-0002230491496,00	
416150100	 0000000000000,00	
416150101	 0000000000000,00	
416150102	 0000000000000,00	
416150103	 0000000000000,00	
416150104	 0000000000000,00	
416150200	 0000000000000,00	
416150201	 0000000000000,00	
416150202	 0000000000000,00	
416150300	 0000000000000,00	
416150500	-0002230491496,00	
416180000	-0006814249864,00	
416180100	-0002743229504,00	
416180200	-0004069906164,00	
416180201	-0002552006945,00	
416180202	-0001517899219,00	
416180300	-0000001114196,00	
416180301	 0000000000000,00	
416180302	 0000000000000,00	
416180390	-0000001114196,00	
416250000	 0000000000000,00	
416250100	 0000000000000,00	
416250101	 0000000000000,00	
416250102	 0000000000000,00	
416250103	 0000000000000,00	
416250200	 0000000000000,00	
416250201	 0000000000000,00	
416250202	 0000000000000,00	
416250203	 0000000000000,00	
416250300	 0000000000000,00	
416250301	 0000000000000,00	
416250302	 0000000000000,00	
416250400	 0000000000000,00	
416250401	 0000000000000,00	
416250402	 0000000000000,00	
416280000	 0000000000000,00	
416280100	 0000000000000,00	
416280110	 0000000000000,00	
416280111	 0000000000000,00	
416280112	 0000000000000,00	
416280113	 0000000000000,00	
416280120	 0000000000000,00	
416280121	 0000000000000,00	
416280122	 0000000000000,00	
416280123	 0000000000000,00	
416280124	 0000000000000,00	
416280129	 0000000000000,00	
416280200	 0000000000000,00	
416280210	 0000000000000,00	
416280211	 0000000000000,00	
416280212	 0000000000000,00	
416280213	 0000000000000,00	
416280220	 0000000000000,00	
416280221	 0000000000000,00	
416280222	 0000000000000,00	
416280223	 0000000000000,00	
416280224	 0000000000000,00	
416280229	 0000000000000,00	
416280300	 0000000000000,00	
416280301	 0000000000000,00	
416280302	 0000000000000,00	
416280400	 0000000000000,00	
416280401	 0000000000000,00	
416280402	 0000000000000,00	
416350000	-0077643812263,00	
416350100	-0000147048744,00	
416350101	-0000147048744,00	
416350102	 0000000000000,00	
416350200	-0077496763519,00	
416350201	-0075689628316,00	
416350203	-0001807135203,00	
416380000	-0010374461409,00	
416380100	 0000000000000,00	
416380101	 0000000000000,00	
416380102	 0000000000000,00	
416380200	-0010374461409,00	
416380201	 0000000000000,00	
416380202	 0000000000000,00	
416380203	 0000000000000,00	
416380204	 0000000000000,00	
416380205	 0000000000000,00	
416380206	 0000000000000,00	
416380207	 0000000000000,00	
416380208	 0000000000000,00	
416380290	-0010374461409,00	
416380300	 0000000000000,00	
416380301	 0000000000000,00	
416380302	 0000000000000,00	
416380303	 0000000000000,00	
416380304	 0000000000000,00	
416380305	 0000000000000,00	
416380306	 0000000000000,00	
416500000	-0030736411150,00	
416500100	-0030736411150,00	
416500200	 0000000000000,00	
416800000	 0098162987856,00	
416800100	 0098162987856,00	
416800200	 0000000000000,00	
416800300	 0000000000000,00	
420000000	 0172129316293,00	
422150100	 0004196292339,00	
422150101	 0000000000000,00	
422150102	 0003146403454,00	
422150103	 0000111032680,00	
422150104	 0000938856205,00	
422180100	 0000060296138,00	
422180101	 0000022980236,00	
422180102	 0000037315902,00	
422250100	 0001954145471,00	
422250101	 0001954145471,00	
422250102	 0000000000000,00	
422280100	 0008340453138,00	
422280101	 0000251003788,00	
422280102	 0000000000000,00	
422280103	 0002094524302,00	
422280104	 0000683694514,00	
422280105	 0005242767031,00	
422280190	 0000068463503,00	
422350100	 0071172865177,00	
422350101	 0000000000000,00	
422350102	 0023529572459,00	
422350103	 0022385131549,00	
422350104	 0010182803548,00	
422350105	 0015075357621,00	
422350106	 0000000000000,00	
422350107	 0000000000000,00	
422350108	 0000000000000,00	
422350109	 0000000000000,00	
422350190	 0000000000000,00	
422380100	 0011401370456,00	
422380101	 0011093538593,00	
422380102	 0000128730581,00	
422380103	 0000000002120,00	
422380104	 0000040137813,00	
422380105	 0000000000000,00	
422380106	 0000000000000,00	
422380107	 0000027747544,00	
422380190	 0000111213805,00	
422450100	 0014049461882,00	
422450101	 0001531169337,00	
422450102	 0000043671719,00	
422450103	 0002710357254,00	
422450104	 0001670548017,00	
422450105	 0000000000000,00	
422450106	 0000000000000,00	
422450107	 0004576421335,00	
422450108	 0001135524149,00	
422450190	 0002381770071,00	
422480100	 0002320410096,00	
422480101	 0001053467202,00	
422480102	 0000306500581,00	
422480103	 0000806891585,00	
422480190	 0000153550728,00	
422550100	 0000000000000,00	
422550101	 0000000000000,00	
422550102	 0000000000000,00	
422550103	 0000000000000,00	
422550104	 0000000000000,00	
422580000	 0010985834339,00	
422580100	 0003857062989,00	
422580101	 0000730765037,00	
422580102	 0003126297952,00	
422580200	 0005579129971,00	
422580300	 0001209346325,00	
422580400	 0000340295054,00	
422650100	 0000403057687,00	
422680100	 0000000000000,00	
422750100	 0000009930331,00	
422780100	 0002716851036,00	
422780101	 0000000000000,00	
422780102	 0001963631462,00	
422780103	 0000040303000,00	
422780190	 0000712916574,00	
422850100	 0044518348203,00	
422850101	 0002880075259,00	
422850102	 0000254002719,00	
422850103	 0000000796014,00	
422850104	 0000000000000,00	
422850105	 0000000000000,00	
422850106	 0000035637076,00	
422850190	 0041347837135,00	
425000000	-0074982649978,00	
425150100	-0026868757281,00	
425150101	-0003365202306,00	
425150102	-0014573045631,00	
425150103	-0008255096849,00	
425150104	-0000023243131,00	
425150105	 0000000000000,00	
425150190	-0000652169364,00	
425180100	-0001662479568,00	
425180101	-0001265553813,00	
425180102	-0000014371764,00	
425180103	 0000000000000,00	
425180104	 0000000000000,00	
425180190	-0000382553991,00	
425250100	-0002907938812,00	
425280100	-0023389686923,00	
425280101	 0000000000000,00	
425280102	-0023189686922,00	
425280103	-0000200000001,00	
425280104	 0000000000000,00	
425280105	 0000000000000,00	
425280109	 0000000000000,00	
425280190	 0000000000000,00	
425350100	-0002212699386,00	
425350101	-0000077563957,00	
425350102	-0001182887614,00	
425350103	 0000000000000,00	
425350104	 0000000000000,00	
425350105	-0000672372261,00	
425350106	-0000023248854,00	
425350190	-0000256626700,00	
425380100	-0017941088008,00	
425380101	-0000077691486,00	
425380102	 0000000000000,00	
425380103	-0001147358079,00	
425380104	-0000136309903,00	
425380105	-0000176621179,00	
425380106	-0000385621712,00	
425380190	-0016017485649,00	
431000000	 0017705613155,00	
431150100	 0017356248534,00	
431150101	 0801326118296,00	
431150102	-0783969869762,00	
431180100	 0000346728269,00	
431180101	 0001322903846,00	
431180102	-0002197954123,00	
431180103	 0000379561318,00	
431180104	-0001301972048,00	
431180105	 0000749312770,00	
431180106	 0001394876506,00	
431250000	 0000002636352,00	
431250100	 0000002636352,00	
431250101	 0000002636352,00	
431250102	 0000000000000,00	
431250103	 0000000000000,00	
431250104	 0000000000000,00	
