039	ITAÚ CORPBANCA
841000400	 0000000000000,00	
841000500	 0000000000000,00	
841000600	 4493611935066,00	
841000700	 0000000000000,00	
842000000	 0000000000000,00	
842000100	 0000000000000,00	
842000200	 0000000000000,00	
843000000	 0000000000000,00	
843000100	 0000000000000,00	
843000200	 0000000000000,00	
843000300	 0000000000000,00	
843000400	 0000000000000,00	
843000500	 0000000000000,00	
843500000	 0000000000000,00	
843500100	 0000000000000,00	
843500200	 0000000000000,00	
843500300	 0000000000000,00	
843500400	 0000000000000,00	
843500500	 0000000000000,00	
843500600	 0000000000000,00	
844100000	 0004822076077,00	
844200000	 0001133640160,00	
844300000	 0000902365703,00	
844400000	 0294570513478,00	
844400100	 0012045122000,00	
844400200	 0282525391478,00	
844500000	 1483081959808,00	
844500100	 1471418406256,00	
844500200	 0000000000000,00	
844500300	 0011663553552,00	
844600000	 0000000000000,00	
845250000	 0389615616905,00	
845250100	 0000000000000,00	
845250200	 0000000000000,00	
845250300	 0000981736584,00	
845250400	 0000980775221,00	
845250500	 0335288256297,00	
845250501	 0178993226440,00	
845250502	 0009238062004,00	
845250503	 0004738815747,00	
845250504	 0018281337065,00	
845250505	 0009951682618,00	
845250509	 0114085132423,00	
845250600	 0052364848803,00	
845250601	 0033357501130,00	
845250602	 0018981258348,00	
845250603	 0000000000000,00	
845250609	 0000026089325,00	
845500000	 0117911874843,00	
845500100	 0000000000000,00	
845500200	 0000000000000,00	
845500300	 0043347572387,00	
845500400	 0000000000000,00	
845500500	 0074564302456,00	
845500501	 0002875201120,00	
845500502	 0000000000000,00	
845500503	 0000000000000,00	
845500504	 0000000000000,00	
845500509	 0071689101336,00	
845500600	 0000000000000,00	
846100000	 0000000000000,00	
847000000	 0001974999202,00	
847100000	 0001984125731,00	
847100100	 0000002381787,00	
847100200	 0000711921413,00	
847100300	 0000031310337,00	
847100400	 0000000000000,00	
847100500	 0000021846587,00	
847100600	 0000002501078,00	
847100700	 0001214164529,00	
847200000	 0000009126529,00	
847200100	 0000000000000,00	
847200200	 0000008792025,00	
847200300	 0000000000000,00	
847200400	 0000000000000,00	
847200500	 0000000000000,00	
847200600	 0000000334504,00	
847200700	 0000000000000,00	
851000000	 11111701683863,00	
851100000	 0060064637107,00	
851200000	 11051637046756,00	
852000000	 0742705880082,00	
852100000	 0000000000000,00	
852200000	 0742705880082,00	
853000000	 0816003620788,00	
853100000	 0000000000000,00	
853200000	 0816003620788,00	
854000000	 11277229533707,00	
854200000	 2505373961259,00	
854300000	 6068635654451,00	
854400000	 2703219917997,00	
855000000	 0557101936480,00	
855200000	 0225661280182,00	
855300000	 0210603660775,00	
855400000	 0120836995523,00	
856050000	 3165125224846,00	
856050100	 0512393086146,00	
856050200	 0231306990979,00	
856050300	 0010373141659,00	
856050400	 1712078183572,00	
856050500	 0000000000000,00	
856050600	 0371955541499,00	
856050800	 0327018280991,00	
856050900	 0000000000000,00	
856150000	 0025692527728,00	
856150100	 0000649857545,00	
856150200	 0000668032947,00	
856150300	 0000000000000,00	
856150400	 0018831799770,00	
856150500	 0000000000000,00	
856150600	 0005542837466,00	
856150800	 0000000000000,00	
856150900	 0000000000000,00	
856250000	 0019613364589,00	
856250100	 0011559381870,00	
856250200	 0000000000000,00	
856250300	 0000000000000,00	
856250400	 0003358807368,00	
856250500	 0000000000000,00	
856250600	 0000182578470,00	
856250800	 0004512596881,00	
856250900	 0000000000000,00	
856350000	 0471381068231,00	
856350100	 0001301351068,00	
856350200	 0004071672906,00	
856350300	 0000000000000,00	
856350400	 0066329797843,00	
856350500	 0000000000000,00	
856350600	 0016471846147,00	
856350700	 0383206400267,00	
856350800	 0000000000000,00	
856350900	 0000000000000,00	
856450000	 0002985198537,00	
856450100	 0000000000000,00	
856450200	 0000039641443,00	
856450300	 0000000000000,00	
856450400	 0001105861112,00	
856450500	 0000000000000,00	
856450600	 0001000544707,00	
856450700	 0000839151275,00	
856450800	 0000000000000,00	
856450900	 0000000000000,00	
856550000	 4015597465207,00	
856550100	 0000000000000,00	
856550200	 0000000000000,00	
856550300	 0000000000000,00	
