999	SISTEMA FINANCIERO
411000000	 1081320229079,00	
411100000	 0947702998589,00	
411150000	 0003823434144,00	
411150100	 0001470991768,00	
411150101	 0001459480230,00	
411150102	 0000011511538,00	
411150103	 0000000000000,00	
411150200	 0000000000000,00	
411150201	 0000000000000,00	
411150202	 0000000000000,00	
411150203	 0000000000000,00	
411150300	 0002320596971,00	
411150301	 0002320596971,00	
411150302	 0000000000000,00	
411150400	 0000031845405,00	
411150401	 0000031845405,00	
411150402	 0000000000000,00	
411200000	 0012939812742,00	
411200100	 0009992687176,00	
411200101	 0000083863009,00	
411200102	 0009908824167,00	
411200109	 0000000000000,00	
411200200	 0001681794399,00	
411200201	 0000016876285,00	
411200202	 0000259580057,00	
411200209	 0001405338057,00	
411200300	 0001265331167,00	
411200301	 0000039255281,00	
411200302	 0000326023910,00	
411200303	 0000009245104,00	
411200304	 0000048108555,00	
411200309	 0000842698317,00	
411250000	 0011557901401,00	
411250100	 0000857128512,00	
411250101	 0000796572955,00	
411250102	 0000060555557,00	
411250103	 0000000000000,00	
411250104	 0000000000000,00	
411250105	 0000000000000,00	
411250106	 0000000000000,00	
411250107	 0000000000000,00	
411250190	 0000000000000,00	
411250200	 0001243446886,00	
411250201	 0000450348013,00	
411250202	 0000131495798,00	
411250203	 0000000000000,00	
411250204	 0000000768575,00	
411250205	 0000000793238,00	
411250206	 0000287430452,00	
411250207	 0000000000000,00	
411250208	 0000000000000,00	
411250290	 0000372610810,00	
411250300	 0009457326003,00	
411250301	 0000000000000,00	
411250302	 0009235148917,00	
411250309	 0000222177086,00	
411250400	 0000000000000,00	
411250401	 0000000000000,00	
411250402	 0000000000000,00	
411250409	 0000000000000,00	
411280000	 0438285918318,00	
411280100	 0352398536167,00	
411280101	 0318875137234,00	
411280102	 0019753566869,00	
411280103	 0001074827660,00	
411280104	 0000377360557,00	
411280105	 0000928651921,00	
411280106	 0011388991926,00	
411280200	 0016756548754,00	
411280201	 0002288530723,00	
411280202	 0006114099264,00	
411280203	 0000131995269,00	
411280204	 0006173181240,00	
