999	SISTEMA FINANCIERO
811000000	 14131347512858,00	
811100000	 0000000000000,00	
811100100	 0000000000000,00	
811100200	 0000000000000,00	
811200000	 8289387567587,00	
811200100	 7112651745096,00	
811200101	 6456363869029,00	
811200102	 0406022007054,00	
811200103	 0250265869013,00	
811200104	 0000000000000,00	
811200600	 0093116130918,00	
811200700	 0070238281922,00	
811200800	 0031652744497,00	
811200900	 0023427985610,00	
811201000	 0442127472783,00	
811201100	 0443901884116,00	
811201200	 0072271322645,00	
811300000	 3585014357828,00	
811300100	 0046452953344,00	
811300200	 0123257074072,00	
811300300	 0002665828318,00	
811300400	 3352938704288,00	
811300500	 0014976170498,00	
811300600	 0044723627308,00	
811400000	 2256945587443,00	
811400100	 1486666303615,00	
811400200	 0080971524162,00	
811400300	 0684554190297,00	
811400400	 0000070693484,00	
811400500	 0004682875885,00	
812000000	 6834940269080,00	
812100000	 0000015976370,00	
812100100	 0000015976370,00	
812100200	 0000000000000,00	
812200000	 3878931700976,00	
812200100	 3165315166842,00	
812200101	 2811097777061,00	
812200102	 0171532591526,00	
812200103	 0182684798255,00	
812200104	 0000000000000,00	
812200600	 0064179277211,00	
812200700	 0013611853659,00	
812200800	 0022182969242,00	
812200900	 0000532318533,00	
812201000	 0213405222917,00	
812201100	 0364461473257,00	
812201200	 0035243419315,00	
812300000	 2257123947843,00	
812300100	 0018487903663,00	
812300200	 0061295203458,00	
812300300	 0001351585971,00	
812300400	 2104162378957,00	
812300500	 0050660860597,00	
812300600	 0021166015197,00	
812400000	 0698868643891,00	
812400100	 0532920063149,00	
812400200	 0012025049194,00	
812400300	 0149115510857,00	
812400400	 0000014579490,00	
812400500	 0004793441201,00	
813000000	 3038076321617,00	
813100000	 0000000000000,00	
813100100	 0000000000000,00	
813100200	 0000000000000,00	
813200000	 0699484832856,00	
813200100	 0537565550207,00	
813200101	 0489489503535,00	
813200102	 0036452789228,00	
813200103	 0011623257444,00	
813200104	 0000000000000,00	
813200600	 0023151269438,00	
813200700	 0008298708587,00	
813200800	 0006922891834,00	
813200900	 0006105198992,00	
813201000	 0034382589595,00	
813201100	 0055400162080,00	
813201200	 0027658462123,00	
813300000	 0091819844546,00	
813300100	 0001683599033,00	
813300200	 0003519787260,00	
813300300	 0000462612781,00	
813300400	 0078492639490,00	
813300500	 0000403912196,00	
813300600	 0007257293786,00	
813400000	 2246771644215,00	
813400100	 1062455720701,00	
813400200	 0068661902138,00	
813400300	 1105489954246,00	
813400400	 0000058695302,00	
813400500	 0010105371828,00	
814000000	 0538624400350,00	
814100000	 0000000000000,00	
814100100	 0000000000000,00	
814100200	 0000000000000,00	
814200000	 0181951099325,00	
814200100	 0141604285354,00	
814200101	 0124067013727,00	
814200102	 0008114877103,00	
814200103	 0009422394524,00	
814200104	 0000000000000,00	
814200600	 0000445727084,00	
814200700	 0001282560573,00	
814200800	 0000577844678,00	
814200900	 0001447810735,00	
814201000	 0011999288670,00	
814201100	 0015421730875,00	
814201200	 0009171851356,00	
814300000	 0073229575357,00	
814300100	 0003010801375,00	
814300200	 0000875251372,00	
814300300	 0000000000000,00	
814300400	 0068259501932,00	
814300500	 0000753369566,00	
814300600	 0000330651112,00	
814400000	 0283443725668,00	
814400100	 0154935934750,00	
814400200	 0009957469224,00	
814400300	 0117114208944,00	
814400400	 0000088394896,00	
814400500	 0001347717854,00	
821000000	 257658754075419,00	
821100000	 2102986054333,00	
821100100	 0030821570568,00	
821100200	 2072164483765,00	
821200000	 140432706309477,00	
821200100	 111079402370255,00	
821200101	 88073255169704,00	
821200102	 9855812043663,00	
821200103	 12588928952674,00	
821200104	 0561406204214,00	
821200600	 11260318628855,00	
821200700	 0994126396820,00	
821200800	 0379315778866,00	
821200900	 3936418408187,00	
821201000	 9506311697254,00	
821201100	 2960541242005,00	
821201200	 0316271787235,00	
821300000	 84513760825211,00	
821300100	 0342440251442,00	
821300200	 6456679861161,00	
821300300	 10412086483123,00	
821300400	 66300885806155,00	
821300500	 0357780004589,00	
821300600	 0643888418741,00	
821400000	 30609300886398,00	
821400100	 16977626449671,00	
821400200	 1088102474309,00	
821400300	 12444067379104,00	
821400400	 0003506754474,00	
821400500	 0095997828840,00	
831000000	 70766426721011,00	
831100000	 3285070848845,00	
831100100	 1494752233918,00	
831100200	 1790318614927,00	
831200000	 1898054695388,00	
831300000	 0001108631998,00	
831500000	 12852752857290,00	
831500100	 9443174137658,00	
831500200	 3409578719632,00	
831600000	 40854260110067,00	
831600100	 4971430891716,00	
831600200	 0967136135026,00	
831600300	 4066847662005,00	
831600400	 30848845421320,00	
831600500	 0000000000000,00	
831700000	 7229268352361,00	
831700100	 5062865168286,00	
831700200	 0356120108476,00	
831700300	 0732380032301,00	
831700400	 1077903043298,00	
831700500	 0000000000000,00	
831800000	 4608842442736,00	
831800100	 2259329129550,00	
831800200	 2349513313186,00	
831900000	 0037068782326,00	
832000000	 17402292419528,00	
832100000	 0695645176624,00	
832100100	 0241105094970,00	
832100200	 0454540081654,00	
832300000	 0000000000000,00	
832300100	 0000000000000,00	
832300200	 0000000000000,00	
832300300	 0000000000000,00	
832500000	 3026600740502,00	
832500100	 0620808123905,00	
832500200	 0001772028529,00	
832500300	 2404020588068,00	
832700000	 13680046502402,00	
832700100	 10639297621799,00	
832700101	 0008525342297,00	
832700102	 10542453248692,00	
832700103	 0088283949995,00	
832700104	 0000035080815,00	
832700200	 3040748880603,00	
832700201	 0000000000000,00	
832700202	 3040748880603,00	
832700203	 0000000000000,00	
832700204	 0000000000000,00	
833000000	 108410026500749,00	
833050000	 13183426863254,00	
833050100	 0436907651146,00	
