039	ITAÚ CORPBANCA
8110000	 0000001785119,00	
8111000	 0000000000000,00	
8113000	 0000001415492,00	
8114000	 0000000225334,00	
8115000	 0000000144293,00	
8130000	 0000000053302,00	
8131000	 0000000000000,00	
8133000	 0000000021170,00	
8134000	 0000000002541,00	
8135000	 0000000029591,00	
8140000	 0000000014972,00	
8141000	 0000000000000,00	
8143000	 0000000005000,00	
8144000	 0000000001048,00	
8145000	 0000000008924,00	
8310000	 0000006623531,00	
8311000	 0000000442317,00	
8312000	 0000000001696,00	
8314000	 0000000170963,00	
8315000	 0000001374423,00	
8315100	 0000000886153,00	
8315200	 0000000488270,00	
8317000	 0000003892503,00	
8318000	 0000000741629,00	
8318100	 0000000499610,00	
8318900	 0000000242019,00	
8319000	 0000000000000,00	
8510000	 0000010954795,00	
8511000	 0000000015846,00	
8513000	 0000010938949,00	
8520000	 0000000871425,00	
8521000	 0000000000000,00	
8523000	 0000000871425,00	
8530000	 0000000909973,00	
8531000	 0000000000000,00	
8533000	 0000000909973,00	
8540000	 0000009459920,00	
8543000	 0000001933087,00	
8544000	 0000005199779,00	
8545000	 0000002327054,00	
8560000	 0000000579199,00	
8563000	 0000000209572,00	
8564000	 0000000225334,00	
8565000	 0000000144293,00	
8610000	 0000002524217,00	
8620000	 0000000059013,00	
8630000	 0000000020683,00	
8640000	 0000004011105,00	
8660000	 0000000008513,00	
8700000	 0000000001628,00	
8710000	 0000000002079,00	
8711000	 0000000000005,00	
8712000	 0000000001501,00	
8713000	 0000000000057,00	
8714000	 0000000000000,00	
8715000	 0000000000009,00	
8716000	 0000000000028,00	
8717000	 0000000000479,00	
8720000	 0000000000451,00	
8721000	 0000000000000,00	
8722000	 0000000000340,00	
8723000	 0000000000022,00	
8724000	 0000000000000,00	
8725000	 0000000000085,00	
8726000	 0000000000004,00	
8727000	 0000000000000,00	
8910000	 0000000567798,00	
8911000	 0000000000000,00	
8913000	 0000000454133,00	
8914000	 0000000072084,00	
8915000	 0000000041581,00	
