039	ITAÚ CORPBANCA
8110000	 0000000929080,00	
8111000	 0000000000000,00	
8113000	 0000000728077,00	
8114000	 0000000116483,00	
8115000	 0000000084520,00	
8130000	 0000000127872,00	
8131000	 0000000000000,00	
8133000	 0000000054534,00	
8134000	 0000000002832,00	
8135000	 0000000070506,00	
8140000	 0000000013350,00	
8141000	 0000000000000,00	
8143000	 0000000005085,00	
8144000	 0000000000748,00	
8145000	 0000000007517,00	
8310000	 0000005590102,00	
8311000	 0000000261026,00	
8312000	 0000000000902,00	
8314000	 0000000076176,00	
8315000	 0000001130933,00	
8315100	 0000000822651,00	
8315200	 0000000308282,00	
8317000	 0000002621095,00	
8318000	 0000001499970,00	
8318100	 0000000921386,00	
8318900	 0000000578584,00	
8319000	 0000000000000,00	
8510000	 0000012431781,00	
8511000	 0000000277523,00	
8513000	 0000012154258,00	
8520000	 0000000547849,00	
8521000	 0000000000000,00	
8523000	 0000000547849,00	
8530000	 0000000369094,00	
8531000	 0000000000000,00	
8533000	 0000000369094,00	
8540000	 0000008355076,00	
8543000	 0000002255280,00	
8544000	 0000003724671,00	
8545000	 0000002375125,00	
8560000	 0000000346753,00	
8563000	 0000000145750,00	
8564000	 0000000116483,00	
8565000	 0000000084520,00	
8610000	 0000002564561,00	
8620000	 0000000032051,00	
8630000	 0000000011923,00	
8640000	 0000002977947,00	
8660000	 0000000003620,00	
