055	BANCO CONSORCIO
8110000	 0000000022289,00	
8111000	 0000000000000,00	
8113000	 0000000019308,00	
8114000	 0000000000316,00	
8115000	 0000000002665,00	
8130000	 0000000002989,00	
8131000	 0000000000000,00	
8133000	 0000000000482,00	
8134000	 0000000000005,00	
8135000	 0000000002502,00	
8140000	 0000000000643,00	
8141000	 0000000000000,00	
8143000	 0000000000067,00	
8144000	 0000000000004,00	
8145000	 0000000000572,00	
8310000	 0000000068784,00	
8311000	 0000000000000,00	
8312000	 0000000007244,00	
8314000	 0000000000000,00	
8315000	 0000000048282,00	
8315100	 0000000045874,00	
8315200	 0000000002408,00	
8317000	 0000000013258,00	
8318000	 0000000000000,00	
8318100	 0000000000000,00	
8318900	 0000000000000,00	
8319000	 0000000000000,00	
8510000	 0000001545539,00	
8511000	 0000000025005,00	
8513000	 0000001520534,00	
8520000	 0000000025860,00	
8521000	 0000000000000,00	
8523000	 0000000025860,00	
8530000	 0000000019195,00	
8531000	 0000000000000,00	
8533000	 0000000019195,00	
8540000	 0000000146323,00	
8543000	 0000000004156,00	
8544000	 0000000075572,00	
8545000	 0000000066595,00	
8560000	 0000000003086,00	
8563000	 0000000000105,00	
8564000	 0000000000316,00	
8565000	 0000000002665,00	
8610000	 0000000064186,00	
8620000	 0000000003128,00	
8630000	 0000000000223,00	
8640000	 0000000001247,00	
8660000	 0000000000000,00	
