028	BANCO BICE
8110000	 0000000081984,00	
8111000	 0000000000000,00	
8113000	 0000000077712,00	
8114000	 0000000002157,00	
8115000	 0000000002115,00	
8130000	 0000000000210,00	
8131000	 0000000000000,00	
8133000	 0000000000014,00	
8134000	 0000000000000,00	
8135000	 0000000000196,00	
8140000	 0000000000031,00	
8141000	 0000000000000,00	
8143000	 0000000000004,00	
8144000	 0000000000000,00	
8145000	 0000000000027,00	
8310000	 0000001143250,00	
8311000	 0000000016002,00	
8312000	 0000000013343,00	
8314000	 0000000033377,00	
8315000	 0000000271455,00	
8315100	 0000000236502,00	
8315200	 0000000034953,00	
8317000	 0000000648613,00	
8318000	 0000000157192,00	
8318100	 0000000000000,00	
8318900	 0000000157192,00	
8319000	 0000000003268,00	
8510000	 0000002983967,00	
8511000	 0000000000000,00	
8513000	 0000002983967,00	
8520000	 0000000119392,00	
8521000	 0000000000000,00	
8523000	 0000000119392,00	
8530000	 0000000043174,00	
8531000	 0000000000000,00	
8533000	 0000000043174,00	
8540000	 0000000928161,00	
8543000	 0000000200457,00	
8544000	 0000000610078,00	
8545000	 0000000117626,00	
8560000	 0000000012139,00	
8563000	 0000000007868,00	
8564000	 0000000002156,00	
8565000	 0000000002115,00	
8610000	 0000000835597,00	
8620000	 0000000026969,00	
8630000	 0000000000210,00	
8640000	 0000000280287,00	
8660000	 0000000000187,00	
