039	ITAÚ CORPBANCA
811000000	 1606897778781,00	
811100000	 0000000000000,00	
811100100	 0000000000000,00	
811100200	 0000000000000,00	
811200000	 1220517312831,00	
811200100	 1086447071490,00	
811200101	 0899766719178,00	
811200102	 0186321722334,00	
811200103	 0000358629978,00	
811200104	 0000000000000,00	
811200600	 0002533105916,00	
811200700	 0010894518293,00	
811200800	 0000240398102,00	
811200900	 0002777866968,00	
811201000	 0059320267181,00	
811201100	 0055983880049,00	
811201200	 0002320204832,00	
811300000	 0241933431825,00	
811300100	 0001235000853,00	
811300200	 0007577148914,00	
811300300	 0000000000000,00	
811300400	 0219389361012,00	
811300500	 0010468312878,00	
811300600	 0003263608168,00	
811400000	 0144447034125,00	
811400100	 0113332400908,00	
811400200	 0009320314908,00	
811400300	 0020582181879,00	
811400400	 0000019768658,00	
811400500	 0001192367772,00	
812000000	 0972965816791,00	
812100000	 0000000000000,00	
812100100	 0000000000000,00	
812100200	 0000000000000,00	
812200000	 0704025303003,00	
812200100	 0611750543687,00	
812200101	 0480865124890,00	
812200102	 0085139905768,00	
812200103	 0045745513029,00	
812200104	 0000000000000,00	
812200600	 0000000000000,00	
812200700	 0000112841401,00	
812200800	 0000205233480,00	
812200900	 0000000000000,00	
812201000	 0039082132405,00	
812201100	 0052874552030,00	
812201200	 0000000000000,00	
812300000	 0190290309884,00	
812300100	 0000743380295,00	
812300200	 0003803977783,00	
812300300	 0000000000000,00	
812300400	 0140681663444,00	
812300500	 0044249570854,00	
812300600	 0000811717508,00	
812400000	 0078650203904,00	
812400100	 0062247193180,00	
812400200	 0000061828311,00	
812400300	 0012807108112,00	
812400400	 0000019520667,00	
812400500	 0003514553634,00	
813000000	 0248100996244,00	
813100000	 0000000000000,00	
813100100	 0000000000000,00	
813100200	 0000000000000,00	
813200000	 0111584049503,00	
813200100	 0080583116200,00	
813200101	 0037018775229,00	
813200102	 0040484777013,00	
813200103	 0003079563958,00	
813200104	 0000000000000,00	
813200600	 0018107386142,00	
813200700	 0002818497163,00	
813200800	 0000056735434,00	
813200900	 0000050603749,00	
813201000	 0002526381938,00	
813201100	 0007441328877,00	
813201200	 0000000000000,00	
813300000	 0007314316700,00	
813300100	 0000018674603,00	
813300200	 0000133868130,00	
813300300	 0000000000000,00	
813300400	 0006400671361,00	
813300500	 0000761102606,00	
813300600	 0000000000000,00	
813400000	 0129202630041,00	
813400100	 0095765836413,00	
813400200	 0005333738105,00	
813400300	 0025957602941,00	
813400400	 0000007659944,00	
813400500	 0002137792638,00	
814000000	 0052107344650,00	
814100000	 0000000000000,00	
814100100	 0000000000000,00	
814100200	 0000000000000,00	
814200000	 0016850646414,00	
814200100	 0012006420651,00	
814200101	 0007885698228,00	
814200102	 0004120722423,00	
814200103	 0000000000000,00	
814200104	 0000000000000,00	
814200600	 0000000000000,00	
814200700	 0000327402617,00	
814200800	 0000055437460,00	
814200900	 0000011291038,00	
814201000	 0001537903484,00	
814201100	 0002912191164,00	
814201200	 0000000000000,00	
814300000	 0006509939014,00	
814300100	 0000259861249,00	
814300200	 0000000000000,00	
814300300	 0000000000000,00	
814300400	 0005477777428,00	
814300500	 0000772300337,00	
814300600	 0000000000000,00	
814400000	 0028746759222,00	
814400100	 0021538285274,00	
814400200	 0001598319448,00	
814400300	 0004920259748,00	
814400400	 0000088069213,00	
814400500	 0000601825539,00	
821000000	 27606882490498,00	
821100000	 0024369512610,00	
821100100	 0000000000000,00	
821100200	 0024369512610,00	
821200000	 17345871973482,00	
821200100	 13531025539238,00	
821200101	 9152034071543,00	
821200102	 3356146911303,00	
821200103	 1022844556392,00	
821200104	 0000000000000,00	
821200600	 1736923047888,00	
821200700	 0118346798571,00	
821200800	 0029387970063,00	
821200900	 0343918410268,00	
821201000	 0970365656638,00	
821201100	 0615904550816,00	
821201200	 0000000000000,00	
821300000	 7006495990464,00	
821300100	 0014058706917,00	
821300200	 0077421998416,00	
821300300	 0000000000000,00	
821300400	 6564644957024,00	
821300500	 0301294053068,00	
821300600	 0049076275039,00	
821400000	 3230145013942,00	
821400100	 2306978819009,00	
821400200	 0146810721415,00	
821400300	 0735648252185,00	
821400400	 0000651962733,00	
821400500	 0040055258600,00	
831000000	 8222699313182,00	
831100000	 0573902555398,00	
831100100	 0110390825060,00	
831100200	 0463511730338,00	
831200000	 0142790472962,00	
831300000	 0016383783596,00	
831500000	 1922966971552,00	
831500100	 1129771073733,00	
831500200	 0793195897819,00	
831600000	 4977592457921,00	
831600100	 0450350314033,00	
831600200	 0135397652407,00	
831600300	 3406000374946,00	
831600400	 0985844116535,00	
831600500	 0000000000000,00	
831700000	 0000000000000,00	
831700100	 0000000000000,00	
831700200	 0000000000000,00	
831700300	 0000000000000,00	
831700400	 0000000000000,00	
831700500	 0000000000000,00	
831800000	 0589063071753,00	
831800100	 0348358462604,00	
831800200	 0240704609149,00	
831900000	 0000000000000,00	
832000000	 1376698693027,00	
832100000	 0018113928030,00	
832100100	 0013727623180,00	
832100200	 0004386304850,00	
832300000	 0000000000000,00	
832300100	 0000000000000,00	
832300200	 0000000000000,00	
832300300	 0000000000000,00	
832500000	 1128917709037,00	
832500100	 0015607075843,00	
832500200	 0000000000000,00	
832500300	 1113310633194,00	
832700000	 0229667055960,00	
832700100	 0000000000000,00	
832700101	 0000000000000,00	
832700102	 0000000000000,00	
832700103	 0000000000000,00	
832700104	 0000000000000,00	
832700200	 0229667055960,00	
832700201	 0000000000000,00	
832700202	 0229667055960,00	
832700203	 0000000000000,00	
832700204	 0000000000000,00	
833000000	 7190975203830,00	
833050000	 0595347941621,00	
833050100	 0319702130670,00	
833050200	 0275645810951,00	
833100000	 6491583598298,00	
833200000	 0000000000000,00	
833300000	 0104043663911,00	
833300100	 0104043663911,00	
833300200	 0000000000000,00	
833300300	 0000000000000,00	
833350000	 0000000000000,00	
833360000	 0000000000000,00	
833370000	 0000000000000,00	
833380000	 0000000000000,00	
833400000	 0000000000000,00	
833410000	 0000000000000,00	
833420000	 0000000000000,00	
833500000	 0262927471783,00	
833500100	 0000000000000,00	
833500200	 0000000000000,00	
833500300	 0000000000000,00	
833500400	 0041215601199,00	
833500500	 0000000000000,00	
833500600	 0221711870584,00	
833500700	 0000000000000,00	
841000000	 3433139684858,00	
841000100	 0142313740164,00	
841000200	 0062652453698,00	
841000300	 0000000000000,00	
841000400	 0000000000000,00	
841000500	 0104439939600,00	
841000600	 3123733551396,00	
841000700	 0000000000000,00	
842000000	 0000000000000,00	
842000100	 0000000000000,00	
842000200	 0000000000000,00	
843000000	 0000000000000,00	
843000100	 0000000000000,00	
843000200	 0000000000000,00	
843000300	 0000000000000,00	
843000400	 0000000000000,00	
843000500	 0000000000000,00	
843500000	 0000000000000,00	
843500100	 0000000000000,00	
843500200	 0000000000000,00	
843500300	 0000000000000,00	
843500400	 0000000000000,00	
843500500	 0000000000000,00	
843500600	 0000000000000,00	
844100000	 0004669573237,00	
844200000	 0000783225393,00	
844300000	 0000902365703,00	
844400000	 0296767506478,00	
844400100	 0014242115000,00	
844400200	 0282525391478,00	
844500000	 2432854979727,00	
844500100	 2398254629727,00	
844500200	 0000000000000,00	
844500300	 0034600350000,00	
844600000	 0000000000000,00	
845250000	 0429123422032,00	
