"banco_codigo;periodo;ifrs;clp;uf;mx;total";banco_codigo;periodo;ifrs;clp;uf;mx;total
NA;001;2022-07-01;145000000;968648327163300;706509963621700;12118117306000;338091855440400
NA;001;2022-07-01;146000000;3712499365800;1088529577546800;0;0
NA;001;2022-07-01;148000000;447227830391700;5918823404700;0;6221103414200
NA;001;2022-07-01;500000000;1453607073993800;1800958364573200;12118117306000;376550890900100
NA;012;2022-07-01;145000000;866266301205100;505463207485500;8159267803400;140340261789500
NA;012;2022-07-01;146000000;169426375600;1234962338705200;0;0
NA;012;2022-07-01;148000000;209151365997600;0;0;768396369900
NA;012;2022-07-01;500000000;1095597926911600;1740425546190700;8159267803400;259055969436300
NA;037;2022-07-01;145000000;789580264723700;656462580794800;12420380266100;362164053353600
NA;037;2022-07-01;146000000;132353523900;1487211359481600;0;0
NA;037;2022-07-01;148000000;498996343101700;1337225273000;0;7919395199400
NA;037;2022-07-01;500000000;1294573767111800;2146652292950600;12420380266100;370088041547700
NA;001;2022-08-01;145000000;952911177670200;716055486674100;12103692025200;334544073855300
NA;001;2022-08-01;146000000;3710936092500;1101067376625400;0;0
NA;001;2022-08-01;148000000;457680714241700;5809172954000;0;5701526685600
NA;001;2022-08-01;500000000;1414302828014600;1822932036253500;12103692025200;372863700925500
NA;012;2022-08-01;145000000;892618282548600;516096627891300;7725200907500;139214936844200
NA;012;2022-08-01;146000000;167581358100;1254260895043700;0;0
NA;012;2022-08-01;148000000;213510028933500;0;0;755774586700
NA;012;2022-08-01;500000000;1106295892840200;1770357522935000;7725200907500;274151222325200
NA;037;2022-08-01;145000000;773772500368900;659916576039300;11926215953700;345729184772500
NA;037;2022-08-01;146000000;131201715800;1507744480095400;0;0
NA;037;2022-08-01;148000000;500936865946200;1351061844700;0;7100585427700
NA;037;2022-08-01;500000000;1280669061724700;2170645928436600;11926215953700;352836809526500
NA;001;2022-09-01;145000000;947158176359600;721586156535200;13003478909000;339388606785100
NA;001;2022-09-01;146000000;3770711049300;1112671470997900;0;0
NA;001;2022-09-01;148000000;458607890670800;5688420607600;0;6671804888900
NA;001;2022-09-01;500000000;1409536778079700;1839946048140700;13003478909000;377168140873000
NA;012;2022-09-01;145000000;877712392028800;529032966570000;8108828935900;152313511198700
NA;012;2022-09-01;146000000;166731289400;1279775792564200;0;0
NA;012;2022-09-01;148000000;214886939355500;0;0;744263368500
NA;012;2022-09-01;500000000;1092766062673700;1808808759134200;8108828935900;275986501673100
NA;037;2022-09-01;145000000;777458283150900;665157152810300;12937772712500;397906489539500
NA;037;2022-09-01;146000000;129586748100;1526879190874200;0;0
NA;037;2022-09-01;148000000;495169517340700;1383691790800;0;7922499244000
NA;037;2022-09-01;500000000;1278609471689200;2195020496324300;12937772712500;405834458480000
NA;001;2022-10-01;145000000;955841524896600;726771033579500;12603700285900;361996311820200
NA;001;2022-10-01;146000000;3801086469300;1122913765509900;0;0
NA;001;2022-10-01;148000000;466824471489900;5592588954600;0;6254946908600
NA;001;2022-10-01;500000000;1426467082855800;1855277388044000;12603700285900;402097391995300
NA;012;2022-10-01;145000000;882684320948300;538651805216100;8360907681300;145761304636100
NA;012;2022-10-01;146000000;165205440300;1292253282325100;0;0
NA;012;2022-10-01;148000000;219767066650100;0;0;742785457400
NA;012;2022-10-01;500000000;1107621280538700;1830905087541200;8360907681300;250639964928700
NA;037;2022-10-01;145000000;779422720999200;667488494378700;12305228331500;402179443332900
NA;037;2022-10-01;146000000;128079036600;1542276548840300;0;0
NA;037;2022-10-01;148000000;506106237933900;1414722106900;0;7701960105800
NA;037;2022-10-01;500000000;1291691503253200;2212828271863800;12305228331500;409885334463400
NA;001;2022-11-01;145000000;976219073203100;697660505745100;11990156816100;338601499719100
NA;001;2022-11-01;146000000;3830923852500;1127312141709700;0;0
NA;001;2022-11-01;148000000;482699150377500;5428443775600;0;6261596741400
NA;001;2022-11-01;500000000;1462749147447800;1830401091230400;11990156816100;381276697658600
NA;012;2022-11-01;145000000;888330312395300;543111667229400;7889730319100;136808293529500
NA;012;2022-11-01;146000000;163074026400;1302746529312200;0;0
NA;012;2022-11-01;148000000;226418031561800;0;0;830280174300
NA;012;2022-11-01;500000000;1114911417983500;1845858196541600;7889730319100;231711794006200
NA;037;2022-11-01;145000000;817295783298400;618724148772300;11651958005800;383552910770100
NA;037;2022-11-01;146000000;127112176500;1553966781467700;0;0
NA;037;2022-11-01;148000000;514160413049600;1429853064300;0;6936995140900
NA;037;2022-11-01;500000000;1337790265919500;2175808726617600;11651958005800;390493303114100
NA;001;2022-12-01;145000000;997125206382400;678427365885800;11842582281700;341175847365400
NA;001;2022-12-01;146000000;3819552583200;1137795880749500;0;0
NA;001;2022-12-01;148000000;488907625648400;5262192420800;0;5124145804800
NA;001;2022-12-01;500000000;1489852384614000;1821485439056100;11842582281700;383669230103200
NA;012;2022-12-01;145000000;910424394196500;528924452568000;7164931393700;139521186358200
NA;012;2022-12-01;146000000;155069087800;1319452166344900;0;0
NA;012;2022-12-01;148000000;230532611777400;0;0;701001765000
NA;012;2022-12-01;500000000;1141112075061700;1848376618912900;7164931393700;215161789242000
NA;037;2022-12-01;145000000;816660049757100;587815739701000;11101815551600;352881256529200
NA;037;2022-12-01;146000000;124792352200;1572776193852700;0;0
NA;037;2022-12-01;148000000;521268750779400;1083640315000;0;5928782971200
NA;037;2022-12-01;500000000;1350828780522200;2163131031886400;11101815551600;362109151052100
NA;001;2023-01-01;145000000;1017060938437900;659026006277500;11293550928600;321350584133400
NA;001;2023-01-01;146000000;3865495051900;1143855521484500;0;0
NA;001;2023-01-01;148000000;491225663630200;5076187076800;0;5675561983300
NA;001;2023-01-01;500000000;1512152097120000;1807957714838800;11293550928600;360791360741200
NA;012;2023-01-01;145000000;934889782279100;523500162465400;6665368603600;142910892151500
NA;012;2023-01-01;146000000;153480961900;1328565678713900;0;0
NA;012;2023-01-01;148000000;235362407389900;0;0;760527986500
NA;012;2023-01-01;500000000;1170405670630900;1852065841179300;6665368603600;213665139810500
NA;037;2023-01-01;145000000;819688114815000;581460922639100;10014163127300;338691146305700
NA;037;2023-01-01;146000000;123045091000;1583526217144300;0;0
NA;037;2023-01-01;148000000;520424141727300;1077037106100;0;6497452339600
NA;037;2023-01-01;500000000;1352923546455000;2167546048694100;10014163127300;345210439615700
NA;001;2023-02-01;145000000;1016981183645900;652250394212300;11568849571200;338359770336900
NA;001;2023-02-01;146000000;3924255651900;1150367058145800;0;0
NA;001;2023-02-01;148000000;487245057474600;4893670992500;0;6617266301400
NA;001;2023-02-01;500000000;1508150496772400;1807511123350600;11568849571200;372038912245400
NA;012;2023-02-01;145000000;936469000962600;524492889581000;6893201335000;172703346696900
NA;012;2023-02-01;146000000;152898085300;1339411958241000;0;0
NA;012;2023-02-01;148000000;238213268845600;0;0;883819065500
NA;012;2023-02-01;500000000;1174835167893500;1863904847822000;6893201335000;253032124567200
NA;037;2023-02-01;145000000;809091465096700;579115409610600;10202840424600;362163166663900
NA;037;2023-02-01;146000000;121549294800;1594885279473600;0;0
NA;037;2023-02-01;148000000;516545441899400;1095023040000;0;7387092724900
NA;037;2023-02-01;500000000;1345064869134600;2176601869019700;10202840424600;369554343912300
NA;001;2023-03-01;145000000;1000024987599500;673653017865200;11115581604800;348857418119300
NA;001;2023-03-01;146000000;3936150859200;1154512563040300;0;0
NA;001;2023-03-01;148000000;500988760442300;4675383419400;0;5617655996300
NA;001;2023-03-01;500000000;1504949898901000;1832840964324900;11115581604800;384110257452400
NA;012;2023-03-01;145000000;917470920700100;552802128541400;6471591019800;168241881613500
NA;012;2023-03-01;146000000;151412330200;1351908507562600;0;0
NA;012;2023-03-01;148000000;243973918228900;0;0;822798047900
NA;012;2023-03-01;500000000;1161596251259200;1904710636104000;6471591019800;229353916128800
NA;037;2023-03-01;145000000;798202673210800;596280802629400;9465635790100;346830626793200
NA;037;2023-03-01;146000000;119281390900;1602867554123000;0;0
NA;037;2023-03-01;148000000;527030791832700;1045390162200;0;5983579156100
NA;037;2023-03-01;500000000;1333595087490700;2201704511851000;9465635790100;367025681085300
NA;001;2023-04-01;145000000;988995541013800;689300805342100;11065427297800;338671945334500
NA;001;2023-04-01;146000000;3945886611400;1163084105394100;0;0
NA;001;2023-04-01;148000000;499335602622400;4488268137100;0;5701001788500
NA;001;2023-04-01;500000000;1492277030247600;1856873178873300;11065427297800;370584706538300
NA;012;2023-04-01;145000000;941541398928200;565597982510400;6535267162000;186932621418300
NA;012;2023-04-01;146000000;150945297400;1364929040514000;0;0
NA;012;2023-04-01;148000000;246900174402700;0;0;761706087500
NA;012;2023-04-01;500000000;1188592518628300;1930527023024400;6535267162000;252033145293400
NA;037;2023-04-01;145000000;785402164464400;618601599843500;9583319758300;347186652824400
NA;037;2023-04-01;146000000;117242917100;1619369472055800;0;0
NA;037;2023-04-01;148000000;530302767583900;1059962596200;0;6644427182900
NA;037;2023-04-01;500000000;1324114486237600;2240543721654300;9583319758300;364976152244900
NA;001;2023-05-01;145000000;954074604753800;695225886846200;12234422059100;333786048950000
NA;001;2023-05-01;146000000;3970661370200;1173196453357800;0;0
NA;001;2023-05-01;148000000;508117668444300;4322863874100;0;6757560618600
NA;001;2023-05-01;500000000;1466162934568300;1872745204078100;12234422059100;364142700709500
NA;012;2023-05-01;145000000;929651370868100;571230691935600;7977899845300;209856273612200
NA;012;2023-05-01;146000000;149804934800;1375928861510700;0;0
NA;012;2023-05-01;148000000;251158809569700;0;0;847015213500
NA;012;2023-05-01;500000000;1180959985372600;1947159553446300;7977899845300;289538726036400
NA;037;2023-05-01;145000000;721429026521100;686977715207500;9834939421200;351815981418700
NA;037;2023-05-01;146000000;124643010600;1633263442897900;0;0
NA;037;2023-05-01;148000000;534359556983600;1040623489800;0;7542107946400
NA;037;2023-05-01;500000000;1264336251552300;2322805499282100;9834939421200;362028633170200
NA;001;2023-06-01;145000000;942998167120400;692826091757400;12363294684400;295927202521500
NA;001;2023-06-01;146000000;3988046617800;1180330399011300;0;0
NA;001;2023-06-01;148000000;504787114897500;4162100347900;0;6743017782500
NA;001;2023-06-01;500000000;1451773328635700;1877318591116600;12363294684400;330911323685300
NA;012;2023-06-01;145000000;913539042019900;582816953293200;7691208924900;172029680954700
NA;012;2023-06-01;146000000;148880242900;1388643226220300;0;0
NA;012;2023-06-01;148000000;252784463127600;0;0;834718577400
NA;012;2023-06-01;500000000;1166472385390400;1971460179513500;7691208924900;259566096870600
NA;037;2023-06-01;145000000;701935635323600;688829663142200;9749731540100;338972870931800
NA;037;2023-06-01;146000000;22971192925700;1617741396026300;0;0
NA;037;2023-06-01;148000000;532319831183200;1042006468100;0;7824077092200
NA;037;2023-06-01;500000000;1265559740188100;2308893326940100;9749731540100;352025571162900
NA;001;2023-07-01;145000000;923930280639700;694742453575900;13034476817000;334578967063100
NA;001;2023-07-01;146000000;4061798650100;1184393797775000;0;0
NA;001;2023-07-01;148000000;502611154829600;3988178436800;0;7412150700100
NA;001;2023-07-01;500000000;1430603234119400;1883124429787700;13034476817000;364475234441600
NA;012;2023-07-01;145000000;906425006906800;599215304895500;7917400800800;192163844429600
NA;012;2023-07-01;146000000;147784777000;1394227991292500;0;0
NA;012;2023-07-01;148000000;255413975058700;0;0;908587691900
NA;012;2023-07-01;500000000;1161986766742500;1993443296188000;7917400800800;278554763692100
NA;037;2023-07-01;145000000;743197840119300;643526603973600;311144395700;346692959931500
NA;037;2023-07-01;146000000;23152059050400;1622024124988000;0;0
NA;037;2023-07-01;148000000;533248370561600;1042990002500;0;8727703936500
NA;037;2023-07-01;500000000;1308093201923000;2267885785537300;311144395700;358291673459700
NA;001;2023-08-01;145000000;924041927115900;701858198995800;13472351541000;343562663394100
NA;001;2023-08-01;146000000;4075213022600;1192189274474500;0;0
NA;001;2023-08-01;148000000;509598181174100;3842784714100;0;6786257935500
NA;001;2023-08-01;500000000;1461715335497600;1897890258184400;13472351541000;375210580705300
NA;012;2023-08-01;145000000;907993107874700;610599291691200;8008408195800;200212694942900
NA;012;2023-08-01;146000000;146563847700;1409857112492700;0;0
NA;012;2023-08-01;148000000;258985547348400;0;0;851819816800
NA;012;2023-08-01;500000000;1167125219070800;2020456404183900;8008408195800;312329522812200
NA;037;2023-08-01;145000000;738493290024400;648557145003300;340092926400;354518515733800
NA;037;2023-08-01;146000000;1246093026300;1655520309410400;0;0
NA;037;2023-08-01;148000000;537314505120100;1052262846800;0;7688442279900
NA;037;2023-08-01;500000000;1286031707613200;2306429663092200;340092926400;363714872897300
NA;001;2023-09-01;145000000;910424087316600;705873131396100;14411675770100;330224734067100
NA;001;2023-09-01;146000000;4083502596200;1197322077775800;0;0
NA;001;2023-09-01;148000000;502430647117800;3708884207000;0;7297223771100
NA;001;2023-09-01;500000000;1431942195444200;1906904093378900;14411675770100;370606650138900
NA;012;2023-09-01;145000000;905266110921400;620140747391200;9309067577700;196774325371800
NA;012;2023-09-01;146000000;145113351500;1424455802480200;0;0
NA;012;2023-09-01;148000000;258900855940000;0;0;840102061600
NA;012;2023-09-01;500000000;1164312080212900;2044596549871400;9309067577700;300168659058300
NA;037;2023-09-01;145000000;757316391101200;651442223642600;328014009500;384761108980500
NA;037;2023-09-01;146000000;1549536490400;1663466435180000;0;0
NA;037;2023-09-01;148000000;534345418207100;1077893505800;0;8628484359400
NA;037;2023-09-01;500000000;1301657170008200;2317269686710500;328014009500;394689616026400
NA;001;2023-10-01;145000000;911404429378100;726290082033100;15138329097500;344055031513700
NA;001;2023-10-01;146000000;4105126797100;1207652563157000;0;0
NA;001;2023-10-01;148000000;509781302770100;3609621971300;0;7200887077800
NA;001;2023-10-01;500000000;1425290858945300;1937552267161400;15138329097500;379796564133600
NA;012;2023-10-01;145000000;886073184311400;640958968913600;9918985875800;194136856397300
NA;012;2023-10-01;146000000;143108280600;1440215851738500;0;0
NA;012;2023-10-01;148000000;260874513924900;0;0;862526721600
NA;012;2023-10-01;500000000;1147090806516900;2081174820652100;9918985875800;290032924165900
NA;037;2023-10-01;145000000;753485448607900;654182867769900;345980435100;390657122575300
NA;037;2023-10-01;146000000;1836458055500;1676700763021300;0;0
NA;037;2023-10-01;148000000;541523706639200;1078271814400;0;8296528612800
NA;037;2023-10-01;500000000;1305263952905800;2333240545609500;345980435100;405476710890500
NA;001;2023-11-01;145000000;927821358811800;736395110053600;14649582310300;317955416207200
NA;001;2023-11-01;146000000;4105869128900;1215630196107500;0;0
NA;001;2023-11-01;148000000;519515458730200;3543532589700;0;6689557033100
NA;001;2023-11-01;500000000;1451442686670900;1955568838750800;14649582310300;361669441101700
NA;012;2023-11-01;145000000;866449589244300;629396712731800;9728287627300;179624206935100
NA;012;2023-11-01;146000000;141242329500;1455452663075700;0;0
NA;012;2023-11-01;148000000;262663118636000;0;0;877997135900
NA;012;2023-11-01;500000000;1129253950209800;2084849375807500;9728287627300;274119935194400
NA;037;2023-11-01;145000000;756087496414200;656410508881300;366021722000;381639776616900
NA;037;2023-11-01;146000000;2264776516800;1689975810238400;0;0
NA;037;2023-11-01;148000000;549137189488800;1079572552600;0;7334778361200
NA;037;2023-11-01;500000000;1316250136582100;2348779477814100;366021722000;394690928668100
NA;001;2023-12-01;145000000;935272908122000;739325735796200;14595822498200;309916927937400
NA;001;2023-12-01;146000000;4148590275500;1226166780152900;0;0
NA;001;2023-12-01;148000000;521208611507800;3580081227600;0;5854878936000
NA;001;2023-12-01;500000000;1460630109905300;1969072597176700;14595822498200;357671584812800
NA;012;2023-12-01;145000000;863331399125900;632547212756300;9330515633600;161158559486500
NA;012;2023-12-01;146000000;140450114100;1472647669434600;0;0
NA;012;2023-12-01;148000000;263169270046500;0;0;775414619000
NA;012;2023-12-01;500000000;1126641119286500;2105194882190900;9330515633600;245143510141900
NA;037;2023-12-01;145000000;769312610044100;658479505394500;65949724800;379307657507100
NA;037;2023-12-01;146000000;2459153864700;1704884727851800;0;0
NA;037;2023-12-01;148000000;551687100254800;1060900802200;0;7087043238100
NA;037;2023-12-01;500000000;1332916054516700;2365493620367800;65949724800;393238694685100
NA;001;2024-01-01;145000000;927280226552200;729868982306600;15513305225100;332541343095900
NA;001;2024-01-01;146000000;4162791702900;1228874133262100;0;0
NA;001;2024-01-01;148000000;522931275396300;3555948327400;0;7598730907500
NA;001;2024-01-01;500000000;1454374293651400;1962299063896100;15513305225100;372731377890500
NA;012;2024-01-01;145000000;876530440809500;626365940588000;9776254830500;183149264706600
NA;012;2024-01-01;146000000;139768522300;1478407162503500;0;0
NA;012;2024-01-01;148000000;263107339948300;0;0;1034359652200
NA;012;2024-01-01;500000000;1139777549280100;2104773103091500;9776254830500;278436589235300
NA;037;2024-01-01;145000000;765031828133900;654985966640700;13496750900;405561561479000
NA;037;2024-01-01;146000000;2400925161900;1705845542455300;0;0
NA;037;2024-01-01;148000000;551045748099500;1032272857900;0;8625960490100
NA;037;2024-01-01;500000000;1328061007832700;2362947436321300;13496750900;414241820801600
NA;001;2024-02-01;145000000;928935152361700;734901803996400;16150496544900;353122853134500
NA;001;2024-02-01;146000000;4196293256300;1233820684181400;0;0
NA;001;2024-02-01;148000000;514998852539500;3418510179400;0;8122768603700
NA;001;2024-02-01;500000000;1448130298157500;1972140998357200;16150496544900;395712771863600
NA;012;2024-02-01;145000000;872918798301000;636751658512200;10076288534900;185632595930600
NA;012;2024-02-01;146000000;140029402000;1489705676268300;0;0
NA;012;2024-02-01;148000000;261887288085900;0;0;1049406059900
NA;012;2024-02-01;500000000;1134946115788900;2126457334780500;10076288534900;280838019476100
NA;037;2024-02-01;145000000;770006955144500;654822259825400;13253020100;408479380957700
NA;037;2024-02-01;146000000;28385668628400;1686750719656200;0;0
NA;037;2024-02-01;148000000;547278664603400;998200248500;0;9431697318800
NA;037;2024-02-01;500000000;1355301576658400;2343652459457900;13253020100;418062630963600
NA;001;2024-03-01;145000000;916580309758400;740200226033400;16335344867800;352701857011700
NA;001;2024-03-01;146000000;4200149256500;1244763596934100;0;0
NA;001;2024-03-01;148000000;523957438893700;3361581998500;0;6816160742900
NA;001;2024-03-01;500000000;1444737897983400;1988325404966000;16335344867800;401229697764200
NA;012;2024-03-01;145000000;876267246771300;648706959933000;10145577131600;177673687431100
NA;012;2024-03-01;146000000;139405634400;1508356901253300;0;0
NA;012;2024-03-01;148000000;260427022947500;0;0;860575232000
NA;012;2024-03-01;500000000;1136833675353200;2157063861186300;10145577131600;275896059868700
NA;037;2024-03-01;145000000;761510299520200;658078154105100;7621044200;414947814830900
NA;037;2024-03-01;146000000;2082578604800;1724876187755000;0;0
NA;037;2024-03-01;148000000;554687286313300;954781408700;0;8020037809200
NA;037;2024-03-01;500000000;1327968335706000;2385002128060300;7621044200;423099397750100
NA;001;2024-04-01;145000000;906974572213600;748648769214800;16447241227700;342921502321700
NA;001;2024-04-01;146000000;4238322255500;1253082642171700;0;0
NA;001;2024-04-01;148000000;527942922940500;3292097999700;0;6935696842500
NA;001;2024-04-01;500000000;1459155839447100;2005023509386200;16447241227700;387875302098100
NA;012;2024-04-01;145000000;874475535465300;651632419214600;9892530028300;189715494799400
NA;012;2024-04-01;146000000;138472858100;1520364357964900;0;0
NA;012;2024-04-01;148000000;259351159055300;0;0;880448882100
NA;012;2024-04-01;500000000;1133965167378700;2171996777179500;9892530028300;273347713846600
NA;037;2024-04-01;145000000;762892963035600;657036844741400;6153046500;401699071492400
NA;037;2024-04-01;146000000;1868380392100;1733968285116400;0;0
NA;037;2024-04-01;148000000;564457853568400;873733739500;0;8007349339700
NA;037;2024-04-01;500000000;1338900140905800;2392975815324300;6153046500;409754449624700
NA;001;2024-05-01;145000000;885157983314300;749569817041500;15737285421300;330716510734200
NA;001;2024-05-01;146000000;4230588458400;1260329206239300;0;0
NA;001;2024-05-01;148000000;525614384398300;3263676578800;0;6914223616600
NA;001;2024-05-01;500000000;1415002956171000;2013162699859600;15737285421300;377312069859200
NA;012;2024-05-01;145000000;872708625104700;652701320802700;9270388372000;202337605033700
NA;012;2024-05-01;146000000;138491109900;1532356323632600;0;0
NA;012;2024-05-01;148000000;258601711718900;0;0;832029876000
NA;012;2024-05-01;500000000;1131448827933500;2185057644435300;9270388372000;263560387326500
NA;037;2024-05-01;145000000;827873196335100;553383765535800;8295962500;390980991343200
NA;037;2024-05-01;146000000;1342135818000;1742667285925600;0;0
NA;037;2024-05-01;148000000;561990775639400;441125405700;0;8251387962700
NA;037;2024-05-01;500000000;1401043644945900;2297606338850700;8295962500;399387417703900
NA;001;2024-06-01;145000000;8780822255233;7519514594543;165119673885;3422618306653
NA;001;2024-06-01;146000000;42190277793;12649314585160;0;0
NA;001;2024-06-01;148000000;5224615636738;32696390273;0;73575641491
NA;001;2024-06-01;500000000;14347724003096;20201525569976;165119673885;3890838530296
NA;012;2024-06-01;145000000;8530390472056;6473970018948;104428226933;2117198268513
NA;012;2024-06-01;146000000;1385757607;15458997854103;0;0
NA;012;2024-06-01;148000000;2579592325428;0;0;8627874654
NA;012;2024-06-01;500000000;11111368555091;21932967873051;104428226933;2948304064467
NA;037;2024-06-01;145000000;6962890956403;6470070549158;100529827;3894264289310
NA;037;2024-06-01;146000000;7220520247;17488174257554;0;0
NA;037;2024-06-01;148000000;5605274426938;7465421692;0;89478130388
NA;037;2024-06-01;500000000;12605516638371;23974237007656;100529827;3985699215959
NA;001;2024-07-01;145000000;8887224146785;7500293895767;169604782870;3517365720319
NA;001;2024-07-01;146000000;43398882188;12702974749325;0;0
NA;001;2024-07-01;148000000;5232522507340;32080218526;0;74963676813
NA;001;2024-07-01;500000000;14363145536313;20235348863618;169604782870;3967737678351
NA;012;2024-07-01;145000000;8362107970230;6735070967146;102909425932;2087931839000
NA;012;2024-07-01;146000000;1374290232;15480210787374;0;0
NA;012;2024-07-01;148000000;2590864035078;0;0;8732434167
NA;012;2024-07-01;500000000;10954346295540;22215281754520;102909425932;3038046961691
NA;037;2024-07-01;145000000;7084644900234;6408508091869;88007061;3902424430469
NA;037;2024-07-01;146000000;3352097841;17480687155570;0;0
NA;037;2024-07-01;148000000;5651408534122;3458694459;0;88505761073
NA;037;2024-07-01;500000000;12750263739597;23901288546999;88007061;4040410276598
NA;001;2024-08-01;145000000;8805521489839;7578955741613;162007024366;3374097297150
