055	BANCO CONSORCIO
8110000	 0000000178930,00	
8111000	 0000000000000,00	
8113000	 0000000173257,00	
8114000	 0000000001945,00	
8115000	 0000000003728,00	
8130000	 0000000010034,00	
8131000	 0000000000000,00	
8133000	 0000000005588,00	
8134000	 0000000000056,00	
8135000	 0000000004390,00	
8140000	 0000000000508,00	
8141000	 0000000000000,00	
8143000	 0000000000001,00	
8144000	 0000000000000,00	
8145000	 0000000000507,00	
8310000	 0000000110972,00	
8311000	 0000000000000,00	
8312000	 0000000001609,00	
8314000	 0000000000000,00	
8315000	 0000000049961,00	
8315100	 0000000044097,00	
8315200	 0000000005864,00	
8317000	 0000000059402,00	
8318000	 0000000000000,00	
8318100	 0000000000000,00	
8318900	 0000000000000,00	
8319000	 0000000000000,00	
8510000	 0000002474610,00	
8511000	 0000000000000,00	
8513000	 0000002474610,00	
8520000	 0000000334150,00	
8521000	 0000000000000,00	
8523000	 0000000334150,00	
8530000	 0000000132441,00	
8531000	 0000000000000,00	
8533000	 0000000132441,00	
8540000	 0000000818727,00	
8543000	 0000000050347,00	
8544000	 0000000680402,00	
8545000	 0000000087978,00	
8560000	 0000000006207,00	
8563000	 0000000000534,00	
8564000	 0000000001945,00	
8565000	 0000000003728,00	
8610000	 0000000073909,00	
8620000	 0000000001954,00	
8630000	 0000000000417,00	
8640000	 0000000034501,00	
8660000	 0000000000191,00	
8700000	 0000000001530,00	
8710000	 0000000000258,00	
8711000	 0000000000000,00	
8712000	 0000000000028,00	
8713000	 0000000000000,00	
8714000	 0000000000001,00	
8715000	 0000000000000,00	
8716000	 0000000000036,00	
8717000	 0000000000193,00	
8720000	 0000000001788,00	
8721000	 0000000000000,00	
8722000	 0000000001760,00	
8723000	 0000000000000,00	
8724000	 0000000000000,00	
8725000	 0000000000000,00	
8726000	 0000000000018,00	
8727000	 0000000000010,00	
8910000	 0000000068691,00	
8911000	 0000000000000,00	
8913000	 0000000065249,00	
8914000	 0000000002218,00	
8915000	 0000000001224,00	
