039	ITAÚ CORPBANCA
8110000	 0000001828741,00	
8111000	 0000000000000,00	
8113000	 0000001419097,00	
8114000	 0000000237475,00	
8115000	 0000000172169,00	
8130000	 0000000265276,00	
8131000	 0000000000000,00	
8133000	 0000000109884,00	
8134000	 0000000008743,00	
8135000	 0000000146649,00	
8140000	 0000000053281,00	
8141000	 0000000000000,00	
8143000	 0000000020894,00	
8144000	 0000000002464,00	
8145000	 0000000029923,00	
8310000	 0000005748823,00	
8311000	 0000000631455,00	
8312000	 0000000002381,00	
8314000	 0000000122055,00	
8315000	 0000001500848,00	
8315100	 0000000982363,00	
8315200	 0000000518485,00	
8317000	 0000002697547,00	
8318000	 0000000794537,00	
8318100	 0000000510340,00	
8318900	 0000000284197,00	
8319000	 0000000000000,00	
8510000	 0000011595072,00	
8511000	 0000000045067,00	
8513000	 0000011550005,00	
8520000	 0000001014560,00	
8521000	 0000000000000,00	
8523000	 0000001014560,00	
8530000	 0000000814756,00	
8531000	 0000000000000,00	
8533000	 0000000814756,00	
8540000	 0000009233902,00	
8543000	 0000001884328,00	
8544000	 0000005011408,00	
8545000	 0000002338166,00	
8560000	 0000000643822,00	
8563000	 0000000234178,00	
8564000	 0000000237475,00	
8565000	 0000000172169,00	
8610000	 0000002838805,00	
8620000	 0000000064648,00	
8630000	 0000000017295,00	
8640000	 0000002821583,00	
8660000	 0000000006492,00	
8700000	 0000000006265,00	
8710000	 0000000009443,00	
8711000	 0000000000228,00	
8712000	 0000000002692,00	
8713000	 0000000003426,00	
8714000	 0000000000000,00	
8715000	 0000000000235,00	
8716000	 0000000000533,00	
8717000	 0000000002329,00	
8720000	 0000000003178,00	
8721000	 0000000000011,00	
8722000	 0000000001641,00	
8723000	 0000000000365,00	
8724000	 0000000000000,00	
8725000	 0000000000005,00	
8726000	 0000000000000,00	
8727000	 0000000001156,00	
8910000	 0000000529601,00	
8911000	 0000000000000,00	
8913000	 0000000405526,00	
8914000	 0000000080168,00	
8915000	 0000000043907,00	
