028	BANCO BICE
8110000	 0000000183677,00	
8111000	 0000000000000,00	
8113000	 0000000171638,00	
8114000	 0000000009146,00	
8115000	 0000000002893,00	
8130000	 0000000004565,00	
8131000	 0000000000000,00	
8133000	 0000000002453,00	
8134000	 0000000000019,00	
8135000	 0000000002093,00	
8140000	 0000000001045,00	
8141000	 0000000000000,00	
8143000	 0000000000611,00	
8144000	 0000000000098,00	
8145000	 0000000000336,00	
8310000	 0000001340503,00	
8311000	 0000000022299,00	
8312000	 0000000015575,00	
8314000	 0000000034492,00	
8315000	 0000000408069,00	
8315100	 0000000397557,00	
8315200	 0000000010512,00	
8317000	 0000000718395,00	
8318000	 0000000112885,00	
8318100	 0000000000000,00	
8318900	 0000000112885,00	
8319000	 0000000028788,00	
8510000	 0000004269091,00	
8511000	 0000000000000,00	
8513000	 0000004269091,00	
8520000	 0000000209891,00	
8521000	 0000000000000,00	
8523000	 0000000209891,00	
8530000	 0000000095802,00	
8531000	 0000000000000,00	
8533000	 0000000095802,00	
8540000	 0000001830040,00	
8543000	 0000000409189,00	
8544000	 0000001257180,00	
8545000	 0000000163671,00	
8560000	 0000000025822,00	
8563000	 0000000013783,00	
8564000	 0000000009146,00	
8565000	 0000000002893,00	
8610000	 0000000909483,00	
8620000	 0000000020865,00	
8630000	 0000000003773,00	
8640000	 0000000405911,00	
8660000	 0000000000471,00	
8700000	 0000000000654,00	
8710000	 0000000001254,00	
8711000	 0000000000002,00	
8712000	 0000000000409,00	
8713000	 0000000000000,00	
8714000	 0000000000010,00	
8715000	 0000000000000,00	
8716000	 0000000000047,00	
8717000	 0000000000786,00	
8720000	 0000000000600,00	
8721000	 0000000000000,00	
8722000	 0000000000593,00	
8723000	 0000000000000,00	
8724000	 0000000000000,00	
8725000	 0000000000000,00	
8726000	 0000000000002,00	
8727000	 0000000000005,00	
8910000	 0000000039079,00	
8911000	 0000000000000,00	
8913000	 0000000033758,00	
8914000	 0000000004761,00	
8915000	 0000000000560,00	
