039	ITAÚ CORPBANCA
8110000	 0000001303404,00	
8111000	 0000000000000,00	
8113000	 0000000961610,00	
8114000	 0000000205740,00	
8115000	 0000000136054,00	
8130000	 0000000252135,00	
8131000	 0000000000000,00	
8133000	 0000000095819,00	
8134000	 0000000006597,00	
8135000	 0000000149719,00	
8140000	 0000000040285,00	
8141000	 0000000000000,00	
8143000	 0000000014461,00	
8144000	 0000000002527,00	
8145000	 0000000023297,00	
8310000	 0000005757947,00	
8311000	 0000000451404,00	
8312000	 0000000000000,00	
8314000	 0000000112538,00	
8315000	 0000001255631,00	
8315100	 0000000832794,00	
8315200	 0000000422837,00	
8317000	 0000002528806,00	
8318000	 0000001409568,00	
8318100	 0000001045052,00	
8318900	 0000000364516,00	
8319000	 0000000000000,00	
8510000	 0000011234701,00	
8511000	 0000000203219,00	
8513000	 0000011031482,00	
8520000	 0000000601054,00	
8521000	 0000000000000,00	
8523000	 0000000601054,00	
8530000	 0000000485741,00	
8531000	 0000000000000,00	
8533000	 0000000485741,00	
8540000	 0000008518665,00	
8543000	 0000001822091,00	
8544000	 0000004205805,00	
8545000	 0000002490769,00	
8560000	 0000000548734,00	
8563000	 0000000206941,00	
8564000	 0000000205740,00	
8565000	 0000000136053,00	
8610000	 0000002594204,00	
8620000	 0000000079093,00	
8630000	 0000000003495,00	
8640000	 0000003074040,00	
8660000	 0000000007115,00	
